X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号
104	60	60000013	70000013	80000003
53	174	60000018	70000018	80000003
110	61	60000013	70000013	80000003
115	61	60000013	70000013	80000003
128	26	60000013	70000013	80000003
130	20	60000013	70000013	80000003
133	23	60000013	70000013	80000003
137	27	60000013	70000013	80000003
134	33	60000013	70000013	80000003
132	39	60000013	70000013	80000003
137	38	60000013	70000013	80000003
135	43	60000013	70000013	80000003
133	49	60000013	70000013	80000003
137	51	60000013	70000013	80000003
122	67	60000013	70000013	80000003
127	70	60000013	70000013	80000003
129	66	60000013	70000013	80000003
134	57	60000013	70000013	80000003
135	62	60000013	70000013	80000003
135	68	60000013	70000013	80000003
50	169	60000018	70000018	80000003
29	76	60000014	70000014	80000003
32	78	60000014	70000014	80000003
84	181	60000018	70000018	80000003
29	84	60000014	70000014	80000003
14	86	60000014	70000014	80000003
14	93	60000014	70000014	80000003
18	90	60000014	70000014	80000003
23	94	60000014	70000014	80000003
26	91	60000014	70000014	80000003
30	89	60000014	70000014	80000003
17	98	60000014	70000014	80000003
22	99	60000014	70000014	80000003
28	98	60000014	70000014	80000003
33	95	60000014	70000014	80000003
91	181	60000018	70000018	80000003
32	101	60000014	70000014	80000003
29	103	60000014	70000014	80000003
23	106	60000014	70000014	80000003
25	110	60000014	70000014	80000003
74	177	60000018	70000018	80000003
19	103	60000014	70000014	80000003
15	109	60000014	70000014	80000003
20	110	60000014	70000014	80000003
14	120	60000014	70000014	80000003
22	116	60000014	70000014	80000003
27	119	60000014	70000014	80000003
28	115	60000014	70000014	80000003
33	113	60000014	70000014	80000003
79	174	60000018	70000018	80000003
14	127	60000014	70000014	80000003
19	125	60000014	70000014	80000003
23	128	60000014	70000014	80000003
27	131	60000014	70000014	80000003
31	128	60000014	70000014	80000003
77	183	60000018	70000018	80000003
29	135	60000014	70000014	80000003
24	136	60000014	70000014	80000003
20	132	60000014	70000014	80000003
16	131	60000014	70000014	80000003
14	137	60000014	70000014	80000003
19	138	60000014	70000014	80000003
15	144	60000014	70000014	80000003
20	145	60000014	70000014	80000003
27	143	60000014	70000014	80000003
31	147	60000014	70000014	80000003
70	174	60000018	70000018	80000003
87	162	60000018	70000018	80000003
35	177	60000016	70000016	80000003
67	169	60000018	70000018	80000003
15	151	60000014	70000014	80000003
17	156	60000016	70000016	80000003
21	151	60000016	70000016	80000003
38	183	60000016	70000016	80000003
26	150	60000016	70000016	80000003
29	157	60000016	70000016	80000003
123	74	60000015	70000015	80000003
63	161	60000018	70000018	80000003
122	84	60000015	70000015	80000003
126	78	60000015	70000015	80000003
130	74	60000015	70000015	80000003
136	74	60000015	70000015	80000003
132	79	60000015	70000015	80000003
136	81	60000015	70000015	80000003
52	162	60000018	70000018	80000003
127	85	60000015	70000015	80000003
132	84	60000015	70000015	80000003
136	88	60000015	70000015	80000003
131	90	60000015	70000015	80000003
123	90	60000015	70000015	80000003
71	164	60000018	70000018	80000003
124	95	60000015	70000015	80000003
128	94	60000015	70000015	80000003
134	94	60000015	70000015	80000003
137	98	60000015	70000015	80000003
131	99	60000015	70000015	80000003
126	100	60000015	70000015	80000003
120	101	60000015	70000015	80000003
135	104	60000015	70000015	80000003
130	105	60000015	70000015	80000003
125	106	60000015	70000015	80000003
54	171	60000018	70000018	80000003
124	113	60000015	70000015	80000003
130	112	60000015	70000015	80000003
58	164	60000018	70000018	80000003
122	120	60000015	70000015	80000003
127	117	60000015	70000015	80000003
134	109	60000015	70000015	80000003
137	115	60000015	70000015	80000003
133	120	60000015	70000015	80000003
128	124	60000015	70000015	80000003
121	124	60000015	70000015	80000003
124	128	60000015	70000015	80000003
56	178	60000018	70000018	80000003
132	129	60000015	70000015	80000003
137	125	60000015	70000015	80000003
135	133	60000015	70000015	80000003
137	140	60000015	70000015	80000003
131	137	60000015	70000015	80000003
127	133	60000015	70000015	80000003
123	136	60000015	70000015	80000003
62	183	60000018	70000018	80000003
123	142	60000015	70000015	80000003
128	140	60000015	70000015	80000003
132	143	60000015	70000015	80000003
26	162	60000016	70000016	80000003
31	164	60000016	70000016	80000003
37	160	60000016	70000016	80000003
20	180	60000016	70000016	80000003
22	171	60000016	70000016	80000003
27	169	60000016	70000016	80000003
25	176	60000016	70000016	80000003
27	180	60000016	70000016	80000003
30	176	60000016	70000016	80000003
32	181	60000016	70000016	80000003
23	157	60000016	70000016	80000003
30	152	60000016	70000016	80000003
38	166	60000016	70000016	80000003
38	162	60000016	70000016	80000003
79	163	60000018	70000018	80000003
46	165	60000016	70000016	80000003
42	170	60000016	70000016	80000003
42	176	60000016	70000016	80000003
45	183	60000016	70000016	80000003
62	175	60000018	70000018	80000003
123	149	60000017	70000017	80000003
127	145	60000017	70000017	80000003
127	152	60000017	70000017	80000003
62	168	60000018	70000018	80000003
132	149	60000017	70000017	80000003
136	145	60000017	70000017	80000003
136	153	60000017	70000017	80000003
132	156	60000017	70000017	80000003
126	158	60000017	70000017	80000003
137	161	60000017	70000017	80000003
131	164	60000017	70000017	80000003
135	169	60000017	70000017	80000003
120	159	60000017	70000017	80000003
122	167	60000017	70000017	80000003
117	164	60000017	70000017	80000003
122	174	60000017	70000017	80000003
118	171	60000017	70000017	80000003
115	176	60000017	70000017	80000003
118	182	60000017	70000017	80000003
112	182	60000017	70000017	80000003
98	182	60000017	70000017	80000003
96	177	60000017	70000017	80000003
99	171	60000017	70000017	80000003
108	172	60000017	70000017	80000003
101	176	60000017	70000017	80000003
105	182	60000017	70000017	80000003
107	178	60000017	70000017	80000003
94	170	60000017	70000017	80000003
96	162	60000017	70000017	80000003
101	165	60000017	70000017	80000003
72	183	60000018	70000018	80000003
106	161	60000017	70000017	80000003
66	179	60000018	70000018	80000003
111	164	60000017	70000017	80000003
70	155	66666666	76666666	80020001
76	155	66666666	76666666	80020001
67	76	66666666	76666666	80020001
74	76	66666666	76666666	80020001
48	98	66666666	76666666	80020001
46	103	66666666	76666666	80020001
115	97	66666666	76666666	80020001
115	104	66666666	76666666	80020001
