X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号
34	73	60000027	70000027	80000013
39	73	60000027	70000027	80000005
36	79	60000027	70000027	80000005
44	72	60000027	70000027	80000013
49	74	60000027	70000027	80000005
45	78	60000027	70000027	80000005
52	78	60000027	70000027	80000013
49	80	60000027	70000027	80000005
44	83	60000027	70000027	80000005
49	86	60000027	70000027	80000013
48	91	60000027	70000027	80000005
49	96	60000027	70000027	80000005
54	93	60000027	70000027	80000013
52	89	60000027	70000027	80000005
54	84	60000027	70000027	80000005
29	35	60000028	70000028	80000013
31	30	60000028	70000028	80000005
31	23	60000028	70000028	80000005
36	19	60000028	70000028	80000013
36	25	60000028	70000028	80000005
40	23	60000028	70000028	80000005
42	28	60000028	70000028	80000013
47	26	60000028	70000028	80000005
33	35	60000028	70000028	80000005
32	41	60000028	70000028	80000013
37	42	60000028	70000028	80000005
42	38	60000028	70000028	80000005
41	43	60000028	70000028	80000013
50	21	60000028	70000028	80000005
44	33	60000028	70000028	80000005
48	30	60000028	70000028	80000013
50	22	60000028	70000028	80000005
54	19	60000028	70000028	80000005
57	24	60000028	70000028	80000013
60	22	60000028	70000028	80000005
62	25	60000028	70000028	80000005
60	28	60000028	70000028	80000013
62	32	60000028	70000028	80000005
57	32	60000028	70000028	80000005
45	47	60000028	70000028	80000013
49	44	60000028	70000028	80000005
52	46	60000028	70000028	80000005
55	43	60000028	70000028	80000013
46	41	60000028	70000028	80000005
47	36	60000028	70000028	80000005
51	33	60000028	70000028	80000013
51	39	60000028	70000028	80000005
54	36	60000028	70000028	80000005
59	37	60000028	70000028	80000013
20	91	60000026	70000026	80000005
18	91	60000026	70000026	80000005
20	94	60000026	70000026	80000005
21	91	60000026	70000026	80000005
21	87	60000026	70000026	80000005
25	90	60000026	70000026	80000005
24	89	60000026	70000026	80000005
23	88	60000026	70000026	80000005
25	94	60000026	70000026	80000005
31	88	60000026	70000026	80000005
25	86	60000026	70000026	80000005
19	82	60000026	70000026	80000005
27	84	60000026	70000026	80000005
27	83	60000026	70000026	80000005
21	80	60000026	70000026	80000005
32	90	60000026	70000026	80000005
35	91	64010006	74010006	80010006
