编号	名字	目标物品编号1	合成几率	目标物品编号2	合成几率	目标物品编号3	合成几率	材料1编号	材料2编号	材料3编号	材料4编号	材料5编号	合成经费
10028	封魔皮甲	1110000900	88	1110010900	98	1110020900	100	1433000303	1433000503	1433000703	0	0	40000
10029	狩猎皮甲	1110001000	88	1110011000	98	1110021000	100	1433000304	1433000504	1433000704	0	0	60000
10030	幻魔皮甲	1110001100	88	1110011100	98	1110021100	100	1433000305	1433000505	1433000705	0	0	80000
10031	祝福法袍	1111000700	88	1111010700	98	1111020700	100	1433000401	1433000501	1433000701	0	0	20000
10032	圣灵法袍	1111000800	88	1111010800	98	1111020800	100	1433000402	1433000502	1433000702	0	0	30000
10033	附魂法袍	1111000900	88	1111010900	98	1111020900	100	1433000403	1433000503	1433000703	0	0	40000
10034	神恩法袍	1111001000	88	1111011000	98	1111021000	100	1433000404	1433000504	1433000704	0	0	60000
10035	天光法袍	1111001100	88	1111011100	98	1111021100	100	1433000405	1433000505	1433000705	0	0	80000
10036	荣誉头盔	1122000700	88	1122010700	98	1122020700	100	1433000201	1433000101	1433000501	0	0	20000
10037	狂暴头盔	1122000800	88	1122010800	98	1122020800	100	1433000202	1433000102	1433000502	0	0	30000
10038	力量头盔	1122000900	88	1122010900	98	1122020900	100	1433000203	1433000103	1433000503	0	0	40000
10039	鬼泣头盔	1122001000	88	1122011000	98	1122021000	100	1433000204	1433000104	1433000504	0	0	60000
10040	毁灭头盔	1122001100	88	1122011100	98	1122021100	100	1433000205	1433000105	1433000505	0	0	80000
10041	天鹰头饰	1120000700	88	1120010700	98	1120020700	100	1433000101	1433000301	1433000701	0	0	20000
10042	穿云头饰	1120000800	88	1120010800	98	1120020800	100	1433000102	1433000302	1433000702	0	0	30000
10043	封魔头饰	1120000900	88	1120010900	98	1120020900	100	1433000103	1433000303	1433000703	0	0	40000
10044	狩猎头饰	1120001000	88	1120011000	98	1120021000	100	1433000104	1433000304	1433000704	0	0	60000
10045	幻魔头饰	1120001100	88	1120011100	98	1120021100	100	1433000105	1433000305	1433000705	0	0	80000
10046	祝福帽	1121000700	88	1121010700	98	1121020700	100	1433000401	1433000301	1433000501	0	0	20000
10047	圣灵帽	1121000800	88	1121010800	98	1121020800	100	1433000402	1433000302	1433000502	0	0	30000
10048	附魂帽	1121000900	88	1121010900	98	1121020900	100	1433000403	1433000303	1433000503	0	0	40000
10049	神恩帽	1121001000	88	1121011000	98	1121021000	100	1433000404	1433000304	1433000504	0	0	60000
10050	天光帽	1121001100	88	1121011100	98	1121021100	100	1433000405	1433000305	1433000505	0	0	80000
10051	荣誉之靴	1132000700	88	1132010700	98	1132020700	100	1433000201	1433000101	1433000601	0	0	20000
10052	狂暴之靴	1132000800	88	1132010800	98	1132020800	100	1433000202	1433000102	1433000602	0	0	30000
10053	力量之靴	1132000900	88	1132010900	98	1132020900	100	1433000203	1433000103	1433000603	0	0	40000
10054	鬼泣之靴	1132001000	88	1132011000	98	1132021000	100	1433000204	1433000104	1433000604	0	0	60000
10055	毁灭之靴	1132001100	88	1132011100	98	1132021100	100	1433000205	1433000105	1433000605	0	0	80000
10056	天鹰皮靴	1130000700	88	1130010700	98	1130020700	100	1433000301	1433000101	1433000401	0	0	20000
10057	穿云皮靴	1130000800	88	1130010800	98	1130020800	100	1433000302	1433000102	1433000402	0	0	30000
10058	封魔皮靴	1130000900	88	1130010900	98	1130020900	100	1433000303	1433000103	1433000403	0	0	40000
10059	狩猎皮靴	1130001000	88	1130011000	98	1130021000	100	1433000304	1433000104	1433000404	0	0	60000
10060	幻魔皮靴	1130001100	88	1130011100	98	1130021100	100	1433000305	1433000105	1433000405	0	0	80000
10061	祝福鞋	1131000700	88	1131010700	98	1131020700	100	1433000401	1433000301	1433000701	0	0	20000
10062	圣灵鞋	1131000800	88	1131010800	98	1131020800	100	1433000402	1433000302	1433000702	0	0	30000
10063	附魂鞋	1131000900	88	1131010900	98	1131020900	100	1433000403	1433000303	1433000703	0	0	40000
10064	神恩鞋	1131001000	88	1131011000	98	1131021000	100	1433000404	1433000304	1433000704	0	0	60000
10065	天光鞋	1131001100	88	1131011100	98	1131021100	100	1433000405	1433000305	1433000705	0	0	80000
10066	尖啸项链	1723000600	88	1723010600	98	1723020600	100	1433000201	1433000501	1433000601	0	0	20000
10067	圣堂项链	1723000700	88	1723010700	98	1723020700	100	1433000202	1433000502	1433000602	0	0	30000
10068	鬼域项链	1723000800	88	1723010800	98	1723020800	100	1433000203	1433000503	1433000603	0	0	40000
10069	月灵项链	1723000900	88	1723010900	98	1723020900	100	1433000204	1433000504	1433000604	0	0	60000
10070	星云项链	1723001000	88	1723011000	98	1723021000	100	1433000205	1433000505	1433000605	0	0	80000
10071	符文戒指	1733000600	88	1733010600	98	1733020600	100	1433000501	1433000701	1433000601	0	0	20000
10072	龙腾戒指	1733000700	88	1733010700	98	1733020700	100	1433000502	1433000702	1433000602	0	0	30000
10073	唤魂戒指	1733000800	88	1733010800	98	1733020800	100	1433000503	1433000703	1433000603	0	0	40000
10074	魔狱戒指	1733000900	88	1733010900	98	1733020900	100	1433000504	1433000704	1433000604	0	0	60000
10075	天灵戒指	1733001000	88	1733011000	98	1733021000	100	1433000505	1433000705	1433000605	0	0	80000
10076	飞翼耳环	1713000600	88	1713010600	98	1713020600	100	1433000401	1433000501	1433000601	0	0	20000
10077	炽焰耳环	1713000700	88	1713010700	98	1713020700	100	1433000402	1433000502	1433000602	0	0	30000
10078	附魂耳环	1713000800	88	1713010800	98	1713020800	100	1433000403	1433000503	1433000603	0	0	40000
10079	雷电耳环	1713000900	88	1713010900	98	1713020900	100	1433000404	1433000504	1433000604	0	0	60000
10080	天命耳环	1713001000	88	1713011000	98	1713021000	100	1433000405	1433000505	1433000605	0	0	80000
10081	诞生长弓	1240050100	88	0	0	0	0	1433000201	1433000101	1433000701	1433001101	0	20000
10082	风语长弓	1240050200	88	0	0	0	0	1433000202	1433000102	1433000702	1433001103	0	30000
10083	刺棘长弓	1240050300	88	0	0	0	0	1433000203	1433000103	1433000703	1433001105	0	40000
10084	霹雳长弓	1240050400	88	0	0	0	0	1433000204	1433000104	1433000704	1433001107	0	60000
10085	月华长弓	1240050500	88	0	0	0	0	1433000205	1433000105	1433000705	1433001109	0	80000
10086	诞生之杖	1241050100	88	0	0	0	0	1433000101	1433000301	1433000601	1433001101	0	20000
10087	晶石之杖	1241050200	88	0	0	0	0	1433000102	1433000302	1433000602	1433001103	0	30000
10088	自然之杖	1241050300	88	0	0	0	0	1433000103	1433000303	1433000603	1433001105	0	40000
10089	魔印之杖	1241050400	88	0	0	0	0	1433000104	1433000304	1433000604	1433001107	0	60000
10090	星辰之杖	1241050500	88	0	0	0	0	1433000105	1433000305	1433000605	1433001109	0	80000
10091	诞生之剑	1242050100	88	0	0	0	0	1433000201	1433000301	1433000701	1433001101	0	20000
10092	守护之剑	1242050200	88	0	0	0	0	1433000202	1433000302	1433000702	1433001103	0	30000
10093	激流之剑	1242050300	88	0	0	0	0	1433000203	1433000303	1433000703	1433001105	0	40000
10094	晴空之剑	1242050400	88	0	0	0	0	1433000204	1433000304	1433000704	1433001107	0	60000
10095	蚀日之剑	1242050500	88	0	0	0	0	1433000205	1433000305	1433000705	1433001109	0	80000
10096	诞生之盾	1182050100	88	0	0	0	0	1433000201	1433000101	1433000301	1433001102	0	20000
10097	守护之盾	1182050200	88	0	0	0	0	1433000202	1433000102	1433000302	1433001104	0	30000
10098	激流之盾	1182050300	88	0	0	0	0	1433000203	1433000103	1433000303	1433001106	0	40000
10099	晴空之盾	1182050400	88	0	0	0	0	1433000204	1433000104	1433000304	1433001108	0	60000
10100	蚀日之盾	1182050500	88	0	0	0	0	1433000205	1433000105	1433000305	1433001110	0	80000
10101	诞生铠甲	1152050100	88	0	0	0	0	1433000201	1433000301	1433000601	1433001102	0	20000
10102	守护铠甲	1152050200	88	0	0	0	0	1433000202	1433000302	1433000602	1433001104	0	30000
10103	激流铠甲	1152050300	88	0	0	0	0	1433000203	1433000303	1433000603	1433001106	0	40000
10104	晴空铠甲	1152050400	88	0	0	0	0	1433000204	1433000304	1433000604	1433001108	0	60000
10105	蚀日铠甲	1152050500	88	0	0	0	0	1433000205	1433000305	1433000605	1433001110	0	80000
10106	诞生皮甲	1150050100	88	0	0	0	0	1433000301	1433000501	1433000701	1433001102	0	20000
10107	风语皮甲	1150050200	88	0	0	0	0	1433000302	1433000502	1433000702	1433001104	0	30000
10108	刺棘皮甲	1150050300	88	0	0	0	0	1433000303	1433000503	1433000703	1433001106	0	40000
10109	霹雳皮甲	1150050400	88	0	0	0	0	1433000304	1433000504	1433000704	1433001108	0	60000
10110	月华皮甲	1150050500	88	0	0	0	0	1433000305	1433000505	1433000705	1433001110	0	80000
10111	诞生法袍	1151050100	88	0	0	0	0	1433000401	1433000501	1433000701	1433001102	0	20000
10112	晶石法袍	1151050200	88	0	0	0	0	1433000402	1433000502	1433000702	1433001104	0	30000
10113	自然法袍	1151050300	88	0	0	0	0	1433000403	1433000503	1433000703	1433001106	0	40000
10114	魔印法袍	1151050400	88	0	0	0	0	1433000404	1433000504	1433000704	1433001108	0	60000
10115	星辰法袍	1151050500	88	0	0	0	0	1433000405	1433000505	1433000705	1433001110	0	80000
10116	诞生头盔	1162050100	88	0	0	0	0	1433000201	1433000101	1433000501	1433001102	0	20000
10117	守护头盔	1162050200	88	0	0	0	0	1433000202	1433000102	1433000502	1433001104	0	30000
10118	激流头盔	1162050300	88	0	0	0	0	1433000203	1433000103	1433000503	1433001106	0	40000
10119	晴空头盔	1162050400	88	0	0	0	0	1433000204	1433000104	1433000504	1433001108	0	60000
10120	蚀日头盔	1162050500	88	0	0	0	0	1433000205	1433000105	1433000505	1433001110	0	80000
10121	诞生头饰	1160050100	88	0	0	0	0	1433000101	1433000301	1433000701	1433001102	0	20000
10122	风语头饰	1160050200	88	0	0	0	0	1433000102	1433000302	1433000702	1433001104	0	30000
10123	刺棘头饰	1160050300	88	0	0	0	0	1433000103	1433000303	1433000703	1433001106	0	40000
10124	霹雳头饰	1160050400	88	0	0	0	0	1433000104	1433000304	1433000704	1433001108	0	60000
10125	月华头饰	1160050500	88	0	0	0	0	1433000105	1433000305	1433000705	1433001110	0	80000
10126	诞生帽	1161050100	88	0	0	0	0	1433000401	1433000301	1433000501	1433001102	0	20000
10127	晶石帽	1161050200	88	0	0	0	0	1433000402	1433000302	1433000502	1433001104	0	30000
10128	自然帽	1161050300	88	0	0	0	0	1433000403	1433000303	1433000503	1433001106	0	40000
10129	魔印帽	1161050400	88	0	0	0	0	1433000404	1433000304	1433000504	1433001108	0	60000
10130	星辰帽	1161050500	88	0	0	0	0	1433000405	1433000305	1433000505	1433001110	0	80000
10131	诞生战靴	1172050100	88	0	0	0	0	1433000201	1433000101	1433000601	1433001102	0	20000
10132	守护战靴	1172050200	88	0	0	0	0	1433000202	1433000102	1433000602	1433001104	0	30000
10133	激流战靴	1172050300	88	0	0	0	0	1433000203	1433000103	1433000603	1433001106	0	40000
10134	晴空战靴	1172050400	88	0	0	0	0	1433000204	1433000104	1433000604	1433001108	0	60000
10135	蚀日战靴	1172050500	88	0	0	0	0	1433000205	1433000105	1433000605	1433001110	0	80000
10136	诞生皮靴	1170050100	88	0	0	0	0	1433000301	1433000101	1433000401	1433001102	0	20000
10137	风语皮靴	1170050200	88	0	0	0	0	1433000302	1433000102	1433000402	1433001104	0	30000
10138	刺棘皮靴	1170050300	88	0	0	0	0	1433000303	1433000103	1433000403	1433001106	0	40000
10139	霹雳皮靴	1170050400	88	0	0	0	0	1433000304	1433000104	1433000404	1433001108	0	60000
10140	月华皮靴	1170050500	88	0	0	0	0	1433000305	1433000105	1433000405	1433001110	0	80000
10141	诞生鞋	1171050100	88	0	0	0	0	1433000401	1433000301	1433000701	1433001102	0	20000
10142	晶石鞋	1171050200	88	0	0	0	0	1433000402	1433000302	1433000702	1433001104	0	30000
10143	自然鞋	1171050300	88	0	0	0	0	1433000403	1433000303	1433000703	1433001106	0	40000
10144	魔印鞋	1171050400	88	0	0	0	0	1433000404	1433000304	1433000704	1433001108	0	60000
10145	星辰鞋	1171050500	88	0	0	0	0	1433000405	1433000305	1433000705	1433001110	0	80000
10146	激斗项链	1753050100	88	0	0	0	0	1433000201	1433000501	1433000601	1433001113	0	40000
10147	嗜血项链	1753050200	88	0	0	0	0	1433000203	1433000503	1433000603	1433001114	0	60000
10148	天业项链	1753050300	88	0	0	0	0	1433000205	1433000505	1433000605	1433001115	0	80000
10149	激斗戒指	1763050100	88	0	0	0	0	1433000501	1433000701	1433000601	1433001113	0	40000
10150	嗜血戒指	1763050200	88	0	0	0	0	1433000503	1433000703	1433000603	1433001114	0	60000
10151	天业戒指	1763050300	88	0	0	0	0	1433000505	1433000705	1433000605	1433001115	0	80000
10152	激斗耳环	1743050100	88	0	0	0	0	1433000401	1433000501	1433000601	1433001113	0	40000
10153	嗜血耳环	1743050200	88	0	0	0	0	1433000403	1433000503	1433000603	1433001114	0	60000
10154	天业耳环	1743050300	88	0	0	0	0	1433000405	1433000505	1433000605	1433001115	0	80000
10155	血精印记	1333123459	88	0	0	0	0	1433001116	1433001117	1433001118	0	0	300000
10156	游侠·终极武器	1210041200	88	0	0	0	0	1433001119	1433001120	1433001121	1433000705	0	30000000
10157	战士·终极武器	1232041200	88	0	0	0	0	1433001119	1433001120	1433001121	1433000205	0	30000000
10158	法师·终极武器	1221041200	88	0	0	0	0	1433001119	1433001120	1433001121	1433000105	0	30000000
