编号	名字	等级需求	转生需求	图标	品质	可否交易	可否丢弃	可否出售	金币	元宝	描述	升等费用	精炼费用	升级费用	套装编号	套装功能1	套装参数1	套装功能2	套装参数2	套装功能3	套装参数3	套装功能4	套装参数4	装备类型	增加生命	增加魔法	生命恢复速度增加	魔法恢复速度增加	物理防御能力	魔法防御能力	附加物理防御力	附加魔法防御力	产生暴击几率	命中	闪避	攻击附加状态	状态产生几率	获得经验提升百分比	获得金钱倍数提升百分比	物品掉落提升百分比	附加特殊能力
1763050100	激斗戒指	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1200	0	0	401	7	-50	5	10	0	0	0	0	3	130	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1763050101	激斗戒指+1	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1400	0	0	401	7	-50	5	14	0	0	0	0	3	145	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
1763050102	激斗戒指+2	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1600	0	0	401	7	-50	5	18	0	0	0	0	3	160	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
1763050103	激斗戒指+3	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1800	0	0	401	7	-50	5	22	0	0	0	0	3	175	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
1763050104	激斗戒指+4	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	2000	0	0	401	7	-50	5	26	0	0	0	0	3	190	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
1763050105	激斗戒指+5	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	0	0	0	401	7	-50	5	30	0	0	0	0	3	205	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
1743050200	嗜血耳环	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	4500	0	0	402	8	3	6	40	0	0	0	0	1	0	132	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
1743050201	嗜血耳环+1	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	5500	0	0	402	8	4	6	44	0	0	0	0	1	0	142	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0
1743050202	嗜血耳环+2	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	6500	0	0	402	8	5	6	48	0	0	0	0	1	0	152	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
1743050203	嗜血耳环+3	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	7500	0	0	402	8	6	6	52	0	0	0	0	1	0	162	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
1743050204	嗜血耳环+4	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	8500	0	0	402	8	7	6	56	0	0	0	0	1	0	172	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0
1743050205	嗜血耳环+5	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	0	0	0	402	8	8	6	60	0	0	0	0	1	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1753050200	嗜血项链	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	4500	0	0	402	8	14	9	14	0	0	0	0	2	0	0	1	1	0	0	0	0	0	16	14	0	0	0	0	0	0
1753050201	嗜血项链+1	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	5500	0	0	402	8	15	9	15	0	0	0	0	2	0	0	1	1	0	0	0	0	0	17	15	0	0	0	0	0	0
1753050202	嗜血项链+2	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	6500	0	0	402	8	16	9	16	0	0	0	0	2	0	0	1	1	0	0	0	0	0	18	16	0	0	0	0	0	0
1753050203	嗜血项链+3	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	7500	0	0	402	8	17	9	17	0	0	0	0	2	0	0	2	1	0	0	0	0	0	19	17	0	0	0	0	0	0
1753050204	嗜血项链+4	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	8500	0	0	402	8	18	9	18	0	0	0	0	2	0	0	2	2	0	0	0	0	0	20	18	0	0	0	0	0	0
1753050205	嗜血项链+5	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	0	0	0	402	8	19	9	19	0	0	0	0	2	0	0	2	2	0	0	0	0	0	21	19	0	0	0	0	0	0
1763050200	嗜血戒指	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	4500	0	0	402	7	-50	5	40	0	0	0	0	3	295	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
1763050201	嗜血戒指+1	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	5500	0	0	402	7	-50	5	44	0	0	0	0	3	310	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
1763050202	嗜血戒指+2	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	6500	0	0	402	7	-50	5	48	0	0	0	0	3	325	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
1763050203	嗜血戒指+3	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	7500	0	0	402	7	-50	5	52	0	0	0	0	3	340	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0
1763050204	嗜血戒指+4	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	8500	0	0	402	7	-50	5	56	0	0	0	0	3	355	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
1763050205	嗜血戒指+5	80	1	8	5	1	1	1	1	0	“鲜血可以为我带来力量”	0	0	0	402	7	-50	5	60	0	0	0	0	3	370	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0
1743050300	天业耳环	130	1	11	5	1	1	1	1	0	天之业，有道无逆	25000	0	0	403	8	3	6	70	0	0	0	0	1	0	197	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
1743050301	天业耳环+1	130	1	11	5	1	1	1	1	0	天之业，有道无逆	30000	0	0	403	8	4	6	74	0	0	0	0	1	0	207	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0
1743050302	天业耳环+2	130	1	11	5	1	1	1	1	0	天之业，有道无逆	35000	0	0	403	8	5	6	78	0	0	0	0	1	0	217	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
1743050303	天业耳环+3	130	1	11	5	1	1	1	1	0	天之业，有道无逆	40000	0	0	403	8	6	6	82	0	0	0	0	1	0	227	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
1743050304	天业耳环+4	130	1	11	5	1	1	1	1	0	天之业，有道无逆	45000	0	0	403	8	7	6	86	0	0	0	0	1	0	237	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
1743050305	天业耳环+5	130	1	11	5	1	1	1	1	0	天之业，有道无逆	0	0	0	403	8	8	6	90	0	0	0	0	1	0	247	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0
1753050300	天业项链	130	1	11	5	1	1	1	1	0	天之业，有道无逆	25000	0	0	403	8	22	9	22	0	0	0	0	2	0	0	2	2	0	0	0	0	0	25	23	0	0	0	0	0	0
1753050301	天业项链+1	130	1	11	5	1	1	1	1	0	天之业，有道无逆	30000	0	0	403	8	23	9	23	0	0	0	0	2	0	0	2	2	0	0	0	0	0	26	24	0	0	0	0	0	0
1753050302	天业项链+2	130	1	11	5	1	1	1	1	0	天之业，有道无逆	35000	0	0	403	8	24	9	24	0	0	0	0	2	0	0	2	2	0	0	0	0	0	27	25	0	0	0	0	0	0
1753050303	天业项链+3	130	1	11	5	1	1	1	1	0	天之业，有道无逆	40000	0	0	403	8	25	9	25	0	0	0	0	2	0	0	3	2	0	0	0	0	0	28	26	0	0	0	0	0	0
1753050304	天业项链+4	130	1	11	5	1	1	1	1	0	天之业，有道无逆	45000	0	0	403	8	26	9	26	0	0	0	0	2	0	0	3	3	0	0	0	0	0	29	27	0	0	0	0	0	0
1753050305	天业项链+5	130	1	11	5	1	1	1	1	0	天之业，有道无逆	0	0	0	403	8	27	9	27	0	0	0	0	2	0	0	3	3	0	0	0	0	0	30	28	0	0	0	0	0	0
1763050300	天业戒指	130	1	13	5	1	1	1	1	0	天之业，有道无逆	25000	0	0	403	7	-50	5	28	0	0	0	0	3	432	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0
1763050301	天业戒指+1	130	1	13	5	1	1	1	1	0	天之业，有道无逆	30000	0	0	403	7	-50	5	74	0	0	0	0	3	447	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
1763050302	天业戒指+2	130	1	13	5	1	1	1	1	0	天之业，有道无逆	35000	0	0	403	7	-50	5	78	0	0	0	0	3	462	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
1763050303	天业戒指+3	130	1	13	5	1	1	1	1	0	天之业，有道无逆	40000	0	0	403	7	-50	5	82	0	0	0	0	3	477	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
1763050304	天业戒指+4	130	1	13	5	1	1	1	1	0	天之业，有道无逆	45000	0	0	403	7	-50	5	86	0	0	0	0	3	492	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0
1763050305	天业戒指+5	130	1	13	5	1	1	1	1	0	天之业，有道无逆	0	0	0	403	7	-50	5	90	0	0	0	0	3	507	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0
1743050400	游龙耳环	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	250000	0	0	404	1	90	6	260	2	90	0	0	1	0	197	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
1743050401	游龙耳环+1	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	300000	0	0	404	1	110	6	266	2	110	0	0	1	0	207	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0
1743050402	游龙耳环	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	350000	0	0	404	1	130	6	272	2	130	0	0	1	0	217	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
1743050403	游龙耳环+2	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	400000	0	0	404	1	150	6	278	2	150	0	0	1	0	227	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
1743050404	游龙耳环	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	450000	0	0	404	1	170	6	284	2	170	0	0	1	0	237	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
1743050405	游龙耳环+3	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	0	0	0	404	1	190	6	290	2	190	0	0	1	0	247	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0
1753050400	游龙项链	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	250000	0	0	404	8	22	9	22	1	90	2	90	2	0	0	2	2	0	0	0	0	7	25	23	0	0	0	0	0	0
1753050401	游龙项链+1	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	300000	0	0	404	8	23	9	23	1	110	2	110	2	0	0	2	2	0	0	0	0	9	26	24	0	0	0	0	0	0
1753050402	游龙项链	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	350000	0	0	404	8	24	9	24	1	130	2	130	2	0	0	2	2	0	0	0	0	11	27	25	0	0	0	0	0	0
1753050403	游龙项链+2	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	400000	0	0	404	8	25	9	25	1	150	2	150	2	0	0	3	2	0	0	0	0	13	28	26	0	0	0	0	0	0
1753050404	游龙项链	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	450000	0	0	404	8	26	9	26	1	170	2	170	2	0	0	3	3	0	0	0	0	15	29	27	0	0	0	0	0	0
1753050405	游龙项链+3	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	0	0	0	404	8	27	9	27	1	190	2	190	2	0	0	3	3	0	0	0	0	0	30	28	0	0	0	0	0	0
1763050400	游龙戒指	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	250000	0	0	404	7	-100	5	255	1	90	2	90	3	432	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0
1763050401	游龙戒指+1	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	300000	0	0	404	7	-100	5	262	1	110	2	110	3	447	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
1763050402	游龙戒指	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	350000	0	0	404	7	-100	5	269	1	130	2	130	3	462	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
1763050403	游龙戒指+2	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	400000	0	0	404	7	-100	5	276	1	150	2	150	3	477	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
1763050404	游龙戒指	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	450000	0	0	404	7	-100	5	283	1	170	2	170	3	492	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0
1763050405	游龙戒指+3	30	0	9	5	1	1	1	1	0	凤箫声动，玉壶光转，一夜鱼龙舞	0	0	0	404	7	-100	5	290	1	190	2	190	3	507	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0
1743050500	魂·游龙耳环	2	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	250000	0	0	405	1	180	6	520	2	180	0	0	1	0	394	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0
1743050501	魂·游龙耳环+1	30	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	300000	0	0	405	1	220	6	532	2	220	0	0	1	0	414	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0
1743050502	魂·游龙耳环	30	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	350000	0	0	405	1	260	6	544	2	260	0	0	1	0	434	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
1743050503	魂·游龙耳环+2	30	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	400000	0	0	405	1	300	6	556	2	300	0	0	1	0	454	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0
1743050504	魂·游龙耳环	30	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	450000	0	0	405	1	340	6	568	2	340	0	0	1	0	474	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0
1743050505	魂·游龙耳环+3	30	0	8	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	0	0	0	405	1	380	6	580	2	380	0	0	1	0	494	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0
1753050500	魂·游龙项链	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	250000	0	0	405	8	44	9	44	1	180	2	180	2	0	0	2	2	0	0	0	0	14	50	46	0	0	0	0	0	0
1753050501	魂·游龙项链+1	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	300000	0	0	405	8	46	9	46	1	220	2	220	2	0	0	2	2	0	0	0	0	18	52	48	0	0	0	0	0	0
1753050502	魂·游龙项链	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	350000	0	0	405	8	48	9	48	1	260	2	260	2	0	0	2	2	0	0	0	0	22	54	50	0	0	0	0	0	0
1753050503	魂·游龙项链+2	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	400000	0	0	405	8	50	9	50	1	300	2	300	2	0	0	3	2	0	0	0	0	26	56	52	0	0	0	0	0	0
1753050504	魂·游龙项链	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	450000	0	0	405	8	52	9	52	1	340	2	340	2	0	0	3	3	0	0	0	0	30	58	54	0	0	0	0	0	0
1753050505	魂·游龙项链+3	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	0	0	0	405	8	54	9	54	1	380	2	380	2	0	0	3	3	0	0	0	0	0	60	56	0	0	0	0	0	0
1763050500	魂·游龙戒指	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	250000	0	0	405	7	-150	5	510	1	180	2	180	3	864	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0
1763050501	魂·游龙戒指+1	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	300000	0	0	405	7	-150	5	524	1	220	2	220	3	894	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0
1763050502	魂·游龙戒指	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	350000	0	0	405	7	-150	5	538	1	260	2	260	3	924	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0
1763050503	魂·游龙戒指+2	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	400000	0	0	405	7	-150	5	552	1	300	2	300	3	954	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
1763050504	魂·游龙戒指	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	450000	0	0	405	7	-150	5	566	1	340	2	340	3	984	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0
1763050505	魂·游龙戒指+3	30	0	6	5	1	1	1	1	0	上有六龙回日之高标，下有冲波逆折之回川	0	0	0	405	7	-150	5	580	1	380	2	380	3	1014	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0
