编号	名字	场景类型	地图编号	主城编号	进入点X	进入点Y	下线后保留坐标	安全区域中心点X	安全区域中心点Y	安全区域宽度	安全区域高度	可视范围	玩家数量限制	玩家摆摊个数	玩家最小等级限制	玩家最大等级限制	玩家最小转生	玩家最大转生	经验掉落比例	金钱掉落比例	物品掉落比例	物品存活时间(秒)	物品保护时间(秒)	场景生命周期(秒)	可否吃药	可否使用特殊道具	是否收益等级衰减	玩家进入提示信息	玩家进入对话脚本
48	塔魔尼幻境	0	120	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
49	塔魔尼幻境	0	122	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
135	无双幻境	2	62	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	72000	1	1	1	幻境，幻境，你跑的出去吗，咦嘻嘻嘻	0
136	无双幻境	2	63	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	72000	1	1	1	幻境，幻境，你跑的出去吗，咦嘻嘻	0
137	无双幻境	2	64	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	72000	1	1	1	幻境，幻境，你跑的出去吗，嘻嘻嘻	0
138	无双幻境	2	66	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	72000	1	1	1	幻境，幻境，你跑的出去吗，咦嘻嘻嘻	0
139	无双幻境	2	67	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	72000	1	1	1	幻境，幻境，你跑的出去吗，咦嘻嘻嘻	0
140	镜子幻境	0	68	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
141	镜子幻境	0	69	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
142	镜子幻境	0	70	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
143	镜子幻境	0	71	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
144	镜子幻境	0	72	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
145	镜子幻境	0	116	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
146	镜子幻境	0	118	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
147	镜子幻境	0	119	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
148	镜子幻境	0	120	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
149	镜子幻境	0	122	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
50	塔魔尼地宫二层	0	17	3	18	21	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
51	塔魔尼地宫三层	0	24	3	76	22	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
52	塔魔尼地宫四层	0	91	3	14	33	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
53	塔魔尼地宫五层	0	51	3	71	107	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
54	塔魔尼地宫六层	0	57	3	77	68	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
55	塔魔尼地宫	0	60	3	41	52	0	43	58	26	35	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
1000	终结武器锻造屋	0	83	3	22	17	0	0	0	0	0	12	255	0	0	10000	0	100	100	100	100	60	30	0	1	1	1	Y进入终极武器锻造屋，他能打造出属于他的终极装备吗	0
1001	神秘地牢Ⅰ	2	80	3	22	18	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1002	神秘地牢Ⅱ	2	100	3	23	22	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1003	神秘地牢Ⅲ	2	16	3	23	19	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1004	神秘地牢Ⅳ	2	18	3	23	20	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1005	神秘地牢Ⅴ	2	102	3	23	22	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1006	神秘岛Ⅱ	2	84	3	22	17	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
1007	神秘地牢Ⅵ	2	42	3	23	47	0	0	0	0	0	12	10	0	0	10000	0	100	100	130	130	60	30	900	1	1	1	0	0
2000	肉肉副本Ⅰ	2	55	3	20	16	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2001	玻璃副本Ⅰ	2	101	3	23	22	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2002	肉肉副本Ⅱ	2	55	3	20	16	0	0	0	0	0	12	1	0	40	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2003	玻璃副本Ⅱ	2	101	3	23	22	0	0	0	0	0	12	1	0	40	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2004	肉肉副本Ⅲ	2	55	3	20	16	0	0	0	0	0	12	1	0	70	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2005	玻璃副本Ⅲ	2	101	3	23	22	0	0	0	0	0	12	1	0	70	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2006	肉肉副本Ⅳ	2	55	3	20	16	0	0	0	0	0	12	1	0	90	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2007	玻璃副本Ⅳ	2	101	3	23	22	0	0	0	0	0	12	1	0	90	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2008	肉肉副本Ⅴ	2	55	3	20	16	0	0	0	0	0	12	1	0	110	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
2009	玻璃副本Ⅴ	2	101	3	23	22	0	0	0	0	0	12	1	0	110	10000	0	100	100	100	100	60	30	3600	1	1	0	0	0
3001	异空间	2	34	3	15	19	0	0	0	0	0	12	10	0	36	10000	0	100	100	100	100	60	30	3600	1	1	1	0	0
3002	心灵世界	2	73	3	75	92	0	0	0	0	0	12	1	0	48	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3003	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3004	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3005	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3006	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3007	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3008	肉肉迷宫	2	42	3	26	29	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3009	肉肉皇宫	2	42	3	34	45	0	0	0	0	0	12	1	0	24	10000	0	100	100	100	100	60	30	3600	1	1	1	0	0
3010	荒芜之地	2	13	3	21	61	0	0	0	0	0	12	1	0	60	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3011	地下通道	2	23	3	92	129	0	0	0	0	0	12	1	0	72	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3012	元素源泉	0	126	3	52	78	0	0	0	0	0	12	255	0	0	10000	0	100	100	100	100	60	30	0	1	1	0	Y进入挂机升级打金地图	0
3013	沙漠边境	2	142	3	29	35	0	0	0	0	0	12	1	0	96	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3014	腾蛇岛	2	133	3	18	31	0	0	0	0	0	12	1	0	108	10000	0	100	100	100	100	60	30	7200	1	1	1	0	0
3015	军营	2	143	3	20	22	0	0	0	0	0	12	1	0	115	10000	0	100	100	100	100	60	30	9000	1	1	1	0	0
3016	贵族1号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	24	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3017	贵族2号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	36	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3018	贵族3号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	48	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3019	贵族4号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	60	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3020	贵族5号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	72	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3021	贵族6号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	84	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3022	贵族7号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	96	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3023	贵族8号练功场	2	147	3	37	49	0	0	0	0	0	12	1	0	108	10000	0	100	100	50	110	60	30	1800	1	1	1	0	0
3024	先祖坟墓	2	110	3	34	144	0	0	0	0	0	12	1	0	60	10000	0	100	100	100	100	60	30	10800	1	1	1	0	0
25	荒岛监狱	3	89	3	47	62	0	0	0	0	0	12	255	0	0	10000	0	100	100	100	100	50	30	0	0	0	1	0	0
110	Boss挑战场	0	147	3	36	50	0	0	0	0	0	100	50	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
3025	黑暗地宫	2	42	3	26	29	0	0	0	0	0	12	6	0	60	10000	0	100	100	100	100	60	30	1800	1	1	1	0	0
3026	有趣的空间	2	14	3	30	41	0	0	0	0	0	12	1	0	0	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3027	试炼之地	2	14	3	30	41	0	0	0	0	0	12	1	0	20	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3028	安静的舞台	2	83	3	23	34	0	0	0	0	0	12	1	0	40	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3029	阿塞林地	2	2	3	26	24	0	0	0	0	0	12	1	0	72	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3030	阿塞边镜	2	12	3	24	31	0	0	0	0	0	12	12	0	72	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
3031	选拔竞技场	2	84	3	27	40	1	0	0	0	0	12	1	0	72	10000	0	100	100	100	100	7200	30	7200	1	1	1	0	0
100	自由竞技场	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到自由竞技场参与竞技大赛，想找各路英雄美女切磋一下，其胆识和勇气令人钦佩!	0
101	单人竞技场一	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到单人竞技场一参与竞技大赛，想找各路英雄美女切磋一下，其胆识和勇气令人钦佩!	0
102	职业竞技场一	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到职业竞技场一参与竞技大赛，其胆识和勇气令人钦佩!	0
103	团队竞技场一	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到团队竞技场一参与竞技大赛，其胆识和勇气令人钦佩!	0
104	单人竞技场二	1	89	3	47	62	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到单人竞技场二参与竞技大赛，其胆识和勇气令人钦佩!	0
105	职业竞技场二	1	89	3	47	62	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到职业竞技场一参与竞技大赛，其胆识和勇气令人钦佩!	0
106	团队竞技场二	1	89	3	47	62	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到团队竞技场二参与竞技大赛，其胆识和勇气令人钦佩!	0
107	游侠竞技场	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到游侠竞技场参与竞技大赛，其胆识和勇气令人钦佩!	0
108	法师竞技场	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到法师竞技场参与竞技大赛，其胆识和勇气令人钦佩!	0
109	战士竞技场	1	147	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到战士竞技场参与竞技大赛，其胆识和勇气令人钦佩!	0
111	混战竞技场	1	140	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到混战活动竞技场参与竞技大赛，其胆识和勇气令人钦佩!	0
112	公会活动竞技场	1	140	3	36	50	1	0	0	0	0	100	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	欢迎【Y】来到公会活动竞技场参与竞技大赛，其胆识和勇气令人钦佩!	0
56	柏恩岛	0	127	3	52	113	1	52	113	999	999	12	255	0	0	10000	1	100	100	100	100	120	30	0	1	1	1	0	0
57	炙热长廊	0	93	3	36	50	1	0	0	0	0	12	255	50	0	10000	1	100	100	100	100	120	30	0	1	1	1	0	0
58	熔岩地心	0	135	3	36	50	1	0	0	0	0	12	255	50	0	10000	1	100	100	100	100	120	30	0	1	1	1	0	0
59	熔焱炼狱	0	92	3	36	50	1	0	0	0	0	12	255	50	0	10000	1	100	100	100	100	120	30	0	1	1	1	0	0
60	转生大殿	0	145	3	25	34	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	Y进入转生大殿	0
5000	塔塔岛	0	5	3	16	89	1	0	0	0	0	12	255	0	0	10000	0	100	100	100	100	120	30	7200	1	1	1	0	0
5001	无双·大秘境一层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5002	无双·大秘境二层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第2层	0
5003	无双·大秘境三层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第3层	0
5004	无双·大秘境四层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第4层	0
5005	无双·大秘境五层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第5层	0
5006	无双·大秘境六层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第6层	0
5007	无双·大秘境七层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5008	无双·大秘境八层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第8层	0
5009	无双·大秘境九层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第9层	0
5010	无双·大秘境十层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第10层	0
5011	无双·大秘境十一层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第11层	0
5012	无双·大秘境十二层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第12层	0
5013	无双·大秘境十三层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5014	无双·大秘境十四层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第14层	0
5015	无双·大秘境十五层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第15层	0
5016	无双·大秘境十六层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第16层	0
5017	无双·大秘境十七层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第17层	0
5018	无双·大秘境十八层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第18层	0
5019	无双·大秘境十九层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5020	无双·大秘境二十层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第20层	0
5021	无双·大秘境二十一层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第21层	0
5022	无双·大秘境二十二层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第22层	0
5023	无双·大秘境二十三层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第23层	0
5024	无双·大秘境二十四层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第24层	0
5025	无双·大秘境二十五层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5026	无双·大秘境二十六层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第26层	0
5027	无双·大秘境二十七层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第27层	0
5028	无双·大秘境二十八层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第28层	0
5029	无双·大秘境二十九层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第29层	0
5030	无双·大秘境三十层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第30层	0
5031	无双·大秘境三十一层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
5032	无双·大秘境三十二层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	110	110	110	120	30	900	1	1	0	Y挑战大秘境成功，进入第32层	0
5033	无双·大秘境三十三层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	120	120	120	120	30	900	1	1	0	Y挑战大秘境成功，进入第33层	0
5034	无双·大秘境三十四层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	130	130	130	120	30	900	1	1	0	Y挑战大秘境成功，进入第34层	0
5035	无双·大秘境三十五层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	140	140	140	120	30	900	1	1	0	Y挑战大秘境成功，进入第35层	0
5036	无双·大秘境三十六层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	150	150	150	120	30	900	1	1	0	Y挑战大秘境成功，进入第36层	0
5037	无双·大秘境三十七层	2	54	3	20	16	0	0	0	0	0	12	5	20	0	10000	0	100	100	100	100	120	30	900	1	1	0	0	0
