编号	名字	等级需求	图标	光影等级	套装样式	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
1110010200	精品硬皮甲	12	2	0	0	1	750	0	用硬皮制成的皮甲	500	0	0	0	0	1	15	11	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0
1110010201	精品硬皮甲+1	12	2	0	0	1	750	0	用硬皮制成的皮甲	600	0	0	0	0	1	17	13	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0
1110010202	精品硬皮甲+2	12	2	0	0	1	750	0	用硬皮制成的皮甲	700	0	0	0	0	1	19	15	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0
1110010203	精品硬皮甲+3	12	2	1	0	1	750	0	用硬皮制成的皮甲	800	0	0	0	0	1	21	17	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0
1110010204	精品硬皮甲+4	12	2	1	0	1	750	0	用硬皮制成的皮甲	900	5000	1000	0	0	1	23	19	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0
1110010205	精品硬皮甲+5	12	2	2	0	1	750	0	用硬皮制成的皮甲	1000	6000	1000	0	0	1	25	21	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0
1110010206	精品硬皮甲+6	12	2	2	0	1	750	0	用硬皮制成的皮甲	1100	7000	1000	0	0	1	27	23	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0
1110010207	精品硬皮甲+7	12	2	2	0	1	750	0	用硬皮制成的皮甲	1200	8000	1000	0	0	1	29	25	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0
1110010208	精品硬皮甲+8	12	2	3	0	1	750	0	用硬皮制成的皮甲	1300	9000	1000	0	0	1	31	27	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0
1110010209	精品硬皮甲+9	12	2	3	0	1	750	0	用硬皮制成的皮甲	1400	10000	1000	0	0	1	33	29	0	0	0	11	9	0	0	0	0	0	0	0	0	0	0
1110010210	精品硬皮甲+10	12	2	4	0	1	750	0	用硬皮制成的皮甲	0	10000	1000	0	0	1	35	31	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0
1110020200	极品硬皮甲	12	2	0	0	2	750	0	用硬皮制成的皮甲	500	0	0	0	0	1	15	11	0	0	0	5	3	2	0	0	0	2	0	0	0	0	0
1110020201	极品硬皮甲+1	12	2	0	0	2	750	0	用硬皮制成的皮甲	600	0	0	0	0	1	17	13	0	0	0	5	4	2	0	0	0	2	0	0	0	0	0
1110020202	极品硬皮甲+2	12	2	0	0	2	750	0	用硬皮制成的皮甲	700	0	0	0	0	1	19	15	0	0	0	6	5	2	0	0	0	2	0	0	0	0	0
1110020203	极品硬皮甲+3	12	2	2	0	2	750	0	用硬皮制成的皮甲	800	0	0	0	0	1	21	17	0	0	0	7	5	2	0	0	0	2	0	0	0	0	0
1110020204	极品硬皮甲+4	12	2	2	0	2	750	0	用硬皮制成的皮甲	900	0	0	0	0	1	23	19	0	0	0	7	6	2	0	0	0	2	0	0	0	0	0
1110020205	极品硬皮甲+5	12	2	3	0	2	750	0	用硬皮制成的皮甲	1000	2500	1500	0	0	1	25	21	0	0	0	8	7	2	0	0	0	2	0	0	0	0	0
1110020206	极品硬皮甲+6	12	2	3	0	2	750	0	用硬皮制成的皮甲	1100	3500	1500	0	0	1	27	23	0	0	0	9	7	2	0	0	0	2	0	0	0	0	0
1110020207	极品硬皮甲+7	12	2	3	0	2	750	0	用硬皮制成的皮甲	1200	4500	1500	0	0	1	29	25	0	0	0	9	8	2	0	0	0	2	0	0	0	0	0
1110020208	极品硬皮甲+8	12	2	4	0	2	750	0	用硬皮制成的皮甲	1300	5500	1500	0	0	1	31	27	0	0	0	10	9	2	0	0	0	2	0	0	0	0	0
1110020209	极品硬皮甲+9	12	2	4	0	2	750	0	用硬皮制成的皮甲	1400	7000	1500	0	0	1	33	29	0	0	0	11	9	2	0	0	0	2	0	0	0	0	0
1110020210	极品硬皮甲+10	12	2	5	0	2	750	0	用硬皮制成的皮甲	0	10000	1500	0	0	1	35	31	0	0	0	11	10	2	0	0	0	2	0	0	0	0	0
1110030200	完美硬皮甲	12	2	0	0	3	120000	24	用硬皮制成的皮甲	500	0	0	48	0	1	15	11	0	0	0	5	3	2	0	10	0	2	0	0	10	100	60
1110030201	完美硬皮甲+1	12	2	0	0	3	120000	24	用硬皮制成的皮甲	600	0	0	48	0	1	17	13	0	0	0	5	4	2	0	10	0	2	0	0	10	105	60
1110030202	完美硬皮甲+2	12	2	0	0	3	120000	24	用硬皮制成的皮甲	700	0	0	48	0	1	19	15	0	0	0	6	5	2	0	10	0	2	0	0	10	110	60
1110030203	完美硬皮甲+3	12	2	3	0	3	120000	24	用硬皮制成的皮甲	800	0	0	48	0	1	21	17	0	0	0	7	5	2	0	10	0	2	0	0	10	115	60
1110030204	完美硬皮甲+4	12	2	3	0	3	120000	24	用硬皮制成的皮甲	900	0	0	48	0	1	23	19	0	0	0	7	6	2	0	10	0	2	0	0	10	120	60
1110030205	完美硬皮甲+5	12	2	4	0	3	120000	24	用硬皮制成的皮甲	1000	0	0	48	0	1	25	21	0	0	0	8	7	2	0	10	0	2	0	0	10	125	60
1110030206	完美硬皮甲+6	12	2	4	0	3	120000	24	用硬皮制成的皮甲	1100	0	0	48	0	1	27	23	0	0	0	9	7	2	0	10	0	2	0	0	10	130	60
1110030207	完美硬皮甲+7	12	2	4	0	3	120000	24	用硬皮制成的皮甲	1200	1000	2000	48	0	1	29	25	0	0	0	9	8	2	0	10	0	2	0	0	10	135	60
1110030208	完美硬皮甲+8	12	2	5	0	3	120000	24	用硬皮制成的皮甲	1300	1100	2000	48	0	1	31	27	0	0	0	10	9	2	0	10	0	2	0	0	10	140	60
1110030209	完美硬皮甲+9	12	2	5	0	3	120000	24	用硬皮制成的皮甲	1400	1200	2000	48	0	1	33	29	0	0	0	11	9	2	0	10	0	2	0	0	10	145	60
1110030210	完美硬皮甲+10	12	2	6	0	3	120000	24	用硬皮制成的皮甲	0	1300	2000	48	0	1	35	31	0	0	0	11	10	2	0	10	0	2	0	0	10	150	60
1110040200	神品硬皮甲	12	2	0	0	4	200000	40	用硬皮制成的皮甲	500	0	0	80	0	1	15	11	0	0	0	5	3	2	10	10	10	2	10	10	10	100	60
1110040201	神品硬皮甲+1	12	2	0	0	4	200000	40	用硬皮制成的皮甲	600	0	0	80	0	1	17	13	0	0	0	5	4	2	10	10	10	2	10	10	10	105	60
1110040202	神品硬皮甲+2	12	2	0	0	4	200000	40	用硬皮制成的皮甲	700	0	0	80	0	1	19	15	0	0	0	6	5	2	10	10	10	2	10	10	10	110	60
1110040203	神品硬皮甲+3	12	2	4	0	4	200000	40	用硬皮制成的皮甲	800	0	0	80	0	1	21	17	0	0	0	7	5	2	10	10	10	2	10	10	10	115	60
1110040204	神品硬皮甲+4	12	2	4	0	4	200000	40	用硬皮制成的皮甲	900	0	0	80	0	1	23	19	0	0	0	7	6	2	10	10	10	2	10	10	10	120	60
1110040205	神品硬皮甲+5	12	2	5	0	4	200000	40	用硬皮制成的皮甲	1000	0	0	80	0	1	25	21	0	0	0	8	7	2	10	10	10	2	10	10	10	125	60
1110040206	神品硬皮甲+6	12	2	5	0	4	200000	40	用硬皮制成的皮甲	1100	0	0	80	0	1	27	23	0	0	0	9	7	2	10	10	10	2	10	10	10	130	60
1110040207	神品硬皮甲+7	12	2	5	0	4	200000	40	用硬皮制成的皮甲	1200	0	0	80	0	1	29	25	0	0	0	9	8	2	10	10	10	2	10	10	10	135	60
1110040208	神品硬皮甲+8	12	2	6	0	4	200000	40	用硬皮制成的皮甲	1300	0	0	80	0	1	31	27	0	0	0	10	9	2	10	10	10	2	10	10	10	140	60
1110040209	神品硬皮甲+9	12	2	6	0	4	200000	40	用硬皮制成的皮甲	1400	0	0	80	0	1	33	29	0	0	0	11	9	2	10	10	10	2	10	10	10	145	60
1110040210	神品硬皮甲+10	12	2	7	0	4	200000	40	用硬皮制成的皮甲	0	0	0	80	0	1	35	31	0	0	0	11	10	2	10	10	10	2	10	10	10	150	60
1110000300	轻灵皮甲	24	3	0	0	0	1125	0	轻巧灵便的皮甲	800	0	0	0	0	1	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000301	轻灵皮甲+1	24	3	0	0	0	1125	0	轻巧灵便的皮甲	900	0	0	0	0	1	30	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000302	轻灵皮甲+2	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1000	0	0	0	0	1	33	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000303	轻灵皮甲+3	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1100	10000	1500	0	0	1	36	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000304	轻灵皮甲+4	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1200	10000	1500	0	0	1	39	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000305	轻灵皮甲+5	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1300	10000	1500	0	0	1	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000306	轻灵皮甲+6	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1400	10000	1500	0	0	1	45	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000307	轻灵皮甲+7	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1500	10000	1500	0	0	1	48	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000308	轻灵皮甲+8	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1600	10000	1500	0	0	1	51	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000309	轻灵皮甲+9	24	3	0	0	0	1125	0	轻巧灵便的皮甲	1700	10000	1500	0	0	1	54	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000310	轻灵皮甲+10	24	3	0	0	0	1125	0	轻巧灵便的皮甲	0	10000	1500	0	0	1	57	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110010300	精品轻灵皮甲	24	3	0	0	1	1125	0	轻巧灵便的皮甲	800	0	0	0	0	1	27	19	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0
1110010301	精品轻灵皮甲+1	24	3	0	0	1	1125	0	轻巧灵便的皮甲	900	0	0	0	0	1	30	22	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0
1110010302	精品轻灵皮甲+2	24	3	0	0	1	1125	0	轻巧灵便的皮甲	1000	0	0	0	0	1	33	25	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0
1110010303	精品轻灵皮甲+3	24	3	1	0	1	1125	0	轻巧灵便的皮甲	1100	0	0	0	0	1	36	28	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0
1110010304	精品轻灵皮甲+4	24	3	1	0	1	1125	0	轻巧灵便的皮甲	1200	5000	2000	0	0	1	39	31	0	0	0	13	10	0	0	0	0	0	0	0	0	0	0
1110010305	精品轻灵皮甲+5	24	3	2	0	1	1125	0	轻巧灵便的皮甲	1300	6000	2000	0	0	1	42	34	0	0	0	14	11	0	0	0	0	0	0	0	0	0	0
1110010306	精品轻灵皮甲+6	24	3	2	0	1	1125	0	轻巧灵便的皮甲	1400	7000	2000	0	0	1	45	37	0	0	0	15	12	0	0	0	0	0	0	0	0	0	0
1110010307	精品轻灵皮甲+7	24	3	2	0	1	1125	0	轻巧灵便的皮甲	1500	8000	2000	0	0	1	48	40	0	0	0	16	13	0	0	0	0	0	0	0	0	0	0
1110010308	精品轻灵皮甲+8	24	3	3	0	1	1125	0	轻巧灵便的皮甲	1600	9000	2000	0	0	1	51	43	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0
1110010309	精品轻灵皮甲+9	24	3	3	0	1	1125	0	轻巧灵便的皮甲	1700	10000	2000	0	0	1	54	46	0	0	0	18	15	0	0	0	0	0	0	0	0	0	0
1110010310	精品轻灵皮甲+10	24	3	4	0	1	1125	0	轻巧灵便的皮甲	0	10000	2000	0	0	1	57	49	0	0	0	19	16	0	0	0	0	0	0	0	0	0	0
1110020300	极品轻灵皮甲	24	3	0	0	2	1125	0	轻巧灵便的皮甲	800	0	0	0	0	1	27	19	0	0	0	9	6	2	0	0	0	2	0	0	0	0	0
1110020301	极品轻灵皮甲+1	24	3	0	0	2	1125	0	轻巧灵便的皮甲	900	0	0	0	0	1	30	22	0	0	0	10	7	2	0	0	0	2	0	0	0	0	0
1110020302	极品轻灵皮甲+2	24	3	0	0	2	1125	0	轻巧灵便的皮甲	1000	0	0	0	0	1	33	25	0	0	0	11	8	2	0	0	0	2	0	0	0	0	0
1110020303	极品轻灵皮甲+3	24	3	2	0	2	1125	0	轻巧灵便的皮甲	1100	0	0	0	0	1	36	28	0	0	0	12	9	2	0	0	0	2	0	0	0	0	0
1110020304	极品轻灵皮甲+4	24	3	2	0	2	1125	0	轻巧灵便的皮甲	1200	0	0	0	0	1	39	31	0	0	0	13	10	2	0	0	0	2	0	0	0	0	0
1110020305	极品轻灵皮甲+5	24	3	3	0	2	1125	0	轻巧灵便的皮甲	1300	2500	2500	0	0	1	42	34	0	0	0	14	11	2	0	0	0	2	0	0	0	0	0
1110020306	极品轻灵皮甲+6	24	3	3	0	2	1125	0	轻巧灵便的皮甲	1400	3500	2500	0	0	1	45	37	0	0	0	15	12	2	0	0	0	2	0	0	0	0	0
1110020307	极品轻灵皮甲+7	24	3	3	0	2	1125	0	轻巧灵便的皮甲	1500	4500	2500	0	0	1	48	40	0	0	0	16	13	2	0	0	0	2	0	0	0	0	0
1110020308	极品轻灵皮甲+8	24	3	4	0	2	1125	0	轻巧灵便的皮甲	1600	5500	2500	0	0	1	51	43	0	0	0	17	14	2	0	0	0	2	0	0	0	0	0
1110020309	极品轻灵皮甲+9	24	3	4	0	2	1125	0	轻巧灵便的皮甲	1700	7000	2500	0	0	1	54	46	0	0	0	18	15	2	0	0	0	2	0	0	0	0	0
1110020310	极品轻灵皮甲+10	24	3	5	0	2	1125	0	轻巧灵便的皮甲	0	10000	2500	0	0	1	57	49	0	0	0	19	16	2	0	0	0	2	0	0	0	0	0
1110030300	完美轻灵皮甲	24	3	0	0	3	240000	36	轻巧灵便的皮甲	800	0	0	144	0	1	27	19	0	0	0	9	6	2	0	10	0	2	0	0	10	150	90
1110030301	完美轻灵皮甲+1	24	3	0	0	3	240000	36	轻巧灵便的皮甲	900	0	0	144	0	1	30	22	0	0	0	10	7	2	0	10	0	2	0	0	10	155	90
1110030302	完美轻灵皮甲+2	24	3	0	0	3	240000	36	轻巧灵便的皮甲	1000	0	0	144	0	1	33	25	0	0	0	11	8	2	0	10	0	2	0	0	10	160	90
1110030303	完美轻灵皮甲+3	24	3	3	0	3	240000	36	轻巧灵便的皮甲	1100	0	0	144	0	1	36	28	0	0	0	12	9	2	0	10	0	2	0	0	10	165	90
1110030304	完美轻灵皮甲+4	24	3	3	0	3	240000	36	轻巧灵便的皮甲	1200	0	0	144	0	1	39	31	0	0	0	13	10	2	0	10	0	2	0	0	10	170	90
1110030305	完美轻灵皮甲+5	24	3	4	0	3	240000	36	轻巧灵便的皮甲	1300	0	0	144	0	1	42	34	0	0	0	14	11	2	0	10	0	2	0	0	10	175	90
1110030306	完美轻灵皮甲+6	24	3	4	0	3	240000	36	轻巧灵便的皮甲	1400	0	0	144	0	1	45	37	0	0	0	15	12	2	0	10	0	2	0	0	10	180	90
1110030307	完美轻灵皮甲+7	24	3	4	0	3	240000	36	轻巧灵便的皮甲	1500	1000	3000	144	0	1	48	40	0	0	0	16	13	2	0	10	0	2	0	0	10	185	90
1110030308	完美轻灵皮甲+8	24	3	5	0	3	240000	36	轻巧灵便的皮甲	1600	2000	3000	144	0	1	51	43	0	0	0	17	14	2	0	10	0	2	0	0	10	190	90
1110030309	完美轻灵皮甲+9	24	3	5	0	3	240000	36	轻巧灵便的皮甲	1700	3000	3000	144	0	1	54	46	0	0	0	18	15	2	0	10	0	2	0	0	10	195	90
1110030310	完美轻灵皮甲+10	24	3	6	0	3	240000	36	轻巧灵便的皮甲	0	4000	3000	144	0	1	57	49	0	0	0	19	16	2	0	10	0	2	0	0	10	200	90
1110040300	神品轻灵皮甲	24	3	0	0	4	400000	60	轻巧灵便的皮甲	800	0	0	240	0	1	27	19	0	0	0	9	6	2	10	10	10	2	10	10	10	150	90
1110040301	神品轻灵皮甲+1	24	3	0	0	4	400000	60	轻巧灵便的皮甲	900	0	0	240	0	1	30	22	0	0	0	10	7	2	10	10	10	2	10	10	10	155	90
1110040302	神品轻灵皮甲+2	24	3	0	0	4	400000	60	轻巧灵便的皮甲	1000	0	0	240	0	1	33	25	0	0	0	11	8	2	10	10	10	2	10	10	10	160	90
1110040303	神品轻灵皮甲+3	24	3	4	0	4	400000	60	轻巧灵便的皮甲	1100	0	0	240	0	1	36	28	0	0	0	12	9	2	10	10	10	2	10	10	10	165	90
1110040304	神品轻灵皮甲+4	24	3	4	0	4	400000	60	轻巧灵便的皮甲	1200	0	0	240	0	1	39	31	0	0	0	13	10	2	10	10	10	2	10	10	10	170	90
1110040305	神品轻灵皮甲+5	24	3	5	0	4	400000	60	轻巧灵便的皮甲	1300	0	0	240	0	1	42	34	0	0	0	14	11	2	10	10	10	2	10	10	10	175	90
1110040306	神品轻灵皮甲+6	24	3	5	0	4	400000	60	轻巧灵便的皮甲	1400	0	0	240	0	1	45	37	0	0	0	15	12	2	10	10	10	2	10	10	10	180	90
1110040307	神品轻灵皮甲+7	24	3	5	0	4	400000	60	轻巧灵便的皮甲	1500	0	0	240	0	1	48	40	0	0	0	16	13	2	10	10	10	2	10	10	10	185	90
1110040308	神品轻灵皮甲+8	24	3	6	0	4	400000	60	轻巧灵便的皮甲	1600	0	0	240	0	1	51	43	0	0	0	17	14	2	10	10	10	2	10	10	10	190	90
1110040309	神品轻灵皮甲+9	24	3	6	0	4	400000	60	轻巧灵便的皮甲	1700	0	0	240	0	1	54	46	0	0	0	18	15	2	10	10	10	2	10	10	10	195	90
1110040310	神品轻灵皮甲+10	24	3	7	0	4	400000	60	轻巧灵便的皮甲	0	0	0	240	0	1	57	49	0	0	0	19	16	2	10	10	10	2	10	10	10	200	90
1110000400	射手皮甲	36	4	0	1	0	1687	0	神射手专用皮甲	1200	0	0	0	0	1	42	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000401	射手皮甲+1	36	4	0	1	0	1687	0	神射手专用皮甲	1300	0	0	0	0	1	45	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000402	射手皮甲+2	36	4	0	1	0	1687	0	神射手专用皮甲	1400	0	3000	0	0	1	48	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000403	射手皮甲+3	36	4	0	1	0	1687	0	神射手专用皮甲	1500	10000	3000	0	0	1	51	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000404	射手皮甲+4	36	4	0	1	0	1687	0	神射手专用皮甲	1600	10000	3000	0	0	1	54	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000405	射手皮甲+5	36	4	0	1	0	1687	0	神射手专用皮甲	1700	10000	3000	0	0	1	57	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000406	射手皮甲+6	36	4	0	1	0	1687	0	神射手专用皮甲	1800	10000	3000	0	0	1	60	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000407	射手皮甲+7	36	4	0	1	0	1687	0	神射手专用皮甲	1900	10000	3000	0	0	1	63	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000408	射手皮甲+8	36	4	0	1	0	1687	0	神射手专用皮甲	2000	10000	3000	0	0	1	66	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000409	射手皮甲+9	36	4	0	1	0	1687	0	神射手专用皮甲	2100	10000	3000	0	0	1	69	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000410	射手皮甲+10	36	4	0	1	0	1687	0	神射手专用皮甲	0	10000	3000	0	0	1	72	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110010400	精品射手皮甲	36	4	0	1	1	1687	0	神射手专用皮甲	1200	0	0	0	0	1	42	27	0	0	0	14	9	0	0	0	0	0	0	0	0	0	0
1110010401	精品射手皮甲+1	36	4	0	1	1	1687	0	神射手专用皮甲	1300	0	0	0	0	1	45	30	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0
1110010402	精品射手皮甲+2	36	4	0	1	1	1687	0	神射手专用皮甲	1400	0	0	0	0	1	48	33	0	0	0	16	11	0	0	0	0	0	0	0	0	0	0
1110010403	精品射手皮甲+3	36	4	1	1	1	1687	0	神射手专用皮甲	1500	0	0	0	0	1	51	36	0	0	0	17	12	0	0	0	0	0	0	0	0	0	0
1110010404	精品射手皮甲+4	36	4	1	1	1	1687	0	神射手专用皮甲	1600	5000	4000	0	0	1	54	39	0	0	0	18	13	0	0	0	0	0	0	0	0	0	0
1110010405	精品射手皮甲+5	36	4	2	1	1	1687	0	神射手专用皮甲	1700	6000	4000	0	0	1	57	42	0	0	0	19	14	0	0	0	0	0	0	0	0	0	0
1110010406	精品射手皮甲+6	36	4	2	1	1	1687	0	神射手专用皮甲	1800	7000	4000	0	0	1	60	45	0	0	0	20	15	0	0	0	0	0	0	0	0	0	0
1110010407	精品射手皮甲+7	36	4	2	1	1	1687	0	神射手专用皮甲	1900	8000	4000	0	0	1	63	48	0	0	0	21	16	0	0	0	0	0	0	0	0	0	0
1110010408	精品射手皮甲+8	36	4	3	1	1	1687	0	神射手专用皮甲	2000	9000	4000	0	0	1	66	51	0	0	0	22	17	0	0	0	0	0	0	0	0	0	0
1110010409	精品射手皮甲+9	36	4	3	1	1	1687	0	神射手专用皮甲	2100	10000	4000	0	0	1	69	54	0	0	0	23	18	0	0	0	0	0	0	0	0	0	0
1110010410	精品射手皮甲+10	36	4	4	1	1	1687	0	神射手专用皮甲	0	10000	4000	0	0	1	72	57	0	0	0	24	19	0	0	0	0	0	0	0	0	0	0
1110020400	极品射手皮甲	36	4	0	1	2	1687	0	神射手专用皮甲	1200	0	0	0	0	1	42	27	0	0	0	14	9	2	0	0	0	2	0	0	0	0	0
1110020401	极品射手皮甲+1	36	4	0	1	2	1687	0	神射手专用皮甲	1300	0	0	0	0	1	45	30	0	0	0	15	10	2	0	0	0	2	0	0	0	0	0
1110020402	极品射手皮甲+2	36	4	0	1	2	1687	0	神射手专用皮甲	1400	0	0	0	0	1	48	33	0	0	0	16	11	2	0	0	0	2	0	0	0	0	0
1110020403	极品射手皮甲+3	36	4	2	1	2	1687	0	神射手专用皮甲	1500	0	0	0	0	1	51	36	0	0	0	17	12	2	0	0	0	2	0	0	0	0	0
