编号	入口名字	最低转生	最高转生	最低等级	最高等级	职业	性别	完成过任务	接受了任务	最低任务数据	最高任务数据	物品需求	话语的显示文字(花括号引用任务内的发布文字)	文字颜色	选项文字1	选项命令1	选项文字2	选项命令2	选项文字3	选项命令3	选项文字4	选项命令4	选项文字5	选项命令5	选项文字6	选项命令6
id	name	minTurn	maxTurn	minLevel	maxLevel	race	sex	taskDone	taskDoing	minTaskData	maxTaskData	requiredGoodsID	text	color	options	commands	options	commands	options	commands	options	commands	options	commands	options	commands
1	level1	0	0	1	1	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你10个金币,你乐意接受吗?"	0	"好啊,我当然要"	addMoney:10	谢谢，不不需要									
2	level2	0	0	2	2	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你11个金币,你乐意接受吗?"	0		addMoney:11										
50	level50	0	0	50	50	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你59个金币,你乐意接受吗?"	0		addMoney:59
51	level51	0	0	51	51	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你60个金币,你乐意接受吗?"	0		addMoney:60
52	level52	0	0	52	52	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你61个金币,你乐意接受吗?"	0		addMoney:61
53	level53	0	0	53	53	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你62个金币,你乐意接受吗?"	0		addMoney:62
54	level54	0	0	54	54	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你63个金币,你乐意接受吗?"	0		addMoney:63
55	level55	0	0	55	55	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你64个金币,你乐意接受吗?"	0		addMoney:64
56	level56	0	0	56	56	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你65个金币,你乐意接受吗?"	0		addMoney:65
57	level57	0	0	57	57	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你66个金币,你乐意接受吗?"	0		addMoney:66
58	level58	0	0	58	58	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你67个金币,你乐意接受吗?"	0		addMoney:67
59	level59	0	0	59	59	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你68个金币,你乐意接受吗?"	0		addMoney:68
60	level60	0	0	60	60	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你69个金币,你乐意接受吗?"	0		addMoney:69
61	level61	0	0	61	61	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你70个金币,你乐意接受吗?"	0		addMoney:70
62	level62	0	0	62	62	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你71个金币,你乐意接受吗?"	0		addMoney:71
63	level63	0	0	63	63	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你72个金币,你乐意接受吗?"	0		addMoney:72
64	level64	0	0	64	64	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你73个金币,你乐意接受吗?"	0		addMoney:73
65	level65	0	0	65	65	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你74个金币,你乐意接受吗?"	0		addMoney:74
66	level66	0	0	66	66	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你75个金币,你乐意接受吗?"	0		addMoney:75
67	level67	0	0	67	67	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你76个金币,你乐意接受吗?"	0		addMoney:76
68	level68	0	0	68	68	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你77个金币,你乐意接受吗?"	0		addMoney:77
69	level69	0	0	69	69	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你78个金币,你乐意接受吗?"	0		addMoney:78
70	level70	0	0	70	70	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你79个金币,你乐意接受吗?"	0		addMoney:79
71	level71	0	0	71	71	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你80个金币,你乐意接受吗?"	0		addMoney:80
72	level72	0	0	72	72	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你81个金币,你乐意接受吗?"	0		addMoney:81
73	level73	0	0	73	73	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你82个金币,你乐意接受吗?"	0		addMoney:82
74	level74	0	0	74	74	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你83个金币,你乐意接受吗?"	0		addMoney:83
75	level75	0	0	75	75	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你84个金币,你乐意接受吗?"	0		addMoney:84
76	level76	0	0	76	76	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你85个金币,你乐意接受吗?"	0		addMoney:85
77	level77	0	0	77	77	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你86个金币,你乐意接受吗?"	0		addMoney:86
78	level78	0	0	78	78	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你87个金币,你乐意接受吗?"	0		addMoney:87
79	level79	0	0	79	79	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你88个金币,你乐意接受吗?"	0		addMoney:88
80	level80	0	0	80	80	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你89个金币,你乐意接受吗?"	0		addMoney:89
81	level81	0	0	81	81	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你90个金币,你乐意接受吗?"	0		addMoney:90
82	level82	0	0	82	82	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你91个金币,你乐意接受吗?"	0		addMoney:91
83	level83	0	0	83	83	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你92个金币,你乐意接受吗?"	0		addMoney:92
84	level84	0	0	84	84	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你93个金币,你乐意接受吗?"	0		addMoney:93
85	level85	0	0	85	85	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你94个金币,你乐意接受吗?"	0		addMoney:94
86	level86	0	0	86	86	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你95个金币,你乐意接受吗?"	0		addMoney:95
87	level87	0	0	87	87	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你96个金币,你乐意接受吗?"	0		addMoney:96
88	level88	0	0	88	88	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你97个金币,你乐意接受吗?"	0		addMoney:97
89	level89	0	0	89	89	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你98个金币,你乐意接受吗?"	0		addMoney:98
90	level90	0	0	90	90	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你99个金币,你乐意接受吗?"	0		addMoney:99
91	level91	0	0	91	91	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你100个金币,你乐意接受吗?"	0		addMoney:100
92	level92	0	0	92	92	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你101个金币,你乐意接受吗?"	0		addMoney:101
93	level93	0	0	93	93	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你102个金币,你乐意接受吗?"	0		addMoney:102
94	level94	0	0	94	94	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你103个金币,你乐意接受吗?"	0		addMoney:103
95	level95	0	0	95	95	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你104个金币,你乐意接受吗?"	0		addMoney:104
96	level96	0	0	96	96	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你105个金币,你乐意接受吗?"	0		addMoney:105
97	level97	0	0	97	97	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你106个金币,你乐意接受吗?"	0		addMoney:106
98	level98	0	0	98	98	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你107个金币,你乐意接受吗?"	0		addMoney:107
99	level99	0	0	99	99	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你108个金币,你乐意接受吗?"	0		addMoney:108
100	level100	0	0	100	100	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你109个金币,你乐意接受吗?"	0		addMoney:109
101	level101	0	0	101	101	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你110个金币,你乐意接受吗?"	0		addMoney:110
102	level102	0	0	102	102	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你111个金币,你乐意接受吗?"	0		addMoney:111
103	level103	0	0	103	103	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你112个金币,你乐意接受吗?"	0		addMoney:112
104	level104	0	0	104	104	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你113个金币,你乐意接受吗?"	0		addMoney:113
105	level105	0	0	105	105	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你114个金币,你乐意接受吗?"	0		addMoney:114
106	level106	0	0	106	106	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你115个金币,你乐意接受吗?"	0		addMoney:115
107	level107	0	0	107	107	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你116个金币,你乐意接受吗?"	0		addMoney:116
108	level108	0	0	108	108	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你117个金币,你乐意接受吗?"	0		addMoney:117
109	level109	0	0	109	109	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你118个金币,你乐意接受吗?"	0		addMoney:118
110	level110	0	0	110	110	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你119个金币,你乐意接受吗?"	0		addMoney:119
111	level111	0	0	111	111	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你120个金币,你乐意接受吗?"	0		addMoney:120
112	level112	0	0	112	112	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你121个金币,你乐意接受吗?"	0		addMoney:121
113	level113	0	0	113	113	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你122个金币,你乐意接受吗?"	0		addMoney:122
114	level114	0	0	114	114	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你123个金币,你乐意接受吗?"	0		addMoney:123
115	level115	0	0	115	115	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你124个金币,你乐意接受吗?"	0		addMoney:124
116	level116	0	0	116	116	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你125个金币,你乐意接受吗?"	0		addMoney:125
117	level117	0	0	117	117	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你126个金币,你乐意接受吗?"	0		addMoney:126
118	level118	0	0	118	118	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你127个金币,你乐意接受吗?"	0		addMoney:127
119	level119	0	0	119	119	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你128个金币,你乐意接受吗?"	0		addMoney:128
120	level120	0	0	120	120	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你129个金币,你乐意接受吗?"	0		addMoney:129
