编号	名字	等级需求	转生需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼费用	升级费用	种族要求	套装编号	套装功能1	套装参数1	套装功能2	套装参数2	套装功能3	套装参数3	套装功能4	套装参数4	套装加成技能	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
1240050209	深渊·风语长弓+9	60	1	14	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	4000	0	0	0	102	4	290	1	122	0	0	0	0	95000301	0	0	1968	2616	738	834	-500	-500	24	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050210	深渊·风语长弓+10	60	1	15	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	0	0	0	0	102	4	300	1	125	0	0	0	0	95000301	0	0	2028	2676	774	870	-500	-500	25	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050300	深渊·刺棘长弓	85	1	13	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	4500	0	0	0	103	4	270	1	153	0	0	0	0	95000301	0	0	2304	3204	771	825	-500	-500	31	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050301	深渊·刺棘长弓+1	85	1	13	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	5000	0	0	0	103	4	280	1	156	0	0	0	0	95000301	0	0	2364	3264	807	861	-500	-500	32	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050302	深渊·刺棘长弓+2	85	1	13	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	5500	0	0	0	103	4	290	1	159	0	0	0	0	95000301	0	0	2424	3324	843	897	-500	-500	33	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050303	深渊·刺棘长弓+3	85	1	13	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	6000	0	0	0	103	4	300	1	162	0	0	0	0	95000301	0	0	2484	3384	879	933	-500	-500	34	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050304	深渊·刺棘长弓+4	85	1	14	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	6500	0	0	0	103	4	310	1	165	0	0	0	0	95000301	0	0	2544	3444	915	969	-500	-500	35	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050305	深渊·刺棘长弓+5	85	1	14	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	7000	0	0	0	103	4	320	1	168	0	0	0	0	95000301	85000105	30	2604	3504	951	1005	-500	-500	36	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050306	深渊·刺棘长弓+6	85	1	14	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	7500	0	0	0	103	4	330	1	171	0	0	0	0	95000301	85000105	40	2664	3564	987	1041	-500	-500	37	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050307	深渊·刺棘长弓+7	85	1	14	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	8000	0	0	0	103	4	340	1	174	0	0	0	0	95000301	85000105	50	2724	3624	1023	1077	-500	-500	38	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050308	深渊·刺棘长弓+8	85	1	15	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	8500	0	0	0	103	4	350	1	177	0	0	0	0	95000301	85000105	60	2784	3684	1059	1113	-500	-500	39	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050309	深渊·刺棘长弓+9	85	1	15	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	9000	0	0	0	103	4	360	1	180	0	0	0	0	95000301	85000105	70	2844	3744	1095	1149	-500	-500	40	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050310	深渊·刺棘长弓+10	85	1	16	7	5	1	0	当穿齐全套深渊·刺棘套装后，会增加冰冻箭技能等级1	1	你能想象当敌人全身扎满刺的时候的样子吗？	0	0	0	0	103	4	370	1	183	0	0	0	0	95000301	85000105	80	2904	3804	1131	1185	-500	-500	41	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050400	深渊·霹雳长弓	110	1	14	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	10000	0	0	0	104	4	340	1	203	0	0	0	0	95000111	0	0	2991	4329	975	1041	-500	-500	52	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050401	深渊·霹雳长弓+1	110	1	14	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	11000	0	0	0	104	4	350	1	206	0	0	0	0	95000111	0	0	3051	4389	1011	1077	-500	-500	53	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050402	深渊·霹雳长弓+2	110	1	14	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	12000	0	0	0	104	4	360	1	209	0	0	0	0	95000111	0	0	3111	4449	1047	1113	-500	-500	54	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050403	深渊·霹雳长弓+3	110	1	14	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	13000	0	0	0	104	4	370	1	212	0	0	0	0	95000111	0	0	3171	4509	1083	1149	-500	-500	55	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050404	深渊·霹雳长弓+4	110	1	15	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	14000	0	0	0	104	4	380	1	215	0	0	0	0	95000111	0	0	3231	4569	1119	1185	-500	-500	56	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050405	深渊·霹雳长弓+5	110	1	15	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	15000	0	0	0	104	4	390	1	218	0	0	0	0	95000111	85000106	30	3291	4629	1155	1221	-500	-500	57	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050406	深渊·霹雳长弓+6	110	1	15	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	16000	0	0	0	104	4	400	1	221	0	0	0	0	95000111	85000106	40	3351	4689	1191	1257	-500	-500	58	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050407	深渊·霹雳长弓+7	110	1	15	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	17000	0	0	0	104	4	410	1	224	0	0	0	0	95000111	85000106	50	3411	4749	1227	1293	-500	-500	59	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050408	深渊·霹雳长弓+8	110	1	16	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	18000	0	0	0	104	4	420	1	227	0	0	0	0	95000111	85000106	60	3471	4809	1263	1329	-500	-500	60	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050409	深渊·霹雳长弓+9	110	1	16	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	19000	0	0	0	104	4	430	1	230	0	0	0	0	95000111	85000106	70	3531	4869	1299	1365	-500	-500	61	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050410	深渊·霹雳长弓+10	110	1	17	10	5	1	0	当穿齐全套深渊·霹雳套装后，会增加连射技能等级1	1	静若密林，动如雷霆	0	0	0	0	104	4	440	1	233	0	0	0	0	95000111	85000106	80	3591	4929	1335	1401	-500	-500	62	3	0	0	0	0	0	0	0	0	0	0	0	0
1240050500	深渊·月华长弓	130	1	15	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	15000	0	0	0	105	4	410	1	234	0	0	0	0	95000111	0	0	3510	4995	1218	1284	-500	-500	68	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050501	深渊·月华长弓+1	130	1	15	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	17000	0	0	0	105	4	420	1	238	0	0	0	0	95000111	0	0	3570	5055	1254	1320	-500	-500	69	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050502	深渊·月华长弓+2	130	1	15	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	19000	0	0	0	105	4	430	1	242	0	0	0	0	95000111	0	0	3630	5115	1290	1356	-500	-500	70	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050503	深渊·月华长弓+3	130	1	15	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	21000	0	0	0	105	4	440	1	246	0	0	0	0	95000111	0	0	3690	5175	1326	1392	-500	-500	71	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050504	深渊·月华长弓+4	130	1	16	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	23000	0	0	0	105	4	450	1	250	0	0	0	0	95000111	0	0	3750	5235	1362	1428	-500	-500	72	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050505	深渊·月华长弓+5	130	1	16	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	25000	0	0	0	105	4	460	1	254	0	0	0	0	95000111	85000107	30	3810	5295	1398	1464	-500	-500	73	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050506	深渊·月华长弓+6	130	1	16	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	27000	0	0	0	105	4	470	1	258	0	0	0	0	95000111	85000107	40	3870	5355	1434	1500	-500	-500	74	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050507	深渊·月华长弓+7	130	1	16	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	29000	0	0	0	105	4	480	1	262	0	0	0	0	95000111	85000107	50	3930	5415	1470	1536	-500	-500	75	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050508	深渊·月华长弓+8	130	1	17	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	31000	0	0	0	105	4	490	1	266	0	0	0	0	95000111	85000107	60	3990	5475	1506	1572	-500	-500	76	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050509	深渊·月华长弓+9	130	1	17	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	33000	0	0	0	105	4	500	1	270	0	0	0	0	95000111	85000107	70	4050	5535	1542	1608	-500	-500	77	4	0	0	0	0	0	0	0	0	0	0	0	0
1240050510	深渊·月华长弓+10	130	1	18	12	5	1	0	当穿齐全套深渊·月华套装后，会增加连射技能等级1	1	以月之光华给予使用者祝福	0	0	0	0	105	4	510	1	274	0	0	0	0	95000111	85000107	80	4110	5595	1578	1644	-500	-500	78	4	0	0	0	0	0	0	0	0	0	0	0	0
1241050100	深渊·诞生之杖	30	1	11	1	5	1	0		1	庆祝重生的仪式之杖	1200	0	0	1	201	4	130	8	6	2	33	0	0	0	0	0	465	540	600	828	-500	-500	5	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050101	深渊·诞生之杖+1	30	1	11	1	5	1	0		1	庆祝重生的仪式之杖	1300	0	0	1	201	4	140	8	8	2	36	0	0	0	0	0	501	576	660	888	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050102	深渊·诞生之杖+2	30	1	11	1	5	1	0		1	庆祝重生的仪式之杖	1400	0	0	1	201	4	150	8	10	2	39	0	0	0	0	0	537	612	720	948	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050103	深渊·诞生之杖+3	30	1	11	1	5	1	0		1	庆祝重生的仪式之杖	1500	0	0	1	201	4	160	8	12	2	42	0	0	0	0	0	573	648	780	1008	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050104	深渊·诞生之杖+4	30	1	12	1	5	1	0		1	庆祝重生的仪式之杖	1600	0	0	1	201	4	170	8	14	2	45	0	0	0	0	0	609	684	840	1068	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050105	深渊·诞生之杖+5	30	1	12	1	5	1	0		1	庆祝重生的仪式之杖	1700	0	0	1	201	4	180	8	16	2	48	0	0	0	0	0	645	720	900	1128	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050106	深渊·诞生之杖+6	30	1	12	1	5	1	0		1	庆祝重生的仪式之杖	1800	0	0	1	201	4	190	8	18	2	51	0	0	0	0	0	681	756	960	1188	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050107	深渊·诞生之杖+7	30	1	12	1	5	1	0		1	庆祝重生的仪式之杖	1900	0	0	1	201	4	200	8	20	2	54	0	0	0	0	0	717	792	1020	1248	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050108	深渊·诞生之杖+8	30	1	13	1	5	1	0		1	庆祝重生的仪式之杖	2000	0	0	1	201	4	210	8	22	2	57	0	0	0	0	0	753	828	1080	1308	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050109	深渊·诞生之杖+9	30	1	13	1	5	1	0		1	庆祝重生的仪式之杖	2100	0	0	1	201	4	220	8	24	2	60	0	0	0	0	0	789	864	1140	1368	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050110	深渊·诞生之杖+10	30	1	14	1	5	1	0		1	庆祝重生的仪式之杖	0	0	0	1	201	4	230	8	26	2	63	0	0	0	0	0	825	900	1200	1428	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050200	深渊·晶石之杖	60	1	12	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	2200	0	0	1	202	4	200	2	55	0	0	0	0	95010501	0	0	771	945	825	1683	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050201	深渊·晶石之杖+1	60	1	12	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	2400	0	0	1	202	4	210	2	58	0	0	0	0	95010501	0	0	807	981	885	1743	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050202	深渊·晶石之杖+2	60	1	12	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	2600	0	0	1	202	4	220	2	61	0	0	0	0	95010501	0	0	843	1017	945	1803	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050203	深渊·晶石之杖+3	60	1	12	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	2800	0	0	1	202	4	230	2	64	0	0	0	0	95010501	0	0	879	1053	1005	1863	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050204	深渊·晶石之杖+4	60	1	13	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	3000	0	0	1	202	4	240	2	67	0	0	0	0	95010501	0	0	915	1089	1065	1923	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050205	深渊·晶石之杖+5	60	1	13	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	3200	0	0	1	202	4	250	2	70	0	0	0	0	95010501	0	0	951	1125	1125	1983	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050206	深渊·晶石之杖+6	60	1	13	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	3400	0	0	1	202	4	260	2	73	0	0	0	0	95010501	0	0	987	1161	1185	2043	-500	-500	16	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050207	深渊·晶石之杖+7	60	1	13	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	3600	0	0	1	202	4	270	2	76	0	0	0	0	95010501	0	0	1023	1197	1245	2103	-500	-500	17	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050208	深渊·晶石之杖+8	60	1	14	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	3800	0	0	1	202	4	280	2	79	0	0	0	0	95010501	0	0	1059	1233	1305	2163	-500	-500	18	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050209	深渊·晶石之杖+9	60	1	14	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	4000	0	0	1	202	4	290	2	82	0	0	0	0	95010501	0	0	1095	1269	1365	2223	-500	-500	19	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050210	深渊·晶石之杖+10	60	1	15	4	5	1	0	当穿齐全套深渊·晶石套装后，会增加雷云术技能等级1	1	从魔力丰富的深渊·晶石中提炼魔源制成的法杖	0	0	0	1	202	4	300	2	85	0	0	0	0	95010501	0	0	1131	1305	1425	2283	-500	-500	20	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050300	深渊·自然之杖	85	1	13	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	4500	0	0	1	203	4	270	2	89	0	0	0	0	95010501	0	0	1215	1449	1341	2949	-500	-500	22	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050301	深渊·自然之杖+1	85	1	13	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	5000	0	0	1	203	4	280	2	92	0	0	0	0	95010501	0	0	1251	1485	1401	3009	-500	-500	23	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050302	深渊·自然之杖+2	85	1	13	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	5500	0	0	1	203	4	290	2	95	0	0	0	0	95010501	0	0	1287	1521	1461	3069	-500	-500	24	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050303	深渊·自然之杖+3	85	1	13	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	6000	0	0	1	203	4	300	2	98	0	0	0	0	95010501	0	0	1323	1557	1521	3129	-500	-500	25	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050304	深渊·自然之杖+4	85	1	14	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	6500	0	0	1	203	4	310	2	101	0	0	0	0	95010501	0	0	1359	1593	1581	3189	-500	-500	26	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050305	深渊·自然之杖+5	85	1	14	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	7000	0	0	1	203	4	320	2	104	0	0	0	0	95010501	0	0	1395	1629	1641	3249	-500	-500	27	1	0	0	0	0	0	0	0	0	0	0	0	0
1241050306	深渊·自然之杖+6	85	1	14	7	5	1	0	当穿齐全套深渊·自然套装后，会增加雷云术技能等级1	1	深渊·自然的力量，无尽而强大	7500	0	0	1	203	4	330	2	107	0	0	0	0	95010501	0	0	1431	1665	1701	3309	-500	-500	28	1	0	0	0	0	0	0	0	0	0	0	0	0
