编号	名字	等级需求	转生需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）	是否可丢弃
1232041234	无双之魄·精炼等级：34	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	8000000	0	0	0	2	0	0	2544	4592	1264	1396	-401	-401	204	1	276	490	186	172	0	0	0	0	0	0	0	0	0
1232041235	无双之魄·精炼等级：35	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	9000000	0	0	0	2	0	0	2584	4648	1284	1416	-401	-401	208	1	279	493	190	175	0	0	0	0	0	0	0	0	0
1232041236	无双之魄·精炼等级：36	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	10000000	0	0	0	2	0	0	2624	4704	1304	1436	-401	-401	212	1	282	496	194	178	0	0	0	0	0	0	0	0	0
1232041237	无双之魄·精炼等级：37	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	10000000	0	0	0	2	0	0	2664	4760	1324	1456	-401	-401	216	1	285	499	198	181	0	0	0	0	0	0	0	0	0
1232041238	无双之魄·精炼等级：38	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	10000000	0	0	0	2	0	0	2704	4816	1344	1476	-401	-401	220	1	288	502	202	184	0	0	0	0	0	0	0	0	0
1232041239	无双之魄·精炼等级：39	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	10000000	0	0	0	2	0	0	2744	4872	1364	1496	-401	-401	224	1	291	505	206	187	0	0	0	0	0	0	0	0	0
1232041240	无双之魄·精炼等级：40（附击晕特效）	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2784	4928	1384	1516	-401	-401	228	1	294	508	210	190	0	0	0	0	0	0	0	0	0
1232041241	无双之魄·精炼等级：41（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2824	4984	1404	1536	-401	-401	232	1	297	511	214	193	0	0	0	0	0	0	0	0	0
1232041242	无双之魄·精炼等级：42（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2864	5040	1424	1556	-401	-401	236	1	300	514	218	196	0	0	0	0	0	0	0	0	0
1232041243	无双之魄·精炼等级：43（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2904	5096	1444	1576	-401	-401	240	1	303	517	222	199	0	0	0	0	0	0	0	0	0
1232041244	无双之魄·精炼等级：44（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2944	5152	1464	1596	-401	-401	244	1	306	520	226	202	0	0	0	0	0	0	0	0	0
1232041245	无双之魄·精炼等级：45（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	2984	5208	1484	1616	-401	-401	248	1	309	523	230	205	0	0	0	0	0	0	0	0	0
1232041246	无双之魄·精炼等级：46（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	3024	5264	1504	1636	-401	-401	252	1	312	526	234	208	0	0	0	0	0	0	0	0	0
1232041247	无双之魄·精炼等级：47（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	3064	5320	1524	1656	-401	-401	256	1	315	529	238	211	0	0	0	0	0	0	0	0	0
1232041248	无双之魄·精炼等级：48（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	3104	5376	1544	1676	-401	-401	260	1	318	532	242	214	0	0	0	0	0	0	0	0	0
1232041249	无双之魄·精炼等级：49（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	3144	5432	1564	1696	-401	-401	264	1	321	535	246	217	0	0	0	0	0	0	0	0	0
1232041250	无双之魄·精炼等级：50（附击晕特效）	0	0	15	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒	0	无双暗影出品	10000000	0	0	0	2	85400988	35	3184	5488	1584	1716	-401	-401	268	1	324	538	250	220	0	0	0	0	0	0	0	0	0
1232041251	无双之魄·精炼等级：51（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3224	5544	1604	1736	-401	-401	272	1	327	541	254	223	0	0	0	0	0	0	0	0	0
1232041252	无双之魄·精炼等级：52（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3264	5600	1624	1756	-401	-401	276	1	330	544	258	226	0	0	0	0	0	0	0	0	0
1232041253	无双之魄·精炼等级：53（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3304	5656	1644	1776	-401	-401	280	1	333	547	262	229	0	0	0	0	0	0	0	0	0
1232041254	无双之魄·精炼等级：54（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3344	5712	1664	1796	-401	-401	284	1	336	550	266	232	0	0	0	0	0	0	0	0	0
1232041255	无双之魄·精炼等级：55（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3384	5768	1684	1816	-401	-401	288	1	339	553	270	235	0	0	0	0	0	0	0	0	0
1232041256	无双之魄·精炼等级：56（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3424	5824	1704	1836	-401	-401	292	1	342	556	274	238	0	0	0	0	0	0	0	0	0
1232041257	无双之魄·精炼等级：57（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3464	5880	1724	1856	-401	-401	296	1	345	559	278	241	0	0	0	0	0	0	0	0	0
1232041258	无双之魄·精炼等级：58（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3504	5936	1744	1876	-401	-401	300	1	348	562	282	244	0	0	0	0	0	0	0	0	0
1232041259	无双之魄·精炼等级：59（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3544	5992	1764	1896	-401	-401	304	1	351	565	286	247	0	0	0	0	0	0	0	0	0
1232041260	无双之魄·精炼等级：60（附击晕特效）	0	0	16	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3584	6048	1784	1916	-401	-401	308	13	354	568	290	250	0	0	0	0	0	0	0	0	0
1232041261	无双之魄·精炼等级：61（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3624	6104	1804	1936	-401	-401	312	13	357	571	294	253	0	0	0	0	0	0	0	0	0
1232041262	无双之魄·精炼等级：62（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3664	6160	1824	1956	-401	-401	316	13	360	574	298	256	0	0	0	0	0	0	0	0	0
1232041263	无双之魄·精炼等级：63（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3704	6216	1844	1976	-401	-401	320	13	363	577	302	259	0	0	0	0	0	0	0	0	0
1232041264	无双之魄·精炼等级：64（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3744	6272	1864	1996	-401	-401	324	13	366	580	306	262	0	0	0	0	0	0	0	0	0
1232041265	无双之魄·精炼等级：65（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3784	6328	1884	2016	-401	-401	328	13	369	583	310	265	0	0	0	0	0	0	0	0	0
1232041266	无双之魄·精炼等级：66（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3824	6384	1904	2036	-401	-401	332	13	372	586	314	268	0	0	0	0	0	0	0	0	0
1232041267	无双之魄·精炼等级：67（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3864	6440	1924	2056	-401	-401	336	13	375	589	318	271	0	0	0	0	0	0	0	0	0
1232041268	无双之魄·精炼等级：68（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3904	6496	1944	2076	-401	-401	340	13	378	592	322	274	0	0	0	0	0	0	0	0	0
1232041269	无双之魄·精炼等级：69（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3944	6552	1964	2096	-401	-401	344	13	381	595	326	277	0	0	0	0	0	0	0	0	0
1232041270	无双之魄·精炼等级：70（附击晕特效）	0	0	17	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕三秒	0	无双暗影出品	10000000	0	0	0	2	85400989	35	3984	6608	1984	2116	-401	-401	348	13	384	598	330	280	0	0	0	0	0	0	0	0	0
1232041271	无双之魄·精炼等级：71（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4024	6664	2004	2136	-401	-401	352	13	387	601	334	283	0	0	0	0	0	0	0	0	0
1232041272	无双之魄·精炼等级：72（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4064	6720	2024	2156	-401	-401	356	13	390	604	338	286	0	0	0	0	0	0	0	0	0
1232041273	无双之魄·精炼等级：73（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4104	6776	2044	2176	-401	-401	360	13	393	607	342	289	0	0	0	0	0	0	0	0	0
1232041274	无双之魄·精炼等级：74（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4144	6832	2064	2196	-401	-401	364	13	396	610	346	292	0	0	0	0	0	0	0	0	0
1232041275	无双之魄·精炼等级：75（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4184	6888	2084	2216	-401	-401	368	13	399	613	350	295	0	0	0	0	0	0	0	0	0
1232041276	无双之魄·精炼等级：76（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4224	6944	2104	2236	-401	-401	372	13	402	616	354	298	0	0	0	0	0	0	0	0	0
1232041277	无双之魄·精炼等级：77（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4264	7000	2124	2256	-401	-401	376	13	405	619	358	301	0	0	0	0	0	0	0	0	0
1232041278	无双之魄·精炼等级：78（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4304	7056	2144	2276	-401	-401	380	13	408	622	362	304	0	0	0	0	0	0	0	0	0
1232041279	无双之魄·精炼等级：79（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	10000000	0	0	0	2	85400990	35	4344	7112	2164	2296	-401	-401	384	13	411	625	366	307	0	0	0	0	0	0	0	0	0
1232041280	无双之魄·精炼等级：80（附击晕特效）	0	0	18	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕五秒	0	无双暗影出品	0	0	0	0	2	85400990	35	4384	7168	2184	2316	-401	-401	388	13	414	628	370	310	0	0	0	0	0	0	0	0	0
1232042200	进阶·远古·无双之魄	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血100	0	无双暗影出品	10000000	0	0	0	2	85000401	35	2144	4032	1064	1196	-401	-401	68	1	174	388	50	70	0	0	0	0	0	0	0	0	0
1232042201	进阶·远古·无双之魄·精炼等级：1	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血200	0	无双暗影出品	10000000	0	0	0	2	85000402	35	2204	4108	1124	1256	-401	-401	72	1	177	391	54	73	0	0	0	0	0	0	0	0	0
1232042202	进阶·远古·无双之魄·精炼等级：2	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血300	0	无双暗影出品	10000000	0	0	0	2	85000403	35	2264	4184	1184	1316	-401	-401	76	1	180	394	58	76	0	0	0	0	0	0	0	0	0
1232042203	进阶·远古·无双之魄·精炼等级：3	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血400	0	无双暗影出品	10000000	0	0	0	2	85000404	35	2324	4260	1244	1376	-401	-401	80	1	183	397	62	79	0	0	0	0	0	0	0	0	0
1232042204	进阶·远古·无双之魄·精炼等级：4	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血500	0	无双暗影出品	10000000	0	0	0	2	85000405	35	2384	4336	1304	1436	-401	-401	84	1	186	400	66	82	0	0	0	0	0	0	0	0	0
1232042205	进阶·远古·无双之魄·精炼等级：5	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血600	0	无双暗影出品	10000000	0	0	0	2	85000406	35	2444	4412	1364	1496	-401	-401	88	1	189	403	70	85	0	0	0	0	0	0	0	0	0
1232042206	进阶·远古·无双之魄·精炼等级：6	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血700	0	无双暗影出品	10000000	0	0	0	2	85000407	35	2504	4488	1424	1556	-401	-401	92	1	192	406	74	88	0	0	0	0	0	0	0	0	0
1232042207	进阶·远古·无双之魄·精炼等级：7	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血800	0	无双暗影出品	10000000	0	0	0	2	85000408	35	2564	4564	1484	1616	-401	-401	96	1	195	409	78	91	0	0	0	0	0	0	0	0	0
1232042208	进阶·远古·无双之魄·精炼等级：8	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血900	0	无双暗影出品	10000000	0	0	0	2	85000409	35	2624	4640	1544	1676	-401	-401	100	1	198	412	82	94	0	0	0	0	0	0	0	0	0
1232042209	进阶·远古·无双之魄·精炼等级：9	0	0	11	15	4	0	0	攻击目标时，有几率无视防御，使其固定掉血1000	0	无双暗影出品	10000000	0	0	0	2	85000410	35	2684	4716	1604	1736	-401	-401	104	1	201	415	86	97	0	0	0	0	0	0	0	0	0
