编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）	是否可丢弃
1221041223	无双之术·精炼等级：23	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	600000	0	0	0	1	0	0	1548	1686	2883	3570	-360	-360	40	11	117	129	246	303	2	10	10	10	49	10	10	29	0
1221041224	无双之术·精炼等级：24	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	700000	0	0	0	1	0	0	1578	1716	2964	3651	-360	-360	41	11	119	131	253	310	2	10	10	10	51	10	10	30	0
1221041225	无双之术·精炼等级：25	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	800000	0	0	0	1	0	0	1608	1746	3045	3732	-360	-360	42	11	121	133	260	317	2	10	10	10	53	10	10	31	0
1221041226	无双之术·精炼等级：26	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	900000	0	0	0	1	0	0	1638	1776	3126	3813	-360	-360	43	11	123	135	267	324	2	10	10	10	55	10	10	32	0
1221041227	无双之术·精炼等级：27	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	1000000	0	0	0	1	0	0	1668	1806	3207	3894	-360	-360	44	11	125	137	274	331	2	10	10	10	57	10	10	33	0
1221041228	无双之术·精炼等级：28	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	2000000	0	0	0	1	0	0	1698	1836	3288	3975	-360	-360	45	11	127	139	281	338	2	10	10	10	59	10	10	34	0
1221041229	无双之术·精炼等级：29	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	3000000	0	0	0	1	0	0	1728	1866	3369	4056	-360	-360	46	11	129	141	288	345	2	10	10	10	61	10	10	35	0
1221041230	无双之术·精炼等级：30	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	4000000	0	0	0	1	0	0	1758	1896	3450	4137	-360	-360	47	11	131	143	295	352	2	10	10	10	63	10	10	36	0
1221041231	无双之术·精炼等级：31	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	5000000	0	0	0	1	0	0	1788	1926	3531	4218	-360	-360	48	11	133	145	302	359	2	10	10	10	65	10	10	37	0
1221041232	无双之术·精炼等级：32	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	6000000	0	0	0	1	0	0	1818	1956	3612	4299	-360	-360	44	11	135	147	309	366	2	10	10	10	67	10	10	38	0
1221041233	无双之术·精炼等级：33	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	7000000	0	0	0	1	0	0	1848	1986	3693	4380	-360	-360	45	11	137	149	316	373	2	10	10	10	69	10	10	39	0
1221041234	无双之术·精炼等级：34	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	8000000	0	0	0	1	0	0	1878	2016	3774	4461	-360	-360	46	11	139	151	323	380	2	10	10	10	71	10	10	40	0
1221041235	无双之术·精炼等级：35	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	9000000	0	0	0	1	0	0	1908	2046	3855	4542	-360	-360	47	11	141	153	330	387	2	10	10	10	73	10	10	41	0
1221041236	无双之术·精炼等级：36	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	1938	2076	3936	4623	-360	-360	48	11	143	155	337	394	2	10	10	10	75	10	10	42	0
1221041237	无双之术·精炼等级：37	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	1968	2106	4017	4704	-360	-360	49	11	145	157	344	401	2	10	10	10	77	10	10	43	0
1221041238	无双之术·精炼等级：38	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	1998	2136	4098	4785	-360	-360	50	11	147	159	351	408	2	10	10	10	79	10	10	44	0
1221041239	无双之术·精炼等级：39	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2028	2166	4179	4866	-360	-360	51	11	149	161	358	415	2	10	10	10	81	10	10	45	0
1221041240	无双之术·精炼等级：40	0	14	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2058	2196	4260	4947	-360	-360	52	11	151	163	365	422	2	10	10	10	83	10	10	46	0
1221041241	无双之术·精炼等级：41	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2088	2226	4341	5028	-360	-360	53	11	153	165	372	429	2	10	10	10	85	10	10	47	0
1221041242	无双之术·精炼等级：42	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2118	2256	4422	5109	-360	-360	54	11	155	167	379	436	2	10	10	10	87	10	10	48	0
1221041243	无双之术·精炼等级：43	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2148	2286	4503	5190	-360	-360	55	11	157	169	386	443	2	10	10	10	89	10	10	49	0
1221041244	无双之术·精炼等级：44	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2178	2316	4584	5271	-360	-360	56	11	159	171	393	450	2	10	10	10	91	10	10	50	0
1221041245	无双之术·精炼等级：45	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2208	2346	4665	5352	-360	-360	57	11	161	173	400	457	2	10	10	10	93	10	10	51	0
1221041246	无双之术·精炼等级：46	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2238	2376	4746	5433	-360	-360	58	11	163	175	407	464	2	10	10	10	95	10	10	52	0
1221041247	无双之术·精炼等级：47	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2268	2406	4827	5514	-360	-360	59	11	165	177	414	471	2	10	10	10	97	10	10	53	0
1221041248	无双之术·精炼等级：48	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2298	2436	4908	5595	-360	-360	55	11	167	179	421	478	2	10	10	10	99	10	10	54	0
1221041249	无双之术·精炼等级：49	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2328	2466	4989	5676	-360	-360	56	11	169	181	428	485	2	10	10	10	101	10	10	55	0
1221041250	无双之术·精炼等级：50	0	15	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2358	2496	5070	5757	-360	-360	57	11	171	183	435	492	2	10	10	10	103	10	10	56	0
1221041251	无双之术·精炼等级：51	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2388	2526	5151	5838	-360	-360	58	11	173	185	442	499	2	10	10	10	105	10	10	57	0
1221041252	无双之术·精炼等级：52	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2418	2556	5232	5919	-360	-360	59	11	175	187	449	506	2	10	10	10	107	10	10	58	0
1221041253	无双之术·精炼等级：53	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2448	2586	5313	6000	-360	-360	60	11	177	189	456	513	2	10	10	10	109	10	10	59	0
1221041254	无双之术·精炼等级：54	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2478	2616	5394	6081	-360	-360	61	11	179	191	463	520	2	10	10	10	111	10	10	60	0
1221041255	无双之术·精炼等级：55	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2508	2646	5475	6162	-360	-360	62	11	181	193	470	527	2	10	10	10	113	10	10	61	0
1221041256	无双之术·精炼等级：56	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2538	2676	5556	6243	-360	-360	63	11	183	195	477	534	2	10	10	10	115	10	10	62	0
1221041257	无双之术·精炼等级：57	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2568	2706	5637	6324	-360	-360	64	11	185	197	484	541	2	10	10	10	117	10	10	63	0
1221041258	无双之术·精炼等级：58	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2598	2736	5718	6405	-360	-360	65	11	187	199	491	548	2	10	10	10	119	10	10	64	0
1221041259	无双之术·精炼等级：59	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2628	2766	5799	6486	-360	-360	66	11	189	201	498	555	2	10	10	10	121	10	10	65	0
1221041260	无双之术·精炼等级：60	0	16	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2658	2796	5880	6567	-360	-360	67	11	191	203	505	562	2	10	10	10	123	10	10	66	0
1221041261	无双之术·精炼等级：61	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2688	2826	5961	6648	-360	-360	68	11	193	205	512	569	2	10	10	10	125	10	10	67	0
1221041262	无双之术·精炼等级：62	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2718	2856	6042	6729	-360	-360	69	11	195	207	519	576	2	10	10	10	127	10	10	68	0
1221041263	无双之术·精炼等级：63	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2748	2886	6123	6810	-360	-360	70	11	197	209	526	583	2	10	10	10	129	10	10	69	0
1221041264	无双之术·精炼等级：64	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2778	2916	6204	6891	-360	-360	36	11	199	211	533	590	2	10	10	10	131	10	10	70	0
1221041265	无双之术·精炼等级：65	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2808	2946	6285	6972	-360	-360	37	11	201	213	540	597	2	10	10	10	133	10	10	71	0
1221041266	无双之术·精炼等级：66	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2838	2976	6366	7053	-360	-360	38	11	203	215	547	604	2	10	10	10	135	10	10	72	0
1221041267	无双之术·精炼等级：67	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2868	3006	6447	7134	-360	-360	39	11	205	217	554	611	2	10	10	10	137	10	10	73	0
1221041268	无双之术·精炼等级：68	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2898	3036	6528	7215	-360	-360	40	11	207	219	561	618	2	10	10	10	139	10	10	74	0
1221041269	无双之术·精炼等级：69	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2928	3066	6609	7296	-360	-360	41	11	209	221	568	625	2	10	10	10	141	10	10	75	0
1221041270	无双之术·精炼等级：70	0	17	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2958	3096	6690	7377	-360	-360	42	11	211	223	575	632	2	10	10	10	143	10	10	76	0
1221041271	无双之术·精炼等级：71	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	2988	3126	6771	7458	-360	-360	43	11	213	225	582	639	2	10	10	10	145	10	10	77	0
1221041272	无双之术·精炼等级：72	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3018	3156	6852	7539	-360	-360	44	11	215	227	589	646	2	10	10	10	147	10	10	78	0
1221041273	无双之术·精炼等级：73	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3048	3186	6933	7620	-360	-360	45	11	217	229	596	653	2	10	10	10	149	10	10	79	0
1221041274	无双之术·精炼等级：74	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3078	3216	7014	7701	-360	-360	46	11	219	231	603	660	2	10	10	10	151	10	10	80	0
1221041275	无双之术·精炼等级：75	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3108	3246	7095	7782	-360	-360	47	11	221	233	610	667	2	10	10	10	153	10	10	81	0
1221041276	无双之术·精炼等级：76	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3138	3276	7176	7863	-360	-360	48	11	223	235	617	674	2	10	10	10	155	10	10	82	0
1221041277	无双之术·精炼等级：77	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3168	3306	7257	7944	-360	-360	49	11	225	237	624	681	2	10	10	10	157	10	10	83	0
1221041278	无双之术·精炼等级：78	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3198	3336	7338	8025	-360	-360	50	11	227	239	631	688	2	10	10	10	159	10	10	84	0
1221041279	无双之术·精炼等级：79	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000000	0	0	0	1	0	0	3228	3366	7419	8106	-360	-360	51	11	229	241	638	695	2	10	10	10	161	10	10	85	0
1221041280	无双之术·精炼等级：80	0	18	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	0	0	0	0	1	0	0	3258	3396	7500	8187	-360	-360	51	11	231	243	645	702	2	10	10	10	163	10	10	86	0
1221042200	进阶·远古·无双之术	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	1000	0	0	0	1	0	0	1968	2106	4017	4704	-360	-360	24	11	71	83	85	142	2	10	10	10	3	10	10	6	0
1221042201	进阶·远古·无双之术·精炼等级：1	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	2000	0	0	0	1	0	0	2058	2196	4158	4845	-360	-360	25	11	73	85	92	149	2	10	10	10	5	10	10	7	0
1221042202	进阶·远古·无双之术·精炼等级：2	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	3000	0	0	0	1	0	0	2148	2286	4299	4986	-360	-360	26	11	75	87	99	156	2	10	10	10	7	10	10	8	0
1221042203	进阶·远古·无双之术·精炼等级：3	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	4000	0	0	0	1	0	0	2238	2376	4440	5127	-360	-360	27	11	77	89	106	163	2	10	10	10	9	10	10	9	0
1221042204	进阶·远古·无双之术·精炼等级：4	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	5000	0	0	0	1	0	0	2328	2466	4581	5268	-360	-360	28	11	79	91	113	170	2	10	10	10	11	10	10	10	0
1221042205	进阶·远古·无双之术·精炼等级：5	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	6000	0	0	0	1	0	0	2418	2556	4722	5409	-360	-360	29	11	81	93	120	177	2	10	10	10	13	10	10	11	0
1221042206	进阶·远古·无双之术·精炼等级：6	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	7000	0	0	0	1	0	0	2508	2646	4863	5550	-360	-360	30	11	83	95	127	184	2	10	10	10	15	10	10	12	0
1221042207	进阶·远古·无双之术·精炼等级：7	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	8000	0	0	0	1	0	0	2598	2736	5004	5691	-360	-360	31	11	85	97	134	191	2	10	10	10	17	10	10	13	0
1221042208	进阶·远古·无双之术·精炼等级：8	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	9000	0	0	0	1	0	0	2688	2826	5145	5832	-360	-360	32	11	87	99	141	198	2	10	10	10	19	10	10	14	0
1221042209	进阶·远古·无双之术·精炼等级：9	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000	0	0	0	1	0	0	2778	2916	5286	5973	-360	-360	33	11	89	101	148	205	2	10	10	10	21	10	10	15	0
1221042210	进阶·远古·无双之术·精炼等级：10	0	11	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	20000	0	0	0	1	0	0	2868	3006	5427	6114	-360	-360	34	11	91	103	155	212	2	10	10	10	23	10	10	16	0
1221042211	进阶·远古·无双之术·精炼等级：11	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	30000	0	0	0	1	0	0	2958	3096	5568	6255	-360	-360	35	11	93	105	162	219	2	10	10	10	25	10	10	17	0
1221042212	进阶·远古·无双之术·精炼等级：12	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	40000	0	0	0	1	0	0	3048	3186	5709	6396	-360	-360	36	11	95	107	169	226	2	10	10	10	27	10	10	18	0
1221042213	进阶·远古·无双之术·精炼等级：13	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	50000	0	0	0	1	0	0	3138	3276	5850	6537	-360	-360	37	11	97	109	176	233	2	10	10	10	29	10	10	19	0
1221042214	进阶·远古·无双之术·精炼等级：14	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	60000	0	0	0	1	0	0	3228	3366	5991	6678	-360	-360	38	11	99	111	183	240	2	10	10	10	31	10	10	20	0
1221042215	进阶·远古·无双之术·精炼等级：15	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	70000	0	0	0	1	0	0	3318	3456	6132	6819	-360	-360	39	11	101	113	190	247	2	10	10	10	33	10	10	21	0
1221042216	进阶·远古·无双之术·精炼等级：16	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	80000	0	0	0	1	0	0	3408	3546	6273	6960	-360	-360	33	11	103	115	197	254	2	10	10	10	35	10	10	22	0
1221042217	进阶·远古·无双之术·精炼等级：17	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	90000	0	0	0	1	0	0	3498	3636	6414	7101	-360	-360	34	11	105	117	204	261	2	10	10	10	37	10	10	23	0
1221042218	进阶·远古·无双之术·精炼等级：18	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	100000	0	0	0	1	0	0	3588	3726	6555	7242	-360	-360	35	11	107	119	211	268	2	10	10	10	39	10	10	24	0
1221042219	进阶·远古·无双之术·精炼等级：19	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	200000	0	0	0	1	0	0	3678	3816	6696	7383	-360	-360	36	11	109	121	218	275	2	10	10	10	41	10	10	25	0
1221042220	进阶·远古·无双之术·精炼等级：20	0	12	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	300000	0	0	0	1	0	0	3768	3906	6837	7524	-360	-360	37	11	111	123	225	282	2	10	10	10	43	10	10	26	0
1221042221	进阶·远古·无双之术·精炼等级：21	0	13	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	400000	0	0	0	1	0	0	3858	3996	6978	7665	-360	-360	38	11	113	125	232	289	2	10	10	10	45	10	10	27	0
1221042222	进阶·远古·无双之术·精炼等级：22	0	13	18	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	500000	0	0	0	1	0	0	3948	4086	7119	7806	-360	-360	39	11	115	127	239	296	2	10	10	10	47	10	10	28	0
