编号	名字	图像	游戏币价格	元宝价格	可否使用	可否交易	可否丢弃	可否出售	可否存仓库	品质	道具功能类型	参数1	参数2	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	描述
1633080222	神品附包	4	0	30	1	1	0	1	1	5	23	2	0	1633060010	1333030200	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080223	神品附包	4	0	40	1	1	0	1	1	5	23	2	0	1633060010	1333030300	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080224	神品附包	4	0	50	1	1	0	1	1	5	23	2	0	1633060010	1333030400	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080225	神品附包	4	0	60	1	1	0	1	1	5	23	2	0	1633060010	1333030500	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080226	神品附包	4	0	70	1	1	0	1	1	5	23	2	0	1633060010	1333030600	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080227	神品附包	4	0	80	1	1	0	1	1	5	23	2	0	1633060010	1333030700	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080228	神品附包	4	0	90	1	1	0	1	1	5	23	2	0	1633060010	1333030800	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080229	神品附包	4	0	100	1	1	0	1	1	5	23	2	0	1633060010	1333030900	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080230	神品附包	4	0	110	1	1	0	1	1	5	23	2	0	1633060010	1333031000	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080231	超级附包	4	0	1	1	1	0	1	1	5	23	1	0	1633060010	0	0	0	0	0	0	0	0	0	包里包括1个复活药水，使用时请确认身上有1个空位
1633080310	完美硬皮包(游侠)	4	0	104	1	1	0	1	1	5	23	9	0	1633081310	1633080211	1633040010	0	0	0	0	0	0	0	包里包括游侠12级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080311	完美轻灵包(游侠)	4	0	156	1	1	0	1	1	5	23	9	0	1633081311	1633080212	1633040010	0	0	0	0	0	0	0	包里包括游侠24级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080312	完美射手包(游侠)	4	0	186	1	1	0	1	1	5	23	9	0	1633081312	1633080213	1633040010	0	0	0	0	0	0	0	包里包括游侠36级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080313	完美宁静包(游侠)	4	0	219	1	1	0	1	1	5	23	9	0	1633081313	1633080214	1633040010	0	0	0	0	0	0	0	包里包括游侠48级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080314	完美溯雪包(游侠)	4	0	266	1	1	0	1	1	5	23	9	0	1633081314	1633080215	1633040010	0	0	0	0	0	0	0	包里包括游侠60级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080315	完美天鹰包(游侠)	4	0	354	1	1	0	1	1	5	23	9	0	1633081315	1633080216	1633040010	0	0	0	0	0	0	0	包里包括游侠72级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080316	完美穿云包(游侠)	4	0	456	1	1	0	1	1	5	23	9	0	1633081316	1633080217	1633040010	0	0	0	0	0	0	0	包里包括游侠84级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080317	完美封魔包(游侠)	4	0	571	1	1	0	1	1	5	23	9	0	1633081317	1633080218	1633040010	0	0	0	0	0	0	0	包里包括游侠96级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080318	完美狩猎包(游侠)	4	0	703	1	1	0	1	1	5	23	9	0	1633081318	1633080219	1633040010	0	0	0	0	0	0	0	包里包括游侠108级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080319	完美幻魔包(游侠)	4	0	906	1	1	0	1	1	5	23	9	0	1633081319	1633080220	1633040010	0	0	0	0	0	0	0	包里包括游侠120级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080320	完美兽皮包(法师)	4	0	100	1	1	0	1	1	5	23	9	0	1633081320	1633080211	1633040010	0	0	0	0	0	0	0	包里包括法师12级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080321	完美秘法包(法师)	4	0	150	1	1	0	1	1	5	23	9	0	1633081321	1633080212	1633040010	0	0	0	0	0	0	0	包里包括法师24级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080322	完美繁星包(法师)	4	0	172	1	1	0	1	1	5	23	9	0	1633081322	1633080213	1633040010	0	0	0	0	0	0	0	包里包括法师36级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080323	完美暗晶包(法师)	4	0	206	1	1	0	1	1	5	23	9	0	1633081323	1633080214	1633040010	0	0	0	0	0	0	0	包里包括法师48级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080324	完美信仰包(法师)	4	0	253	1	1	0	1	1	5	23	9	0	1633081324	1633080215	1633040010	0	0	0	0	0	0	0	包里包括法师60级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080325	完美祝福包(法师)	4	0	332	1	1	0	1	1	5	23	9	0	1633081325	1633080216	1633040010	0	0	0	0	0	0	0	包里包括法师72级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080326	完美圣灵包(法师)	4	0	415	1	1	0	1	1	5	23	9	0	1633081326	1633080217	1633040010	0	0	0	0	0	0	0	包里包括法师84级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080327	完美附魂包(法师)	4	0	531	1	1	0	1	1	5	23	9	0	1633081327	1633080218	1633040010	0	0	0	0	0	0	0	包里包括法师96级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080328	完美神恩包(法师)	4	0	650	1	1	0	1	1	5	23	9	0	1633081328	1633080219	1633040010	0	0	0	0	0	0	0	包里包括法师108级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080329	完美天光包(法师)	4	0	837	1	1	0	1	1	5	23	9	0	1633081329	1633080220	1633040010	0	0	0	0	0	0	0	包里包括法师120级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080330	完美精铁包(战士)	4	0	116	1	1	0	1	1	5	23	10	0	1633081330	1633080211	1633040010	0	0	0	0	0	0	0	包里包括战士12级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080331	完美青狼包(战士)	4	0	174	1	1	0	1	1	5	23	10	0	1633081331	1633080212	1633040010	0	0	0	0	0	0	0	包里包括战士24级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080332	完美光芒包(战士)	4	0	199	1	1	0	1	1	5	23	10	0	1633081332	1633080213	1633040010	0	0	0	0	0	0	0	包里包括战士36级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080333	完美闪耀包(战士)	4	0	238	1	1	0	1	1	5	23	10	0	1633081333	1633080214	1633040010	0	0	0	0	0	0	0	包里包括战士48级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080334	完美胜利包(战士)	4	0	292	1	1	0	1	1	5	23	10	0	1633081334	1633080215	1633040010	0	0	0	0	0	0	0	包里包括战士60级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080335	完美荣誉包(战士)	4	0	384	1	1	0	1	1	5	23	10	0	1633081335	1633080216	1633040010	0	0	0	0	0	0	0	包里包括战士72级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080336	完美狂暴包(战士)	4	0	480	1	1	0	1	1	5	23	10	0	1633081336	1633080217	1633040010	0	0	0	0	0	0	0	包里包括战士84级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080337	完美力量包(战士)	4	0	613	1	1	0	1	1	5	23	10	0	1633081337	1633080218	1633040010	0	0	0	0	0	0	0	包里包括战士96级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080338	完美鬼泣包(战士)	4	0	751	1	1	0	1	1	5	23	10	0	1633081338	1633080219	1633040010	0	0	0	0	0	0	0	包里包括战士108级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080339	完美毁灭包(战士)	4	0	968	1	1	0	1	1	5	23	10	0	1633081339	1633080220	1633040010	0	0	0	0	0	0	0	包里包括战士120级完美武器装备一套，1个复活药水、1个相应等级的藏宝图，并附赠变性药水1瓶，除赠品外分装在2个包里，使用时请确认身上有3个空位
1633080410	神品硬皮包(游侠)	4	0	1890	1	1	0	1	1	5	23	9	0	1633081410	1633080221	0	0	0	0	0	0	0	0	包里包括游侠12级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080411	神品轻灵包(游侠)	4	0	2580	1	1	0	1	1	5	23	9	0	1633081411	1633080222	0	0	0	0	0	0	0	0	包里包括游侠24级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080412	神品射手包(游侠)	4	0	3230	1	1	0	1	1	5	23	9	0	1633081412	1633080223	0	0	0	0	0	0	0	0	包里包括游侠36级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080413	神品宁静包(游侠)	4	0	3790	1	1	0	1	1	5	23	9	0	1633081413	1633080224	0	0	0	0	0	0	0	0	包里包括游侠48级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080414	神品溯雪包(游侠)	4	0	4400	1	1	0	1	1	5	23	9	0	1633081414	1633080225	0	0	0	0	0	0	0	0	包里包括游侠60级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080415	神品天鹰包(游侠)	4	0	5840	1	1	0	1	1	5	23	9	0	1633081415	1633080226	0	0	0	0	0	0	0	0	包里包括游侠72级神品武器装备一套，1个祈祷宝石、1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080416	神品穿云包(游侠)	4	0	7860	1	1	0	1	1	5	23	9	0	1633081416	1633080227	0	0	0	0	0	0	0	0	包里包括游侠84级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080417	神品封魔包(游侠)	4	0	9480	1	1	0	1	1	5	23	9	0	1633081417	1633080228	0	0	0	0	0	0	0	0	包里包括游侠96级神品武器装备一套，1个祈祷宝石、1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080418	神品狩猎包(游侠)	4	0	12040	1	1	0	1	1	5	23	9	0	1633081418	1633080229	0	0	0	0	0	0	0	0	包里包括游侠108级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080419	神品幻魔包(游侠)	4	0	15050	1	1	0	1	1	5	23	9	0	1633081419	1633080230	0	0	0	0	0	0	0	0	包里包括游侠120级神品武器装备一套，1个祈祷宝石、1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080420	神品兽皮包(法师)	4	0	1850	1	1	0	1	1	5	23	9	0	1633081420	1633080221	0	0	0	0	0	0	0	0	包里包括法师12级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080421	神品秘法包(法师)	4	0	2520	1	1	0	1	1	5	23	9	0	1633081421	1633080222	0	0	0	0	0	0	0	0	包里包括法师24级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080422	神品繁星包(法师)	4	0	3020	1	1	0	1	1	5	23	9	0	1633081422	1633080223	0	0	0	0	0	0	0	0	包里包括法师36级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080423	神品暗晶包(法师)	4	0	3590	1	1	0	1	1	5	23	9	0	1633081423	1633080224	0	0	0	0	0	0	0	0	包里包括法师48级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080424	神品信仰包(法师)	4	0	4210	1	1	0	1	1	5	23	9	0	1633081424	1633080225	0	0	0	0	0	0	0	0	包里包括法师60级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080425	神品祝福包(法师)	4	0	5450	1	1	0	1	1	5	23	9	0	1633081425	1633080226	0	0	0	0	0	0	0	0	包里包括法师72级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080426	神品圣灵包(法师)	4	0	7350	1	1	0	1	1	5	23	9	0	1633081426	1633080227	0	0	0	0	0	0	0	0	包里包括法师84级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080427	神品附魂包(法师)	4	0	8810	1	1	0	1	1	5	23	9	0	1633081427	1633080228	0	0	0	0	0	0	0	0	包里包括法师96级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080428	神品神恩包(法师)	4	0	11160	1	1	0	1	1	5	23	9	0	1633081428	1633080229	0	0	0	0	0	0	0	0	包里包括法师108级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080429	神品天光包(法师)	4	0	13920	1	1	0	1	1	5	23	9	0	1633081429	1633080230	0	0	0	0	0	0	0	0	包里包括法师120级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080430	神品精铁包(战士)	4	0	2030	1	1	0	1	1	5	23	10	0	1633081430	1633080221	0	0	0	0	0	0	0	0	包里包括战士12级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080431	神品青狼包(战士)	4	0	2830	1	1	0	1	1	5	23	10	0	1633081431	1633080222	0	0	0	0	0	0	0	0	包里包括战士24级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080432	神品光芒包(战士)	4	0	3460	1	1	0	1	1	5	23	10	0	1633081432	1633080223	0	0	0	0	0	0	0	0	包里包括战士36级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080433	神品闪耀包(战士)	4	0	4100	1	1	0	1	1	5	23	10	0	1633081433	1633080224	0	0	0	0	0	0	0	0	包里包括战士48级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080434	神品胜利包(战士)	4	0	4830	1	1	0	1	1	5	23	10	0	1633081434	1633080225	0	0	0	0	0	0	0	0	包里包括战士60级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080435	神品荣誉包(战士)	4	0	6330	1	1	0	1	1	5	23	10	0	1633081435	1633080226	0	0	0	0	0	0	0	0	包里包括战士72级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080436	神品狂暴包(战士)	4	0	8470	1	1	0	1	1	5	23	10	0	1633081436	1633080227	0	0	0	0	0	0	0	0	包里包括战士84级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
1633080437	神品力量包(战士)	4	0	10160	1	1	0	1	1	5	23	10	0	1633081437	1633080228	0	0	0	0	0	0	0	0	包里包括战士96级神品武器装备一套，1个复活药水、1个相应等级的藏宝图，分装在2个包里，使用时请确认身上有2个空位
