编号	名字	等级	图标	飞行特效类型	动画样式	动画播放时间	能否锁定对象	伤害类型	伤害使用次数	使用范围	伤害扩散范围X	伤害扩散范围Y	伤害范围填充	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	攻击最小值	攻击最大值	自身冷却时间	公共冷却时间	产生状态ID	产生状态几率	强壮计算因子	智力计算因子	敏捷计算因子	自身物理伤害计算因子	自身魔法伤害计算因子	怪物被伤害时的仇恨计算系数	简介
95020609	刺击	9	23	0	21	500	1	1	1	2	0	0	1	17600	95	95020610	67	99	204	2000	1000	85000109	100	0	0	0	200	0	70	攻击目标，减少目标660生命以及260魔法
95020610	刺击	10	23	0	21	500	1	1	1	2	0	0	1	0	0	0	70	105	214	2000	1000	85000110	100	0	0	0	200	0	75	攻击目标，减少目标800生命以及300魔法
95020111	闪击	1	5	0	14	400	1	1	2	2	0	0	1	4000	7	95020112	50	35	42	0	0	0	0	0	0	0	240	0	50	瞬间攻击敌人两次
95020112	闪击	2	5	0	14	400	1	1	2	2	0	0	1	5000	14	95020113	60	55	62	0	0	0	0	0	0	0	242	0	60	瞬间攻击敌人两次
95020113	闪击	3	5	0	14	400	1	1	2	2	0	0	1	6500	21	95020114	70	75	82	0	0	0	0	0	0	0	244	0	70	瞬间攻击敌人两次
95020114	闪击	4	5	0	14	400	1	1	2	2	0	0	1	8000	28	95020115	80	95	102	0	0	0	0	0	0	0	246	0	80	瞬间攻击敌人两次
95020115	闪击	5	5	0	14	400	1	1	2	2	0	0	1	10000	35	95020116	90	115	122	0	0	0	0	0	0	0	248	0	90	瞬间攻击敌人两次
95020116	闪击	6	5	0	14	400	1	1	2	2	0	0	1	12000	42	95020117	100	135	142	0	0	0	0	0	0	0	250	0	100	瞬间攻击敌人两次
95020117	闪击	7	5	0	14	400	1	1	2	2	0	0	1	14000	49	95020118	110	155	162	0	0	0	0	0	0	0	252	0	110	瞬间攻击敌人两次
95020118	闪击	8	5	0	14	400	1	1	2	2	0	0	1	17000	56	95020119	120	175	182	0	0	0	0	0	0	0	254	0	120	瞬间攻击敌人两次
95020119	闪击	9	5	0	14	400	1	1	2	2	0	0	1	20000	63	95020120	130	195	202	0	0	0	0	0	0	0	256	0	130	瞬间攻击敌人两次
95020120	闪击	10	5	0	14	400	1	1	2	2	0	0	1	0	0	0	140	215	222	0	0	0	0	0	0	0	258	0	140	瞬间攻击敌人两次
95020121	闪击	11	5	0	14	400	1	1	2	2	0	0	1	0	0	0	140	250	300	1500	800	0	0	0	0	0	260	0	200	瞬间攻击敌人两次
95020611	烈火之刃	1	34	0	28	400	1	0	1	2	0	0	1	6000	45	95020612	70	100	124	2000	1000	85001701	100	0	0	0	200	0	100	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020612	烈火之刃	2	34	0	28	400	1	0	1	2	0	0	1	7000	52	95020613	85	120	144	2000	1000	85001702	100	0	0	0	200	0	120	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020613	烈火之刃	3	34	0	28	400	1	0	1	2	0	0	1	9000	59	95020614	100	140	164	2000	1000	85001703	100	0	0	0	200	0	140	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020614	烈火之刃	4	34	0	28	400	1	0	1	2	0	0	1	11000	66	95020615	115	160	184	2000	1000	85001704	100	0	0	0	200	0	160	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020615	烈火之刃	5	34	0	28	400	1	0	1	2	0	0	1	14000	73	95020616	130	180	204	2000	1000	85001705	100	0	0	0	200	0	180	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020616	烈火之刃	6	34	0	28	400	1	0	1	2	0	0	1	17000	80	95020617	145	200	224	2000	1000	85001706	100	0	0	0	200	0	200	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020617	烈火之刃	7	34	0	28	400	1	0	1	2	0	0	1	21000	87	95020618	160	220	244	2000	1000	85001707	100	0	0	0	200	0	220	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020618	烈火之刃	8	34	0	28	400	1	0	1	2	0	0	1	26000	94	95020619	175	240	264	2000	1000	85001708	100	0	0	0	200	0	240	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020619	烈火之刃	9	34	0	28	400	1	0	1	2	0	0	1	32000	101	95020620	190	260	284	2000	1000	85001709	100	0	0	0	200	0	260	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95020620	烈火之刃	10	34	0	28	400	1	0	1	2	0	0	1	0	0	0	205	280	304	2000	1000	85001710	100	0	0	0	200	0	280	以烈火的剑锋刺穿敌人，并持续减少敌人的生命和魔法
95010101	闪电术	1	6	0	1	500	1	0	1	6	0	0	1	200	5	95010102	10	6	9	0	0	0	0	0	15	0	0	264	15	召唤闪电攻击敌人
95010102	闪电术	2	6	0	1	500	1	0	1	6	0	0	1	400	10	95010103	15	22	33	0	0	0	0	0	19	0	0	266	18	召唤闪电攻击敌人
95010103	闪电术	3	6	0	1	500	1	0	1	6	0	0	1	800	15	95010104	20	40	55	0	0	0	0	0	23	0	0	268	21	召唤闪电攻击敌人
95010104	闪电术	4	6	0	1	500	1	0	1	6	0	0	1	1400	20	95010105	25	58	87	0	0	0	0	0	27	0	0	270	24	召唤闪电攻击敌人
95010105	闪电术	5	6	0	1	500	1	0	1	6	0	0	1	2200	25	95010106	30	76	121	0	0	0	0	0	31	0	0	272	27	召唤闪电攻击敌人
95010106	闪电术	6	6	0	1	500	1	0	1	6	0	0	1	3200	30	95010107	35	97	162	0	0	0	0	0	35	0	0	276	30	召唤闪电攻击敌人
95010107	闪电术	7	6	0	1	500	1	0	1	6	0	0	1	4400	35	95010108	40	114	184	0	0	0	0	0	39	0	0	278	33	召唤闪电攻击敌人
95010108	闪电术	8	6	0	1	500	1	0	1	6	0	0	1	5800	40	95010109	45	130	226	0	0	0	0	0	43	0	0	280	36	召唤闪电攻击敌人
95010109	闪电术	9	6	0	1	500	1	0	1	6	0	0	1	7400	45	95010110	50	150	276	0	0	0	0	0	47	0	0	282	39	召唤闪电攻击敌人
95010110	闪电术	10	6	0	1	500	1	0	1	6	0	0	1	0	0	0	55	166	328	0	0	0	0	0	51	0	0	288	42	召唤闪电攻击敌人
95010201	火焰术	1	7	0	2	500	1	0	1	6	0	0	1	600	23	95010202	25	46	75	700	700	85000201	20	0	15	0	0	264	10	以烈火无情攻击敌人，并有20%的几率让目标中灼烧状态，在14秒内降低5%物理防御
95010202	火焰术	2	7	0	2	500	1	0	1	6	0	0	1	1200	28	95010203	30	57	90	700	700	85000202	23	0	19	0	0	266	13	以烈火无情攻击敌人，并有23%的几率让目标中灼烧状态，在14秒内降低8%物理防御
95010203	火焰术	3	7	0	2	500	1	0	1	6	0	0	1	2000	33	95010204	35	72	117	700	700	85000203	26	0	23	0	0	268	16	以烈火无情攻击敌人，并有26%的几率让目标中灼烧状态，在14秒内降低11%物理防御
95010204	火焰术	4	7	0	2	500	1	0	1	6	0	0	1	3000	38	95010205	40	82	145	700	700	85000204	29	0	27	0	0	270	19	以烈火无情攻击敌人，并有29%的几率让目标中灼烧状态，在14秒内降低14%物理防御
95010205	火焰术	5	7	0	2	500	1	0	1	6	0	0	1	4200	43	95010206	45	96	178	700	700	85000205	32	0	31	0	0	272	22	以烈火无情攻击敌人，并有32%的几率让目标中灼烧状态，在14秒内降低17%物理防御
95010206	火焰术	6	7	0	2	500	1	0	1	6	0	0	1	5600	48	95010207	50	106	193	700	700	85000206	35	0	35	0	0	276	25	以烈火无情攻击敌人，并有35%的几率让目标中灼烧状态，在14秒内降低20%物理防御
95010207	火焰术	7	7	0	2	500	1	0	1	6	0	0	1	7200	53	95010208	55	120	229	700	700	85000207	38	0	39	0	0	278	28	以烈火无情攻击敌人，并有38%的几率让目标中灼烧状态，在14秒内降低23%物理防御
95010208	火焰术	8	7	0	2	500	1	0	1	6	0	0	1	9000	58	95010209	60	135	267	700	700	85000208	41	0	43	0	0	280	31	以烈火无情攻击敌人，并有41%的几率让目标中灼烧状态，在14秒内降低26%物理防御
95010209	火焰术	9	7	0	2	500	1	0	1	6	0	0	1	11000	63	95010210	65	147	307	700	700	85000209	44	0	47	0	0	282	34	以烈火无情攻击敌人，并有44%的几率让目标中灼烧状态，在14秒内降低29%物理防御
95010210	火焰术	10	7	0	2	500	1	0	1	6	0	0	1	0	0	0	70	159	324	700	700	85000210	50	0	51	0	0	288	37	以烈火无情攻击敌人，并有50%的几率让目标中灼烧状态，在14秒内降低32%物理防御
95010301	石笋术	1	8	0	4	500	1	1	1	6	0	0	1	800	36	95010302	35	106	132	700	700	0	0	20	30	0	0	252	15	以石头做的匕首远距离攻击敌人
95010302	石笋术	2	8	0	4	500	1	1	1	6	0	0	1	1600	40	95010303	40	120	150	700	700	0	0	20	30	0	0	254	18	以石头做的匕首远距离攻击敌人
95010303	石笋术	3	8	0	4	500	1	1	1	6	0	0	1	2600	44	95010304	45	139	171	700	700	0	0	20	30	0	0	256	21	以石头做的匕首远距离攻击敌人
95010304	石笋术	4	8	0	4	500	1	1	1	6	0	0	1	3800	48	95010305	50	151	186	700	700	0	0	20	30	0	0	258	24	以石头做的匕首远距离攻击敌人
95010305	石笋术	5	8	0	4	500	1	1	1	6	0	0	1	5200	52	95010306	55	165	204	700	700	0	0	20	30	0	0	260	27	以石头做的匕首远距离攻击敌人
95010306	石笋术	6	8	0	4	500	1	1	1	6	0	0	1	6800	56	95010307	60	177	219	700	700	0	0	20	30	0	0	264	30	以石头做的匕首远距离攻击敌人
95010307	石笋术	7	8	0	4	500	1	1	1	6	0	0	1	8600	60	95010308	65	189	234	700	700	0	0	20	30	0	0	266	33	以石头做的匕首远距离攻击敌人
95010308	石笋术	8	8	0	4	500	1	1	1	6	0	0	1	10600	64	95010309	70	214	262	700	700	0	0	20	30	0	0	268	36	以石头做的匕首远距离攻击敌人
95010309	石笋术	9	8	0	4	500	1	1	1	6	0	0	1	12800	68	95010310	75	226	277	700	700	0	0	20	30	0	0	270	39	以石头做的匕首远距离攻击敌人
95010310	石笋术	10	8	0	4	500	1	1	1	6	0	0	1	0	0	0	80	240	292	700	700	0	0	20	30	0	0	272	42	以石头做的匕首远距离攻击敌人
95010401	雷击术	1	9	0	1	500	0	0	1	6	2	0	0	1000	49	95010402	30	105	190	700	700	0	0	0	20	0	0	240	10	以雷电攻击以目标为中心左右2格的范围
95010402	雷击术	2	9	0	1	500	0	0	1	6	2	0	0	2000	54	95010403	40	115	225	700	700	0	0	0	20	0	0	242	12	以雷电攻击以目标为中心左右2格的范围
95010403	雷击术	3	9	0	1	500	0	0	1	6	2	0	0	3200	59	95010404	50	133	264	700	700	0	0	0	20	0	0	242	14	以雷电攻击以目标为中心左右2格的范围
95010404	雷击术	4	9	0	1	500	0	0	1	6	2	0	0	4600	64	95010405	60	144	283	700	700	0	0	0	20	0	0	244	16	以雷电攻击以目标为中心左右2格的范围
95010405	雷击术	5	9	0	1	500	0	0	1	6	2	0	0	6200	69	95010406	70	157	321	700	700	0	0	0	20	0	0	244	18	以雷电攻击以目标为中心左右2格的范围
95010406	雷击术	6	9	0	1	500	0	0	1	6	2	0	0	8000	74	95010407	80	168	364	700	700	0	0	0	20	0	0	246	20	以雷电攻击以目标为中心左右2格的范围
95010407	雷击术	7	9	0	1	500	0	0	1	6	2	0	0	10000	79	95010408	90	181	412	700	700	0	0	0	20	0	0	246	22	以雷电攻击以目标为中心左右2格的范围
95010408	雷击术	8	9	0	1	500	0	0	1	6	2	0	0	12200	84	95010409	100	199	427	700	700	0	0	0	20	0	0	248	24	以雷电攻击以目标为中心左右2格的范围
95010409	雷击术	9	9	0	1	500	0	0	1	6	2	0	0	14600	89	95010410	110	211	477	700	700	0	0	0	20	0	0	248	26	以雷电攻击以目标为中心左右2格的范围
95010410	雷击术	10	9	0	1	500	0	0	1	6	2	0	0	0	0	0	120	223	531	700	700	0	0	0	20	0	0	252	28	以雷电攻击以目标为中心左右2格的范围
95010501	雷云术	1	10	0	1	500	0	0	1	6	2	2	2	1600	83	95010502	60	154	352	700	700	0	0	0	25	0	0	240	20	以雷电攻击3*3范围内的敌人
95010502	雷云术	2	10	0	1	500	0	0	1	6	2	2	2	3200	86	95010503	70	160	373	700	700	0	0	0	25	0	0	240	24	以雷电攻击3*3范围内的敌人
95010503	雷云术	3	10	0	1	500	0	0	1	6	2	2	2	5000	89	95010504	80	166	394	700	700	0	0	0	25	0	0	240	28	以雷电攻击3*3范围内的敌人
95010504	雷云术	4	10	0	1	500	0	0	1	6	2	2	2	7000	92	95010505	90	172	415	700	700	0	0	0	25	0	0	240	32	以雷电攻击3*3范围内的敌人
95010505	雷云术	5	10	0	1	500	0	0	1	6	2	2	2	9200	95	95010506	100	178	436	700	700	0	0	0	25	0	0	240	36	以雷电攻击3*3范围内的敌人
95010506	雷云术	6	10	0	1	500	0	0	1	6	2	2	2	11600	98	95010507	110	184	457	700	700	0	0	0	25	0	0	240	40	以雷电攻击3*3范围内的敌人
95010507	雷云术	7	10	0	1	500	0	0	1	6	2	2	2	14000	101	95010508	120	190	478	700	700	0	0	0	25	0	0	240	44	以雷电攻击3*3范围内的敌人
95010508	雷云术	8	10	0	1	500	0	0	1	6	2	2	2	16400	104	95010509	130	196	499	700	700	0	0	0	25	0	0	240	48	以雷电攻击3*3范围内的敌人
95010509	雷云术	9	10	0	1	500	0	0	1	6	2	2	2	18800	107	95010510	140	202	520	700	700	0	0	0	25	0	0	240	52	以雷电攻击3*3范围内的敌人
95010510	雷云术	10	10	0	1	500	0	0	1	6	2	2	2	0	0	0	150	208	541	700	700	0	0	0	25	0	0	240	56	以雷电攻击3*3范围内的敌人
95010511	雷云术	11	10	0	1	500	0	0	1	6	2	2	2	0	0	0	150	300	600	700	700	0	0	0	35	0	0	280	80	以雷电攻击3*4范围内的敌人
95010601	毒气弹	1	11	0	3	500	1	0	1	6	0	0	1	600	23	95010602	25	0	0	7000	700	85000501	50	0	10	0	0	240	30	以毒气攻击敌人，并让敌人有50%的几率中毒,每秒减少生命20，持续16秒
95010602	毒气弹	2	11	0	3	500	1	0	1	6	0	0	1	1200	28	95010603	30	0	0	7000	700	85000502	55	0	10	0	0	240	35	以毒气攻击敌人，并让敌人有55%的几率中毒,每秒减少生命25，持续16秒
95010603	毒气弹	3	11	0	3	500	1	0	1	6	0	0	1	2000	33	95010604	35	0	0	7000	700	85000503	60	0	10	0	0	240	40	以毒气攻击敌人，并让敌人有60%的几率中毒,每秒减少生命30，持续16秒
95010604	毒气弹	4	11	0	3	500	1	0	1	6	0	0	1	3000	38	95010605	40	0	0	7000	700	85000504	65	0	10	0	0	240	45	以毒气攻击敌人，并让敌人有65%的几率中毒,每秒减少生命35，持续16秒
95010605	毒气弹	5	11	0	3	500	1	0	1	6	0	0	1	4200	43	95010606	45	0	0	7000	700	85000505	70	0	10	0	0	240	50	以毒气攻击敌人，并让敌人有70%的几率中毒,每秒减少生命40，持续16秒
95010606	毒气弹	6	11	0	3	500	1	0	1	6	0	0	1	5600	48	95010607	50	0	0	7000	700	85000506	75	0	10	0	0	240	55	以毒气攻击敌人，并让敌人有75%的几率中毒,每秒减少生命45，持续16秒
95010607	毒气弹	7	11	0	3	500	1	0	1	6	0	0	1	7200	53	95010608	55	0	0	7000	700	85000507	80	0	10	0	0	240	60	以毒气攻击敌人，并让敌人有80%的几率中毒,每秒减少生命50，持续16秒
95010608	毒气弹	8	11	0	3	500	1	0	1	6	0	0	1	9000	58	95010609	60	0	0	7000	700	85000508	85	0	10	0	0	240	65	以毒气攻击敌人，并让敌人有85%的几率中毒,每秒减少生命55，持续16秒
95010609	毒气弹	9	11	0	3	500	1	0	1	6	0	0	1	11000	63	95010610	65	0	0	7000	700	85000509	90	0	10	0	0	240	70	以毒气攻击敌人，并让敌人有90%的几率中毒,每秒减少生命60，持续16秒
95010610	毒气弹	10	11	0	3	500	1	0	1	6	0	0	1	0	0	0	70	0	0	7000	700	85000510	100	0	10	0	0	240	75	以毒气攻击敌人，并让敌人有100%的几率中毒,每秒减少生命65，持续16秒
95010111	爆弹术	1	31	9	25	500	1	0	1	6	0	0	1	4000	7	95010112	80	10	20	0	0	85001601	100	0	15	0	0	240	85	将爆弹打入敌人体内，爆炸产生伤害
95010112	爆弹术	2	31	9	25	500	1	0	1	6	0	0	1	5000	14	95010113	92	30	40	0	0	85001602	100	0	19	0	0	244	90	将爆弹打入敌人体内，爆炸产生伤害
95010113	爆弹术	3	31	9	25	500	1	0	1	6	0	0	1	6500	21	95010114	104	50	60	0	0	85001603	100	0	23	0	0	250	95	将爆弹打入敌人体内，爆炸产生伤害
95010114	爆弹术	4	31	9	25	500	1	0	1	6	0	0	1	8000	28	95010115	116	70	80	0	0	85001604	100	0	27	0	0	254	100	将爆弹打入敌人体内，爆炸产生伤害
95010115	爆弹术	5	31	9	25	500	1	0	1	6	0	0	1	10000	35	95010116	128	90	100	0	0	85001605	100	0	31	0	0	260	105	将爆弹打入敌人体内，爆炸产生伤害
95010116	爆弹术	6	31	9	25	500	1	0	1	6	0	0	1	12000	42	95010117	140	110	120	0	0	85001606	100	0	35	0	0	264	110	将爆弹打入敌人体内，爆炸产生伤害
95010117	爆弹术	7	31	9	25	500	1	0	1	6	0	0	1	14000	49	95010118	152	130	140	0	0	85001607	100	0	39	0	0	270	115	将爆弹打入敌人体内，爆炸产生伤害
95010118	爆弹术	8	31	9	25	500	1	0	1	6	0	0	1	17000	56	95010119	164	150	160	0	0	85001608	100	0	43	0	0	274	120	将爆弹打入敌人体内，爆炸产生伤害
95010119	爆弹术	9	31	9	25	500	1	0	1	6	0	0	1	20000	63	95010120	176	170	180	0	0	85001609	100	0	47	0	0	280	125	将爆弹打入敌人体内，爆炸产生伤害
95010120	爆弹术	10	31	9	25	500	1	0	1	6	0	0	1	0	0	0	188	190	200	0	0	85001610	100	0	51	0	0	290	130	将爆弹打入敌人体内，爆炸产生伤害
95010121	爆弹术	11	31	9	25	500	1	0	1	6	0	0	1	0	0	0	188	250	260	0	0	85001611	100	0	60	0	0	300	150	将爆弹打入敌人体内，爆炸产生伤害
95000101	魔法箭	1	12	4	0	0	1	0	1	6	0	0	1	200	5	95000102	8	5	6	0	0	0	0	0	5	5	200	40	15	以带魔法创造的箭攻击敌人
95000102	魔法箭	2	12	4	0	0	1	0	1	6	0	0	1	400	10	95000103	11	21	28	0	0	0	0	0	5	5	200	40	17	以带魔法创造的箭攻击敌人
