编号	名字	显示图标	头顶提示	能否移动	能否攻击	起效延迟时间	持续次数	每次时间间隔	每次加生命数量	每次加魔法数量	加最大生命百分比	增加移动时间	增加移动间隔	增加攻击时间	增加攻击间隔	增加最小物理攻击	增加最大物理攻击	增加最小魔法攻击	增加最大魔法攻击	增加物理防御 	增加魔法防御 	增加命中	增加躲闪	怪物中此状态时的仇恨计算系数	简介
85000403	流血	4	0	1	1	0	2	1000	-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000404	流血	4	0	1	1	0	2	1000	-400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000405	流血	4	0	1	1	0	2	1000	-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000406	流血	4	0	1	1	0	2	1000	-600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000407	流血	4	0	1	1	0	2	1000	-700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000408	流血	4	0	1	1	0	2	1000	-800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000409	流血	4	0	1	1	0	2	1000	-900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000410	流血	4	0	1	1	0	2	1000	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000411	流血	4	0	1	1	0	2	1000	-1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000412	流血	4	0	1	1	0	2	1000	-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000413	流血	4	0	1	1	0	2	1000	-1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000414	流血	4	0	1	1	0	2	1000	-1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000415	流血	4	0	1	1	0	2	1000	-1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000416	流血	4	0	1	1	0	2	1000	-1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000417	流血	4	0	1	1	0	2	1000	-1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000418	流血	4	0	1	1	0	2	1000	-1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000419	流血	4	0	1	1	0	2	1000	-1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000420	流血	4	0	1	1	0	2	1000	-2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000421	流血	4	0	1	1	0	2	1000	-2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000422	流血	4	0	1	1	0	2	1000	-2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000423	流血	4	0	1	1	0	2	1000	-2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000424	流血	4	0	1	1	0	2	1000	-2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000425	流血	4	0	1	1	0	2	1000	-2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000426	流血	4	0	1	1	0	2	1000	-2600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000427	流血	4	0	1	1	0	2	1000	-2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000428	流血	4	0	1	1	0	2	1000	-2800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000429	流血	4	0	1	1	0	2	1000	-2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000430	流血	4	0	1	1	0	2	1000	-3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000431	流血	4	0	1	1	0	2	1000	-3100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000432	流血	4	0	1	1	0	2	1000	-3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000433	流血	4	0	1	1	0	2	1000	-3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000434	流血	4	0	1	1	0	2	1000	-3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000435	流血	4	0	1	1	0	2	1000	-3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000436	流血	4	0	1	1	0	2	1000	-3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000437	流血	4	0	1	1	0	2	1000	-3700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000438	流血	4	0	1	1	0	2	1000	-3800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000439	流血	4	0	1	1	0	2	1000	-3900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000440	流血	4	0	1	1	0	2	1000	-4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000441	流血	4	0	1	1	0	2	1000	-4100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000442	流血	4	0	1	1	0	2	1000	-4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000443	流血	4	0	1	1	0	2	1000	-4300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000444	流血	4	0	1	1	0	2	1000	-4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000445	流血	4	0	1	1	0	2	1000	-4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000446	流血	4	0	1	1	0	2	1000	-4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000447	流血	4	0	1	1	0	2	1000	-4700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000448	流血	4	0	1	1	0	2	1000	-4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000449	流血	4	0	1	1	0	2	1000	-4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000450	流血	4	0	1	1	0	2	1000	-5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000451	流血	4	0	1	1	0	2	1000	-5100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000452	流血	4	0	1	1	0	2	1000	-5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000453	流血	4	0	1	1	0	2	1000	-5300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000454	流血	4	0	1	1	0	2	1000	-5400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000455	流血	4	0	1	1	0	2	1000	-5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000456	流血	4	0	1	1	0	2	1000	-5600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000457	流血	4	0	1	1	0	2	1000	-5700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000458	流血	4	0	1	1	0	2	1000	-5800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000459	流血	4	0	1	1	0	2	1000	-5900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000460	流血	4	0	1	1	0	2	1000	-6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000461	流血	4	0	1	1	0	2	1000	-6100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000462	流血	4	0	1	1	0	2	1000	-6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000463	流血	4	0	1	1	0	2	1000	-6300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000464	流血	4	0	1	1	0	2	1000	-6400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000465	流血	4	0	1	1	0	2	1000	-6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000466	流血	4	0	1	1	0	2	1000	-6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000467	流血	4	0	1	1	0	2	1000	-6700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000468	流血	4	0	1	1	0	2	1000	-6800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000469	流血	4	0	1	1	0	2	1000	-6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000470	流血	4	0	1	1	0	2	1000	-7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000471	流血	4	0	1	1	0	2	1000	-7100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000472	流血	4	0	1	1	0	2	1000	-7200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000473	流血	4	0	1	1	0	2	1000	-7300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000474	流血	4	0	1	1	0	2	1000	-7400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000475	流血	4	0	1	1	0	2	1000	-7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000476	流血	4	0	1	1	0	2	1000	-7600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000477	流血	4	0	1	1	0	2	1000	-7700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000478	流血	4	0	1	1	0	2	1000	-7800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000479	流血	4	0	1	1	0	2	1000	-7900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000480	流血	4	0	1	1	0	2	1000	-8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000501	中毒	5	0	1	1	0	16	1000	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000502	中毒	5	0	1	1	0	16	1000	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000503	中毒	5	0	1	1	0	16	1000	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000504	中毒	5	0	1	1	0	16	1000	-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000505	中毒	5	0	1	1	0	16	1000	-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000506	中毒	5	0	1	1	0	16	1000	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000507	中毒	5	0	1	1	0	16	1000	-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000508	中毒	5	0	1	1	0	16	1000	-55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000509	中毒	5	0	1	1	0	16	1000	-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000510	中毒	5	0	1	1	0	16	1000	-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000601	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-7	-7	0	0	0	0	0	0	150	降低物理攻击
85000602	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-8	-8	0	0	0	0	0	0	150	降低物理攻击
85000603	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	150	降低物理攻击
85000604	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-10	-10	0	0	0	0	0	0	150	降低物理攻击
85000605	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-11	-11	0	0	0	0	0	0	150	降低物理攻击
85000606	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-12	-12	0	0	0	0	0	0	150	降低物理攻击
85000607	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-13	-13	0	0	0	0	0	0	150	降低物理攻击
85000608	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-14	-14	0	0	0	0	0	0	150	降低物理攻击
85000609	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-15	-15	0	0	0	0	0	0	150	降低物理攻击
85000610	脱力	6	0	1	1	0	20	1000	0	0	0	0	0	0	0	-16	-16	0	0	0	0	0	0	150	降低物理攻击
85000701	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-10	-10	0	0	200	降低魔法防御力
85000702	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-16	-16	0	0	200	降低魔法防御力
85000703	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-22	-22	0	0	200	降低魔法防御力
85000704	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-28	-28	0	0	200	降低魔法防御力
85000705	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-34	-34	0	0	200	降低魔法防御力
85000706	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-40	-40	0	0	200	降低魔法防御力
85000707	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-46	-46	0	0	200	降低魔法防御力
85000708	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-52	-52	0	0	200	降低魔法防御力
85000709	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-58	-58	0	0	200	降低魔法防御力
85000710	卸甲	7	0	1	1	0	16	1000	0	0	0	0	0	0	0	0	0	0	0	-64	-64	0	0	200	降低魔法防御力
85000801	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	提高物理防御力
85000802	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	提高物理防御力
85000803	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	提高物理防御力
85000804	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	提高物理防御力
85000805	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	提高物理防御力
85000806	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	提高物理防御力
85000807	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	提高物理防御力
85000808	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	提高物理防御力
85000809	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	提高物理防御力
85000810	护甲	8	0	1	1	0	60	1000	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	提高物理防御力
85000901	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-10	-10	0	0	200	降低魔法防御力
85000902	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-16	-16	0	0	200	降低魔法防御力
85000903	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-22	-22	0	0	200	降低魔法防御力
85000904	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-28	-28	0	0	200	降低魔法防御力
85000905	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-34	-34	0	0	200	降低魔法防御力
85000906	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-40	-40	0	0	200	降低魔法防御力
85000907	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-46	-46	0	0	200	降低魔法防御力
85000908	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-52	-52	0	0	200	降低魔法防御力
85000909	卸甲	7	0	1	1	0	12	1000	0	0	0	0	0	0	0	0	0	0	0	-58	-58	0	0	200	降低魔法防御力
85000910	卸甲	7	0	1	1	0	16	1000	0	0	0	0	0	0	0	0	0	0	0	-64	-64	0	0	200	降低魔法防御力
85001001	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-75	-25	0	0	0	0	-5	0	0	-2	0	提高攻击速度，降低物理防御以及闪躲
85001002	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-100	-40	0	0	0	0	-8	0	0	-4	0	提高攻击速度，降低物理防御以及闪躲
85001003	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-125	-55	0	0	0	0	-11	0	0	-6	0	提高攻击速度，降低物理防御以及闪躲
85001004	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-150	-70	0	0	0	0	-14	0	0	-8	0	提高攻击速度，降低物理防御以及闪躲
85001005	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-175	-85	0	0	0	0	-17	0	0	-10	0	提高攻击速度，降低物理防御以及闪躲
85001006	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-200	-100	0	0	0	0	-20	0	0	-12	0	提高攻击速度，降低物理防御以及闪躲
85001007	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-225	-115	0	0	0	0	-23	0	0	-14	0	提高攻击速度，降低物理防御以及闪躲
85001008	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-250	-130	0	0	0	0	-26	0	0	-16	0	提高攻击速度，降低物理防御以及闪躲
85001009	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-275	-145	0	0	0	0	-29	0	0	-18	0	提高攻击速度，降低物理防御以及闪躲
85001010	狂暴	10	0	1	1	0	40	1000	0	0	0	0	0	-300	-160	0	0	0	0	-32	0	0	-20	0	提高攻击速度，降低物理防御以及闪躲
85001101	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	3	3	0	0	0	0	5	0	0	提高物理攻击力以及命中
85001102	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	4	4	0	0	0	0	8	0	0	提高物理攻击力以及命中
85001103	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	5	5	0	0	0	0	11	0	0	提高物理攻击力以及命中
85001104	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	6	6	0	0	0	0	14	0	0	提高物理攻击力以及命中
85001105	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	7	7	0	0	0	0	17	0	0	提高物理攻击力以及命中
85001106	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	8	8	0	0	0	0	20	0	0	提高物理攻击力以及命中
85001107	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	9	9	0	0	0	0	23	0	0	提高物理攻击力以及命中
85001108	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	10	10	0	0	0	0	26	0	0	提高物理攻击力以及命中
85001109	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	11	11	0	0	0	0	29	0	0	提高物理攻击力以及命中
85001110	专注	11	0	1	1	0	70	1000	0	0	0	0	0	0	0	12	12	0	0	0	0	32	0	0	提高物理攻击力以及命中
85001201	迅捷	12	0	1	1	0	15	1000	0	0	0	-50	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001202	迅捷	12	0	1	1	0	17	1000	0	0	0	-75	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001203	迅捷	12	0	1	1	0	19	1000	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001204	迅捷	12	0	1	1	0	21	1000	0	0	0	-125	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001205	迅捷	12	0	1	1	0	23	1000	0	0	0	-150	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001206	迅捷	12	0	1	1	0	25	1000	0	0	0	-175	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001207	迅捷	12	0	1	1	0	27	1000	0	0	0	-200	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001208	迅捷	12	0	1	1	0	29	1000	0	0	0	-225	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001209	迅捷	12	0	1	1	0	31	1000	0	0	0	-250	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001210	迅捷	12	0	1	1	0	33	1000	0	0	0	-300	0	0	0	0	0	0	0	0	0	0	0	0	提高移动速度
85001301	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	提高魔法攻击力
85001302	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	提高魔法攻击力
85001303	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	提高魔法攻击力
85001304	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	提高魔法攻击力
85001305	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	提高魔法攻击力
85001306	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	提高魔法攻击力
85001307	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	提高魔法攻击力
85001308	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	提高魔法攻击力
85001309	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	提高魔法攻击力
85001310	适魔	13	0	1	1	0	80	1000	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	提高魔法攻击力
85001401	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	提高闪避
85001402	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	提高闪避
85001403	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	提高闪避
85001404	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	提高闪避
85001405	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	提高闪避
85001406	躲闪	14	0	1	1	0	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	提高闪避
