编号	名字	初始是否激活	激活条件-场景时间	激活条件-场景玩家数	激活条件-怪物死亡计数	复活时间下限	复活时间上限	复活地点范围	可复活次数	复活后发布公告范围(0不公告、1场景公告、2世界公告)	复活公告文本	前进目标位置X	前进目标位置Y	目标区域	随机移动范围	随机移动间隔	主动攻击范围	索敌时间	索敌成功几率	攻击对象PK值优先	攻击对象距离优先	攻击对象等级优先	攻击对象生命优先	攻击对象种族优先	还击时间	在该范围内战斗	飞到目标跟前战斗	超出范围是否飞回	返回途中是否战斗	受攻击时考虑改变攻击目标	超出攻击范围时考虑改变目标	超出攻击范围是否追击	最大追击步数	当生命少于该比例使用治疗技能	使用治疗性技能的几率	治疗性技能编号	使用技能攻击的几率	重复使用攻击技能的几率	攻击技能1	使用技能1的几率	使用技能1的生命条件	技能1的优先选择目标类型	攻击技能2	使用技能2的几率	使用技能2的生命条件	技能2的优先选择目标类型	攻击技能3	使用技能3的几率	使用技能3的生命条件	技能3的优先选择目标类型	攻击技能4	使用技能4的几率	使用技能4的生命条件	技能4的优先选择目标类型	攻击技能5	使用技能5的几率	使用技能5的生命条件	技能5的优先选择目标类型	死亡后计数值	生命少于该值逃跑	受伤害高于该值逃跑	逃跑距离	自动治疗时间间隔	治疗比例(百分比)	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	是否开启仇恨记录	攻击目标仇恨优先值	对游侠的仇恨系数	对法师的仇恨系数	对战士的仇恨系数	对近身攻击的仇恨加权系数	对远程攻击的仇恨加权系数	被魔法攻击的仇恨加权系数	被物理攻击的仇恨加权系数
80000010	副本怪	1	0	0	0	10000	30000	3	99999999	0	0	0	0	0	5	5000	5	3000	90	0	1	0	0	2	800	10	0	0	0	1	0	1	15	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000011	副本小BOSS	1	0	0	0	10000000	10000000	3	99999999	0	0	0	0	0	5	3000	7	0	100	0	1	0	1	2	800	10	0	1	0	1	1	1	9999	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000012	小BOSS	1	0	0	0	1500000	1800000	1	99999999	0	0	0	0	0	20	3000	7	0	100	0	1	0	1	2	800	20	0	1	0	1	1	1	9999	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000013	2格主动攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	3	4000	90	0	1	0	0	2	800	5	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000014	远程不追击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	7	1000	100	0	1	0	0	1	800	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000015	玻璃	1	0	0	0	60000	120000	100	99999999	0	0	0	0	0	5	5000	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88888881	测试3C地图怪物AI-1	0	10000	0	0	0	0	0	0	0	0	30	60	5	5	5000	5	1000	100	0	1	0	0	2	1000	200	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88888882	测试3C地图怪物AI-2	0	50000	0	0	0	0	0	0	0	0	30	60	5	5	5000	5	1000	100	0	1	0	0	2	1000	200	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88888883	测试3C地图怪物AI-3	0	120000	0	0	0	0	0	0	0	0	30	60	5	5	5000	5	1000	100	0	1	0	0	2	1000	200	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88888884	测试3C地图怪物AI-4	0	200000	0	0	0	0	0	0	0	0	30	60	5	5	5000	5	1000	100	0	1	0	0	2	1000	200	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000002	赎罪药水第二批怪	0	0	0	12	0	0	0	0	0	0	0	0	0	10	5000	5	1000	80	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000006	赎罪药水任务大怪	0	0	0	60	0	0	0	0	0	0	0	0	0	10	5000	5	1000	1000	0	1	0	0	2	800	10	0	1	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000001	赎罪药水第一批怪	1	0	0	0	0	0	0	0	0	0	0	0	0	10	5000	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000003	赎罪药水第三批怪	0	0	0	24	0	0	0	0	0	0	0	0	0	10	5000	5	1000	80	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000004	赎罪药水第四批怪	0	0	0	36	0	0	0	0	0	0	0	0	0	10	5000	5	1000	80	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81000005	赎罪药水第五批怪	0	0	0	48	0	0	0	0	0	0	0	0	0	10	5000	5	1000	80	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000016	任务副本怪	1	0	0	0	0	0	0	0	0	0	0	0	0	10	5000	5	1000	70	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000017	任务副本BOSS	0	0	0	36	0	0	0	0	0	0	0	0	0	10	5000	5	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000018	欺骗之心	0	0	0	20	0	0	0	0	1	“欺骗之心”在(75，105)坐标出现了。	0	0	0	10	5000	5	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000019	诱惑之心	0	0	0	30	0	0	0	0	1	“诱惑之心”在(75，105)坐标出现了。	0	0	0	10	5000	5	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000020	邪恶之心	0	0	0	50	0	0	0	0	1	“邪恶之心”在(75，105)坐标出现了。	0	0	0	10	5000	5	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000021	肉肉大兵	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80000022	肉肉卫兵	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80000023	肉肉BOSS	0	0	0	2	0	0	0	0	0	0	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	0	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80000024	精英头领	0	0	0	60	0	0	0	0	1	“精英头领”在(36，60)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000025	弗朗西斯	0	0	0	80	0	0	0	0	1	“弗朗西斯”在(74，38)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000026	奥尔亚瑟	0	0	0	100	0	0	0	0	1	“奥尔亚瑟”在(48，100)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000027	恶魔之子	0	0	0	200	0	0	0	0	1	“恶魔之子”在(48，100)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000028	恶梦之邪念	0	0	0	350	0	0	0	0	1	“恶梦之邪念”在(48，100)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000029	黑暗守门人	0	0	0	350	0	0	0	0	1	“黑暗守门人”在(30，42)坐标出现了。	0	0	0	5	3000	7	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000030	黑暗守门人	0	0	1	0	0	0	0	0	1	黑暗中流淌着某种邪恶的气息，似乎有什么东西正在向你靠近。	0	0	0	20	2000	20	200	1000	0	1	0	0	2	200	200	0	1	0	1	1	1	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000031	魔巨人·犹加	0	0	0	36	0	0	0	0	1	“魔巨人·犹加”在(36，36)坐标出现了。	0	0	0	10	5000	5	1000	100	0	1	0	0	2	800	10	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80010001	深渊地穴领主	1	0	0	0	90000000	8640000	0	86400000	2	邪恶的深渊地穴领主在夏亚地宫二层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110101	40	100	2	95110102	70	100	2	95110103	95	100	2	95110100	100	100	1	0	0	0	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	15	12	50	80	80	60
80010002	远古女妖	1	0	0	0	90000000	8640000	0	86400000	2	狡猾的远古女妖在血精森林出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	0	1	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110201	20	100	5	95110202	50	100	1	95110203	90	100	6	95110204	95	100	7	95110100	100	100	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	10	12	80	50	50	80
80010003	杀戮魔	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110301	40	100	2	95110302	80	100	4	95110303	90	30	7	95110304	95	30	1	95110100	100	100	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010004	牛头军首领	1	0	0	0	90000000	8640000	0	86400000	2	强大的牛头军首领在奇镜岛出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110401	25	100	1	95110402	60	100	1	95110403	95	100	1	95110100	100	100	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	10	12	80	60	60	80
80010005	血零	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110411	30	100	1	95110412	60	100	1	95110413	80	100	1	95110414	100	100	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010006	魔人夕影	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110421	50	100	1	95110422	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010007	金怪	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110431	35	100	1	95110432	70	100	1	95110433	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010008	火焰之魂	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110441	35	100	1	95110442	70	100	1	95110443	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010009	魔石灵	1	0	0	0	90000000	8640000	0	86400000	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110451	25	100	1	95110452	50	100	1	95110453	75	100	1	95110454	100	0	1	0	0	0	0	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
80010010	60boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	0	1	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110201	20	100	5	95110202	50	100	1	95110203	90	100	6	95110204	95	100	7	95110100	100	100	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	10	12	80	50	50	80
80010011	70boss	0	0	0	90	0	0	0	0	1	秘境的boss已经苏醒，坐标（34，40）	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110301	40	100	2	95110302	80	100	4	95110303	90	30	7	95110304	95	30	1	95110100	100	100	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
