编号	名字	图标	动画播放时间	目标类型(0正面1负面)	动画样式	目标状态编号	成功几率	使用范围	等级	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	自身冷却时间	公共冷却时间	简介
97020208	狂暴	20	500	0	9	85001008	100	6	8	4500	58	97020209	48	10000	1000	让自己进入狂暴状态，在40秒之内提高250的攻击速度，并降低自身除装备外的26%物理防御以及16%闪避
97020209	狂暴	20	500	0	9	85001009	100	6	9	6000	63	97020210	52	10000	1000	让自己进入狂暴状态，在40秒之内提高275的攻击速度，并降低自身除装备外的29%物理防御以及18%闪避
97020210	狂暴	20	500	0	9	85001010	100	6	10	0	0	0	56	10000	1000	让自己进入狂暴状态，在40秒之内提高300的攻击速度，并降低自身除装备外的32%物理防御以及20%闪避
97020301	专注	21	500	0	8	85001101	100	6	1	150	5	97020302	8	10000	1000	让自己进入专注状态，在70秒之内提高2%自身除装备外的物理攻击以及5%命中
97020302	专注	21	500	0	8	85001102	100	6	2	300	10	97020303	12	10000	1000	让自己进入专注状态，在70秒之内提高3%自身除装备外的物理攻击以及8%命中
97020303	专注	21	500	0	8	85001103	100	6	3	600	15	97020304	16	10000	1000	让自己进入专注状态，在70秒之内提高4%自身除装备外的物理攻击以及11%命中
97020304	专注	21	500	0	8	85001104	100	6	4	1050	20	97020305	20	10000	1000	让自己进入专注状态，在70秒之内提高5%自身除装备外的物理攻击以及14%命中
97020305	专注	21	500	0	8	85001105	100	6	5	1650	25	97020306	24	10000	1000	让自己进入专注状态，在70秒之内提高6%自身除装备外的物理攻击以及17%命中
97020306	专注	21	500	0	8	85001106	100	6	6	2400	30	97020307	28	10000	1000	让自己进入专注状态，在70秒之内提高7%自身除装备外的物理攻击以及20%命中
97020307	专注	21	500	0	8	85001107	100	6	7	3300	35	97020308	32	10000	1000	让自己进入专注状态，在70秒之内提高8%自身除装备外的物理攻击以及23%命中
97020308	专注	21	500	0	8	85001108	100	6	8	4500	40	97020309	36	10000	1000	让自己进入专注状态，在70秒之内提高9%自身除装备外的物理攻击以及26%命中
97020309	专注	21	500	0	8	85001109	100	6	9	6000	45	97020310	40	10000	1000	让自己进入专注状态，在70秒之内提高10%自身除装备外的物理攻击以及29%命中
97020310	专注	21	500	0	8	85001110	100	6	10	0	0	0	44	10000	1000	让自己进入专注状态，在70秒之内提高11%自身除装备外的物理攻击以及32%命中
97020401	迅捷	22	500	0	12	85001201	100	6	1	150	37	97020402	35	40000	1000	让自己进入迅捷状态，在15秒之内提高150的移动速度
97020402	迅捷	22	500	0	12	85001202	100	6	2	300	42	97020403	40	40000	1000	让自己进入迅捷状态，在17秒之内提高175的移动速度
97020403	迅捷	22	500	0	12	85001203	100	6	3	600	47	97020404	45	40000	1000	让自己进入迅捷状态，在19秒之内提高200的移动速度
97020404	迅捷	22	500	0	12	85001204	100	6	4	1050	52	97020405	50	40000	1000	让自己进入迅捷状态，在21秒之内提高225的移动速度
97020405	迅捷	22	500	0	12	85001205	100	6	5	1650	57	97020406	55	40000	1000	让自己进入迅捷状态，在23秒之内提高250的移动速度
97020406	迅捷	22	500	0	12	85001206	100	6	6	2400	62	97020407	60	40000	1000	让自己进入迅捷状态，在25秒之内提高275的移动速度
97020407	迅捷	22	500	0	12	85001207	100	6	7	3300	67	97020408	65	40000	1000	让自己进入迅捷状态，在27秒之内提高300的移动速度
97020408	迅捷	22	500	0	12	85001208	100	6	8	4500	72	97020409	70	40000	1000	让自己进入迅捷状态，在29秒之内提高325的移动速度
97020409	迅捷	22	500	0	12	85001209	100	6	9	6000	77	97020410	75	40000	1000	让自己进入迅捷状态，在31秒之内提高350的移动速度
97020410	迅捷	22	500	0	12	85001210	100	6	10	0	0	0	80	40000	1000	让自己进入迅捷状态，在33秒之内提高400的移动速度
97020211	狂热	35	500	0	27	82002101	100	6	1	6000	60	97020212	120	10000	800	让自己进入狂热状态，在40秒之内提高75的攻击速度
97020212	狂热	35	500	0	27	82002102	100	6	2	7000	67	97020213	135	10000	800	让自己进入狂热状态，在40秒之内提高100的攻击速度
97020213	狂热	35	500	0	27	82002103	100	6	3	9000	74	97020214	150	10000	800	让自己进入狂热状态，在40秒之内提高125的攻击速度
97020214	狂热	35	500	0	27	82002104	100	6	4	11000	81	97020215	165	10000	800	让自己进入狂热状态，在40秒之内提高150的攻击速度
97020215	狂热	35	500	0	27	82002105	100	6	5	14000	88	97020216	180	10000	800	让自己进入狂热状态，在40秒之内提高175的攻击速度
97020216	狂热	35	500	0	27	82002106	100	6	6	17000	95	97020217	195	10000	800	让自己进入狂热状态，在40秒之内提高200的攻击速度
97020217	狂热	35	500	0	27	82002107	100	6	7	21000	102	97020218	210	10000	800	让自己进入狂热状态，在40秒之内提高225的攻击速度
97020218	狂热	35	500	0	27	82002108	100	6	8	26000	109	97020219	225	10000	800	让自己进入狂热状态，在40秒之内提高250的攻击速度
97020219	狂热	35	500	0	27	82002109	100	6	9	32000	116	97020220	240	10000	800	让自己进入狂热状态，在40秒之内提高275的攻击速度
97020220	狂热	35	500	0	27	82002110	100	6	10	0	0	0	255	10000	800	让自己进入狂热状态，在40秒之内提高300的攻击速度
97010101	适魔	24	500	0	20	85001301	100	6	1	150	5	97010102	15	10000	1000	让自己进入适魔状态，在80秒之内提高2%自身除装备外的魔法攻击
97010102	适魔	24	500	0	20	85001302	100	6	2	300	10	97010103	20	10000	1000	让自己进入适魔状态，在80秒之内提高3%自身除装备外的魔法攻击
97010103	适魔	24	500	0	20	85001303	100	6	3	600	15	97010104	25	10000	1000	让自己进入适魔状态，在80秒之内提高4%自身除装备外的魔法攻击
97010104	适魔	24	500	0	20	85001304	100	6	4	1050	20	97010105	30	10000	1000	让自己进入适魔状态，在80秒之内提高5%自身除装备外的魔法攻击
97010105	适魔	24	500	0	20	85001305	100	6	5	1650	25	97010106	35	10000	1000	让自己进入适魔状态，在80秒之内提高6%自身除装备外的魔法攻击
97010106	适魔	24	500	0	20	85001306	100	6	6	2400	30	97010107	40	10000	1000	让自己进入适魔状态，在80秒之内提高7%自身除装备外的魔法攻击
97010107	适魔	24	500	0	20	85001307	100	6	7	3300	35	97010108	45	10000	1000	让自己进入适魔状态，在80秒之内提高8%自身除装备外的魔法攻击
97010108	适魔	24	500	0	20	85001308	100	6	8	4500	40	97010109	50	10000	1000	让自己进入适魔状态，在80秒之内提高9%自身除装备外的魔法攻击
97010109	适魔	24	500	0	20	85001309	100	6	9	6000	45	97010110	55	10000	1000	让自己进入适魔状态，在80秒之内提高10%自身除装备外的魔法攻击
97010110	适魔	24	500	0	20	85001310	100	6	10	0	0	0	60	10000	1000	让自己进入适魔状态，在80秒之内提高11%自身除装备外的魔法攻击
97010201	卸甲	25	500	1	7	85000701	100	6	1	150	14	97010202	22	7000	1000	让目标进入卸甲状态，在12秒之内降低5%魔法防御
97010202	卸甲	25	500	1	7	85000702	100	6	2	300	19	97010203	27	7000	1000	让目标进入卸甲状态，在12秒之内降低7%魔法防御
97010203	卸甲	25	500	1	7	85000703	100	6	3	600	24	97010204	32	7000	1000	让目标进入卸甲状态，在12秒之内降低9%魔法防御
97010204	卸甲	25	500	1	7	85000704	100	6	4	1050	29	97010205	37	7000	1000	让目标进入卸甲状态，在12秒之内降低11%魔法防御
97010205	卸甲	25	500	1	7	85000705	100	6	5	1650	34	97010206	42	7000	1000	让目标进入卸甲状态，在12秒之内降低13%魔法防御
97010206	卸甲	25	500	1	7	85000706	100	6	6	2400	39	97010207	47	7000	1000	让目标进入卸甲状态，在12秒之内降低15%魔法防御
97010207	卸甲	25	500	1	7	85000707	100	6	7	3300	44	97010208	52	7000	1000	让目标进入卸甲状态，在12秒之内降低17%魔法防御
97010208	卸甲	25	500	1	7	85000708	100	6	8	4500	49	97010209	57	7000	1000	让目标进入卸甲状态，在12秒之内降低19%魔法防御
97010209	卸甲	25	500	1	7	85000709	100	6	9	6000	54	97010210	62	7000	1000	让目标进入卸甲状态，在12秒之内降低21%魔法防御
97010210	卸甲	25	500	1	7	85000710	100	6	10	0	0	0	67	7000	1000	让目标进入卸甲状态，在16秒之内降低23%魔法防御
97010211	天眼	32	500	0	26	85002001	100	6	1	6000	60	97010212	180	60000	800	让自己进入天眼状态，在5秒之内提高自身的魔法伤害50%
97010212	天眼	32	500	0	26	85002002	100	6	2	7000	67	97010213	200	60000	800	让自己进入天眼状态，在5秒之内提高自身的魔法伤害50%
97010213	天眼	32	500	0	26	85002003	100	6	3	9000	74	97010214	220	60000	800	让自己进入天眼状态，在5秒之内提高自身的魔法伤害50%
97010214	天眼	32	500	0	26	85002004	100	6	4	11000	81	97010215	240	60000	800	让自己进入天眼状态，在6秒之内提高自身的魔法伤害50%
97010215	天眼	32	500	0	26	85002005	100	6	5	14000	88	97010216	260	60000	800	让自己进入天眼状态，在6秒之内提高自身的魔法伤害50%
97010216	天眼	32	500	0	26	85002006	100	6	6	17000	95	97010217	280	60000	800	让自己进入天眼状态，在6秒之内提高自身的魔法伤害50%
97010217	天眼	32	500	0	26	85002007	100	6	7	21000	102	97010218	300	60000	800	让自己进入天眼状态，在7秒之内提高自身的魔法伤害50%
97010218	天眼	32	500	0	26	85002008	100	6	8	26000	109	97010219	320	60000	800	让自己进入天眼状态，在7秒之内提高自身的魔法伤害50%
97010219	天眼	32	500	0	26	85002009	100	6	9	32000	116	97010220	340	60000	800	让自己进入天眼状态，在7秒之内提高自身的魔法伤害50%
97010220	天眼	32	500	0	26	85002010	100	6	10	0	0	0	360	60000	800	让自己进入天眼状态，在8秒之内提高自身的魔法伤害50%
97000101	治疗术	26	500	2	5	85001501	100	7	1	300	8	97000102	10	500	1000	回复目标50的生命力
97000102	治疗术	26	500	2	5	85001502	100	7	2	900	16	97000103	15	500	1000	回复目标150的生命力
97000103	治疗术	26	500	2	5	85001503	100	7	3	1800	24	97000104	20	500	1000	回复目标250的生命力
97000104	治疗术	26	500	2	5	85001504	100	7	4	3000	32	97000105	25	500	1000	回复目标350的生命力
97000105	治疗术	26	500	2	5	85001505	100	7	5	4500	40	97000106	30	500	1000	回复目标450的生命力
97000106	治疗术	26	500	2	5	85001506	100	7	6	6000	48	97000107	35	500	1000	回复目标550的生命力
97000107	治疗术	26	500	2	5	85001507	100	7	7	7500	56	97000108	40	500	1000	回复目标650的生命力
97000108	治疗术	26	500	2	5	85001508	100	7	8	9000	64	97000109	45	500	1000	回复目标750的生命力
97000109	治疗术	26	500	2	5	85001509	100	7	9	10500	72	97000110	50	500	1000	回复目标850的生命力
97000110	治疗术	26	500	2	5	85001510	100	7	10	0	0	0	55	500	1000	回复目标1000的生命力
97000201	躲闪术	27	500	0	18	85001401	100	6	1	150	71	97000202	54	15000	1000	让自己进入躲闪状态，在40秒之内提高5%自身除装备外的闪避
97000202	躲闪术	27	500	0	18	85001402	100	6	2	300	74	97000203	57	15000	1000	让自己进入躲闪状态，在40秒之内提高8%自身除装备外的闪避
97000203	躲闪术	27	500	0	18	85001403	100	6	3	600	77	97000204	60	15000	1000	让自己进入躲闪状态，在40秒之内提高11%自身除装备外的闪避
97000204	躲闪术	27	500	0	18	85001404	100	6	4	1050	80	97000205	63	15000	1000	让自己进入躲闪状态，在40秒之内提高14%自身除装备外的闪避
97000205	躲闪术	27	500	0	18	85001405	100	6	5	1650	83	97000206	66	15000	1000	让自己进入躲闪状态，在40秒之内提高17%自身除装备外的闪避
97000206	躲闪术	27	500	0	18	85001406	100	6	6	2400	86	97000207	69	15000	1000	让自己进入躲闪状态，在40秒之内提高20%自身除装备外的闪避
97000207	躲闪术	27	500	0	18	85001407	100	6	7	3300	89	97000208	72	15000	1000	让自己进入躲闪状态，在40秒之内提高23%自身除装备外的闪避
97000208	躲闪术	27	500	0	18	85001408	100	6	8	4500	92	97000209	75	15000	1000	让自己进入躲闪状态，在40秒之内提高26%自身除装备外的闪避
97000209	躲闪术	27	500	0	18	85001409	100	6	9	6000	95	97000210	78	15000	1000	让自己进入躲闪状态，在40秒之内提高29%自身除装备外的闪避
97000210	躲闪术	27	500	0	18	85001410	100	6	10	0	0	0	81	15000	1000	让自己进入躲闪状态，在40秒之内提高32%自身除装备外的闪避
97000301	幻影盾	28	500	2	16	85000901	100	6	1	150	37	97000302	34	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外10%魔法防御
97000302	幻影盾	28	500	2	16	85000902	100	6	2	300	42	97000303	37	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外12%魔法防御
97000303	幻影盾	28	500	2	16	85000903	100	6	3	600	47	97000304	40	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外14%魔法防御
97000304	幻影盾	28	500	2	16	85000904	100	6	4	1050	52	97000305	43	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外16%魔法防御
97000305	幻影盾	28	500	2	16	85000905	100	6	5	1650	57	97000306	46	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外18%魔法防御
97000306	幻影盾	28	500	2	16	85000906	100	6	6	2400	62	97000307	49	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外20%魔法防御
97000307	幻影盾	28	500	2	16	85000907	100	6	7	3300	67	97000308	52	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外22%魔法防御
97000308	幻影盾	28	500	2	16	85000908	100	6	8	4500	72	97000309	55	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外24%魔法防御
97000309	幻影盾	28	500	2	16	85000909	100	6	9	6000	77	97000310	58	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外26%魔法防御
97000310	幻影盾	28	500	2	16	85000910	100	6	10	0	0	0	61	15000	1000	让目标进入幻影盾状态，在40秒之内提高人物自身除装备外28%魔法防御
