编号	名字	级别	经验最小值	经验最大值	金钱最小值	金钱最大值	物品是否直接放入玩家背包	公共保护时间（秒）（无归属）	掉落药品数量	每个药品的几率	大爆几率	大爆百分比	品质1装备掉落数	品质1每个装备掉落几率	品质1武器掉落数	品质1每个武器掉落几率	品质2装备掉落数	品质2每个装备掉落几率	品质2武器掉落数	品质2每个武器掉落几率	品质3装备掉落数	品质3每个装备掉落几率	品质3武器掉落数	品质3每个武器掉落几率	品质4装备掉落数	品质4每个装备掉落几率	品质4武器掉落数	品质4每个武器掉落几率	品质5装备掉落数	品质5每个装备掉落几率	品质5武器掉落数	品质5每个武器掉落几率	附加物品编号1	附加物品几率1	附加物品编号2	附加物品几率2	附加物品编号11	附加物品几率11	附加物品编号12	附加物品几率12	附加物品编号3	附加物品几率3	附加物品编号4	附加物品几率4	附加物品编号5	附加物品几率5	附加物品编号6	附加物品几率6	附加物品编号7	附加物品几率7	附加物品编号8	附加物品几率8	附加物品编号9	附加物品几率9	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10
70000010	跳蚤	19	52	62	51	65	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030100	3	0	0	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000011	野蛮人	21	60	70	56	72	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030200	3	0	0	0	0	1333011500	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000012	野蛮人	23	68	78	61	79	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030200	3	0	0	0	0	1333011500	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000013	狂剑士	25	78	88	66	86	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030200	3	0	0	0	0	1333011400	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000014	狂剑士	27	88	98	72	92	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030200	3	0	0	0	0	1333011400	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000015	树精	29	98	108	77	99	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030200	3	1333001901	1	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	35	0	0	1333100101	50	0	0	0	0	1433000101	268	1433000501	153	1433000701	230	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000016	树精	31	110	120	82	106	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030200	3	1333001901	1	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	35	0	0	1333100101	50	0	0	0	0	1433000101	268	1433000501	153	1433000701	230	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000017	沙怪	33	122	132	87	113	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	35	0	0	1333100101	50	0	0	0	0	1433000201	230	1433000601	115	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000018	沙怪	35	136	146	92	120	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	35	0	0	1333100101	50	0	0	0	0	1433000201	230	1433000601	115	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000019	南瓜怪	37	150	160	97	127	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	1333011600	700	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	35	0	0	1333100102	40	0	0	0	0	1433000301	345	1433000401	153	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000020	南瓜怪	39	164	174	102	134	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	1333011600	700	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	35	0	0	1333100102	40	0	0	0	0	1433000301	345	1433000401	153	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000021	士兵	41	180	190	106	142	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	0	0	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	35	0	0	1333100102	40	0	0	0	0	1433000201	100	1433000301	150	0	0	1433000202	99	1433000302	149	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000022	士兵	43	196	206	111	149	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001801	2	1333030300	3	1333001901	1	0	0	0	0	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	35	0	0	1333100102	40	0	0	0	0	1433000201	100	1433000301	150	0	0	1433000202	99	1433000302	149	0	0	1433001001	3	1433001002	1	1333110001	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000023	无双食人花	60	214	224	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000024	无双食人花	60	232	242	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000025	无双巨人	60	250	260	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000026	无双巨人	60	270	280	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000027	无双疯狂剑士	60	290	300	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000028	无双疯狂剑士	60	312	322	10000	15000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	500	2	500	2	100	2	100	2	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000029	狂暴野蛮人	57	334	344	145	199	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333001802	2	1333030500	3	1333001901	1	0	0	0	0	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	50	0	0	1333100102	40	0	0	0	0	1433000102	161	1433000302	208	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000030	狂暴野蛮人	59	356	366	150	206	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333001802	2	1333030500	3	1333001901	1	0	0	0	0	1433000802	50	1433000902	25	0	0	0	0	0	0	1333110001	50	0	0	1333100102	40	0	0	0	0	1433000102	161	1433000302	208	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000031	南瓜怪人	61	380	390	154	214	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030500	3	1333001901	1	0	0	1333011900	700	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100102	40	0	0	0	0	1433000402	92	1433000502	92	1433000702	138	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000032	南瓜怪人	63	404	414	159	221	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030500	3	1333001901	1	0	0	1333011900	700	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000402	92	1433000502	92	1433000702	138	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000033	剧毒跳蚤	65	430	440	164	228	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030500	3	1333001901	1	0	0	1333012000	700	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000302	104	1433000602	35	0	0	1433000303	104	1433000603	34	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000034	剧毒跳蚤	67	456	466	168	236	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030500	3	1333001901	1	0	0	1333012000	700	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000302	104	1433000602	35	0	0	1433000303	104	1433000603	34	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000035	远古树精	69	482	492	173	243	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030600	3	1333001901	1	0	0	0	0	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000102	81	1433000502	46	1433000702	69	1433000103	80	1433000503	46	1433000703	69	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000036	远古树精	71	510	520	177	251	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030600	3	1333001901	1	0	0	0	0	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000102	81	1433000502	46	1433000702	69	1433000103	80	1433000503	46	1433000703	69	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000037	卫兵	73	538	548	182	258	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030600	3	1333001901	1	0	0	0	0	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000202	69	1433000402	46	0	0	1433000203	69	1433000403	46	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000038	卫兵	75	568	578	186	266	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001803	2	1333030600	3	1333001901	1	0	0	0	0	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000202	69	1433000402	46	0	0	1433000203	69	1433000403	46	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000039	邪恶巨人	77	598	608	191	273	0	0	0	0	1	3	1	60	1	25	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1333001804	2	1333030600	3	1333001901	1	0	0	0	0	1433000803	50	1433000903	25	0	0	0	0	0	0	1333110001	50	0	0	1333100103	20	0	0	0	0	1433000203	138	1433000603	69	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
