编号	名字	装备需求等级	装备冲等等级	装备类型	冲等成功几率	跳级几率	降1级几率	降2级几率	降2级几率	降到0级几率	销毁几率
20080	84级01	84	0	0	95	10	-1	-1	-1	10000	-1
20081	84级12	84	1	0	85	5	-1	-1	-1	7000	-1
20082	84级23	84	2	0	75	2	2000	2000	2000	7000	-1
20083	84级34	84	3	0	60	2	2000	5000	5000	7000	-1
20084	84级45	84	4	0	45	2	1000	3000	5000	7000	-1
20085	84级56	84	5	0	35	1	1000	2500	4500	6500	-1
20086	84级67	84	6	0	25	1	1000	2500	4000	6000	-1
20087	84级78	84	7	0	15	1	1000	2000	3500	5500	-1
20088	84级89	84	8	0	5	1	500	1500	3000	5000	-1
20089	84级910	84	9	0	1	0	500	1500	2500	4500	-1
20090	96级01	96	0	0	95	10	-1	-1	-1	10000	-1
20091	96级12	96	1	0	85	5	-1	-1	-1	6000	-1
20092	96级23	96	2	0	75	2	2000	2000	2000	6000	-1
20093	96级34	96	3	0	60	2	2000	5000	5000	6000	-1
20094	96级45	96	4	0	45	2	1000	3000	5000	6000	-1
20095	96级56	96	5	0	35	1	1000	2500	4500	5500	-1
20096	96级67	96	6	0	25	1	1000	2500	4000	5000	-1
20097	96级78	96	7	0	15	1	1000	2000	3500	4500	-1
20098	96级89	96	8	0	5	1	500	1500	3000	4000	-1
20099	96级910	96	9	0	1	0	500	1500	2500	3500	-1
20100	108级01	108	0	0	95	10	-1	-1	-1	10000	-1
20101	108级12	108	1	0	85	5	-1	-1	-1	5000	-1
20102	108级23	108	2	0	75	2	1000	1000	1000	5000	-1
20103	108级34	108	3	0	60	2	1500	4000	4000	5000	-1
20104	108级45	108	4	0	45	2	1000	2000	4000	5000	-1
20105	108级56	108	5	0	35	1	500	1500	3500	4500	-1
20106	108级67	108	6	0	25	1	500	1500	3000	4000	-1
20107	108级78	108	7	0	15	1	500	1500	2500	3500	-1
20108	108级89	108	8	0	5	1	500	1000	2000	3000	-1
20109	108级910	108	9	0	1	0	500	1000	1500	2500	-1
20110	120级01	120	0	0	95	5	-1	-1	-1	10000	-1
20111	120级12	120	1	0	85	2	-1	-1	-1	4500	-1
20112	120级23	120	2	0	75	2	1000	1000	1000	4500	-1
20113	120级34	120	3	0	60	2	1500	3500	3500	4500	-1
20114	120级45	120	4	0	45	1	1000	2000	3500	4500	-1
20115	120级56	120	5	0	35	1	500	1500	3000	4000	-1
20116	120级67	120	6	0	25	1	500	1500	2500	3500	-1
20117	120级78	120	7	0	15	1	500	1000	2000	3000	-1
20118	120级89	120	8	0	5	1	500	1000	1500	2500	-1
20119	120级910	120	9	0	1	0	-1	500	1000	2000	-1
20120	30级01	30	0	0	95	100	-1	-1	-1	10000	-1
20121	30级12	30	1	0	85	80	-1	-1	-1	10000	-1
20122	30级23	30	2	0	75	60	3000	3000	3000	10000	-1
20123	30级34	30	3	0	60	40	2000	5000	5000	9000	-1
20124	30级45	30	4	0	45	20	1000	3000	5000	9000	-1
20125	30级56	30	5	0	35	10	1000	2500	4500	9000	-1
20126	30级67	30	6	0	25	5	1000	2500	4000	9000	-1
20127	30级78	30	7	0	15	2	1000	2000	3500	9000	-1
20128	30级89	30	8	0	5	2	500	1500	3000	9000	-1
20129	30级910	30	9	0	1	0	500	1500	2500	9000	-1
20130	85级01	85	0	0	95	10	-1	-1	-1	10000	-1
20131	85级12	85	1	0	85	5	-1	-1	-1	7000	-1
20132	85级23	85	2	0	75	2	2000	2000	2000	7000	-1
20133	85级34	85	3	0	60	2	2000	5000	5000	7000	-1
20134	85级45	85	4	0	45	2	1000	3000	5000	7000	-1
20135	85级56	85	5	0	35	1	1000	2500	4500	6500	-1
20136	85级67	85	6	0	25	1	1000	2500	4000	6000	-1
20137	85级78	85	7	0	15	1	1000	2000	3500	5500	-1
20138	85级89	85	8	0	5	1	500	1500	3000	5000	-1
20139	85级910	85	9	0	1	0	500	1500	2500	4500	-1
20140	110级01	110	0	0	95	10	-1	-1	-1	10000	-1
20141	110级12	110	1	0	85	5	-1	-1	-1	5000	-1
20142	110级23	110	2	0	75	2	1000	1000	1000	5000	-1
20143	110级34	110	3	0	60	2	1500	4000	4000	5000	-1
20144	110级45	110	4	0	45	2	1000	2000	4000	5000	-1
20145	110级56	110	5	0	35	1	500	1500	3500	4500	-1
20146	110级67	110	6	0	25	1	500	1500	3000	4000	-1
20147	110级78	110	7	0	15	1	500	1500	2500	3500	-1
20148	110级89	110	8	0	5	1	500	1000	2000	3000	-1
20149	110级910	110	9	0	1	0	500	1000	1500	2500	-1
20150	130级01	130	0	0	95	5	-1	-1	-1	10000	-1
20151	130级12	130	1	0	85	2	-1	-1	-1	4500	-1
20152	130级23	130	2	0	75	2	1000	1000	1000	4500	-1
20153	130级34	130	3	0	60	2	1500	3500	3500	4500	-1
20154	130级45	130	4	0	45	1	1000	2000	3500	4500	-1
20155	130级56	130	5	0	35	1	500	1500	3000	4000	-1
20156	130级67	130	6	0	25	1	500	1500	2500	3500	-1
20157	130级78	130	7	0	15	1	500	1000	2000	3000	-1
20158	130级89	130	8	0	5	1	500	1000	1500	2500	-1
20159	130级910	130	9	0	1	0	-1	500	1000	2000	-1
21010	0级01	0	0	1	95	1000	-1	-1	-1	10000	-1
21011	0级12	0	1	1	85	1000	-1	-1	-1	10000	-1
21012	0级23	0	2	1	75	1000	-1	-1	-1	10000	-1
21013	0级34	0	3	1	60	1000	-1	-1	-1	10000	-1
21014	0级45	0	4	1	45	1000	-1	-1	-1	10000	-1
21015	0级56	0	5	1	35	1000	-1	-1	-1	10000	-1
21016	0级67	0	6	1	25	1000	-1	-1	-1	10000	-1
21017	0级78	0	7	1	15	1000	-1	-1	-1	10000	-1
21018	0级89	0	8	1	5	1000	-1	-1	-1	10000	-1
21019	0级910	0	9	1	1	0	-1	-1	-1	10000	-1
21020	12级01	12	0	1	95	100	-1	-1	-1	10000	-1
21021	12级12	12	1	1	85	100	-1	-1	-1	10000	-1
21022	12级23	12	2	1	75	80	3000	3000	3000	10000	-1
21023	12级34	12	3	1	60	60	2000	5000	5000	10000	-1
21024	12级45	12	4	1	45	40	1000	3000	5000	9000	-1
21025	12级56	12	5	1	35	20	1000	3000	5000	9000	-1
21026	12级67	12	6	1	25	10	1000	3000	5000	9000	-1
21027	12级78	12	7	1	15	5	1000	3000	5000	9000	-1
21028	12级89	12	8	1	5	2	1000	3000	5000	9000	-1
21029	12级910	12	9	1	1	0	1000	3000	5000	9000	-1
21030	24级01	24	0	1	95	100	-1	-1	-1	10000	-1
21031	24级12	24	1	1	85	100	-1	-1	-1	10000	-1
21032	24级23	24	2	1	75	80	3000	3000	3000	10000	-1
21033	24级34	24	3	1	60	60	2000	5000	5000	9000	-1
21034	24级45	24	4	1	45	40	1000	3000	5000	9000	-1
21035	24级56	24	5	1	35	20	1000	3000	5000	9000	-1
21036	24级67	24	6	1	25	10	1000	3000	5000	9000	-1
21037	24级78	24	7	1	15	5	1000	3000	5000	9000	-1
21038	24级89	24	8	1	5	2	1000	3000	5000	9000	-1
21039	24级910	24	9	1	1	0	1000	3000	5000	9000	-1
21040	36级01	36	0	1	95	100	-1	-1	-1	10000	-1
21041	36级12	36	1	1	85	80	-1	-1	-1	10000	-1
21042	36级23	36	2	1	75	60	3000	3000	3000	10000	-1
21043	36级34	36	3	1	60	40	2000	5000	5000	9000	-1
21044	36级45	36	4	1	45	20	1000	3000	5000	9000	-1
21045	36级56	36	5	1	35	10	1000	2500	4500	9000	-1
21046	36级67	36	6	1	25	5	1000	2500	4000	9000	-1
21047	36级78	36	7	1	15	2	1000	2000	3500	9000	-1
21048	36级89	36	8	1	5	2	500	1500	3000	9000	-1
21049	36级910	36	9	1	1	0	500	1500	2500	9000	-1
21050	48级01	48	0	1	95	100	-1	-1	-1	10000	-1
21051	48级12	48	1	1	85	80	-1	-1	-1	10000	-1
21052	48级23	48	2	1	75	60	3000	3000	3000	10000	-1
21053	48级34	48	3	1	60	40	2000	5000	5000	9000	-1
21054	48级45	48	4	1	45	20	1000	3000	5000	9000	-1
21055	48级56	48	5	1	35	10	1000	2500	4500	9000	-1
21056	48级67	48	6	1	25	5	1000	2500	4000	9000	-1
21057	48级78	48	7	1	15	2	1000	2000	3500	9000	-1
21058	48级89	48	8	1	5	2	500	1500	3000	9000	-1
21059	48级910	48	9	1	1	0	500	1500	2500	9000	-1
21060	60级01	60	0	1	95	80	-1	-1	-1	10000	-1
21061	60级12	60	1	1	85	60	-1	-1	-1	10000	-1
21062	60级23	60	2	1	75	40	3000	3000	3000	10000	-1
21063	60级34	60	3	1	60	20	2000	5000	5000	8000	-1
21064	60级45	60	4	1	45	10	1000	3000	5000	8000	-1
21065	60级56	60	5	1	35	5	1000	2500	4500	8000	-1
21066	60级67	60	6	1	25	2	1000	2500	4000	8000	-1
21067	60级78	60	7	1	15	2	1000	2000	3500	8000	-1
21068	60级89	60	8	1	5	2	500	1500	3000	8000	-1
21069	60级910	60	9	1	1	0	500	1500	2500	8000	-1
21070	72级01	72	0	1	95	60	-1	-1	-1	10000	-1
21071	72级12	72	1	1	85	40	-1	-1	-1	8000	-1
21072	72级23	72	2	1	75	20	2000	2000	2000	8000	-1
21073	72级34	72	3	1	60	10	2000	5000	5000	8000	-1
21074	72级45	72	4	1	45	5	1000	3000	5000	8000	-1
21075	72级56	72	5	1	35	2	1000	2500	4500	7500	-1
21076	72级67	72	6	1	25	2	1000	2500	4000	7000	-1
21077	72级78	72	7	1	15	2	1000	2000	3500	6500	-1
21078	72级89	72	8	1	5	2	500	1500	3000	6000	-1
21079	72级910	72	9	1	1	0	500	1500	2500	5500	-1
21080	84级01	84	0	1	95	10	-1	-1	-1	10000	-1
21081	84级12	84	1	1	85	5	-1	-1	-1	7000	-1
21082	84级23	84	2	1	75	2	2000	2000	2000	7000	-1
21083	84级34	84	3	1	60	2	2000	5000	5000	7000	-1
21084	84级45	84	4	1	45	2	1000	3000	5000	7000	-1
21085	84级56	84	5	1	35	1	1000	2500	4500	6500	-1
21086	84级67	84	6	1	25	1	1000	2500	4000	6000	-1
21087	84级78	84	7	1	15	1	1000	2000	3500	5500	-1
21088	84级89	84	8	1	5	1	500	1500	3000	5000	-1
21089	84级910	84	9	1	1	0	500	1500	2500	4500	-1
21090	96级01	96	0	1	95	10	-1	-1	-1	10000	-1
21091	96级12	96	1	1	85	5	-1	-1	-1	6000	-1
21092	96级23	96	2	1	75	2	2000	2000	2000	6000	-1
21093	96级34	96	3	1	60	2	2000	5000	5000	6000	-1
21094	96级45	96	4	1	45	2	1000	3000	5000	6000	-1
21095	96级56	96	5	1	35	1	1000	2500	4500	5500	-1
21096	96级67	96	6	1	25	1	1000	2500	4000	5000	-1
21097	96级78	96	7	1	15	1	1000	2000	3500	4500	-1
21098	96级89	96	8	1	5	1	500	1500	3000	4000	-1
21099	96级910	96	9	1	1	0	500	1500	2500	3500	-1
21100	108级01	108	0	1	95	10	-1	-1	-1	10000	-1
21101	108级12	108	1	1	85	5	-1	-1	-1	5000	-1
21102	108级23	108	2	1	75	2	1000	1000	1000	5000	-1
21103	108级34	108	3	1	60	2	1500	4000	4000	5000	-1
21104	108级45	108	4	1	45	2	1000	2000	4000	5000	-1
21105	108级56	108	5	1	35	1	500	1500	3500	4500	-1
21106	108级67	108	6	1	25	1	500	1500	3000	4000	-1
21107	108级78	108	7	1	15	1	500	1500	2500	3500	-1
21108	108级89	108	8	1	5	1	500	1000	2000	3000	-1
21109	108级910	108	9	1	1	0	500	1000	1500	2500	-1
21110	120级01	120	0	1	95	5	-1	-1	-1	10000	-1
21111	120级12	120	1	1	85	2	-1	-1	-1	4500	-1
21112	120级23	120	2	1	75	2	1000	1000	1000	4500	-1
21113	120级34	120	3	1	60	2	1500	3500	3500	4500	-1
21114	120级45	120	4	1	45	1	1000	2000	3500	4500	-1
21115	120级56	120	5	1	35	1	500	1500	3000	4000	-1
21116	120级67	120	6	1	25	1	500	1500	2500	3500	-1
21117	120级78	120	7	1	15	1	500	1000	2000	3000	-1
21118	120级89	120	8	1	5	1	500	1000	1500	2500	-1
21119	120级910	120	9	1	1	0	-1	500	1000	2000	-1
21120	30级01	30	0	1	95	100	-1	-1	-1	10000	-1
21121	30级12	30	1	1	85	80	-1	-1	-1	10000	-1
21122	30级23	30	2	1	75	60	3000	3000	3000	10000	-1
21123	30级34	30	3	1	60	40	2000	5000	5000	9000	-1
21124	30级45	30	4	1	45	20	1000	3000	5000	9000	-1
21125	30级56	30	5	1	35	10	1000	2500	4500	9000	-1
21126	30级67	30	6	1	25	5	1000	2500	4000	9000	-1
21127	30级78	30	7	1	15	2	1000	2000	3500	9000	-1
21128	30级89	30	8	1	5	2	500	1500	3000	9000	-1
21129	30级910	30	9	1	1	0	500	1500	2500	9000	-1
21130	85级01	85	0	1	95	10	-1	-1	-1	10000	-1
21131	85级12	85	1	1	85	5	-1	-1	-1	7000	-1
21132	85级23	85	2	1	75	2	2000	2000	2000	7000	-1
21133	85级34	85	3	1	60	2	2000	5000	5000	7000	-1
21134	85级45	85	4	1	45	2	1000	3000	5000	7000	-1
21135	85级56	85	5	1	35	1	1000	2500	4500	6500	-1
21136	85级67	85	6	1	25	1	1000	2500	4000	6000	-1
21137	85级78	85	7	1	15	1	1000	2000	3500	5500	-1
21138	85级89	85	8	1	5	1	500	1500	3000	5000	-1
21139	85级910	85	9	1	1	0	500	1500	2500	4500	-1
21140	110级01	110	0	1	95	10	-1	-1	-1	10000	-1
21141	110级12	110	1	1	85	5	-1	-1	-1	5000	-1
21142	110级23	110	2	1	75	2	1000	1000	1000	5000	-1
21143	110级34	110	3	1	60	2	1500	4000	4000	5000	-1
21144	110级45	110	4	1	45	2	1000	2000	4000	5000	-1
21145	110级56	110	5	1	35	1	500	1500	3500	4500	-1
21146	110级67	110	6	1	25	1	500	1500	3000	4000	-1
21147	110级78	110	7	1	15	1	500	1500	2500	3500	-1
21148	110级89	110	8	1	5	1	500	1000	2000	3000	-1
21149	110级910	110	9	1	1	0	500	1000	1500	2500	-1
21150	130级01	130	0	1	95	5	-1	-1	-1	10000	-1
21151	130级12	130	1	1	85	2	-1	-1	-1	4500	-1
21152	130级23	130	2	1	75	2	1000	1000	1000	4500	-1
21153	130级34	130	3	1	60	2	1500	3500	3500	4500	-1
21154	130级45	130	4	1	45	1	1000	2000	3500	4500	-1
21155	130级56	130	5	1	35	1	500	1500	3000	4000	-1
21156	130级67	130	6	1	25	1	500	1500	2500	3500	-1
21157	130级78	130	7	1	15	1	500	1000	2000	3000	-1
21158	130级89	130	8	1	5	1	500	1000	1500	2500	-1
21159	130级910	130	9	1	1	0	-1	500	1000	2000	-1
22010	18级01	18	0	2	95	100	-1	-1	-1	10000	-1
22012	18级12	18	1	2	85	80	3000	3000	3000	10000	-1
22014	18级23	18	2	2	75	40	1000	3000	5000	9000	-1
22016	18级34	18	3	2	60	10	1000	3000	5000	9000	-1
22019	18级45	18	4	2	45	0	1000	3000	5000	9000	-1
22020	30级01	30	0	2	35	100	-1	-1	-1	10000	-1
22022	30级12	30	1	2	25	80	3000	3000	3000	10000	-1
22024	30级23	30	2	2	15	40	1000	3000	5000	9000	-1
22026	30级34	30	3	2	5	10	1000	3000	5000	9000	-1
22029	30级45	30	4	2	1	0	1000	3000	5000	9000	-1
22030	42级01	42	0	2	95	100	-1	-1	-1	10000	-1
22032	42级12	42	1	2	85	60	3000	3000	3000	10000	-1
22034	42级23	42	2	2	75	20	1000	3000	5000	9000	-1
22036	42级34	42	3	2	60	5	1000	2500	4000	9000	-1
22039	42级45	42	4	2	45	0	500	1500	2500	9000	-1
22040	54级01	54	0	2	35	80	-1	-1	-1	10000	-1
22042	54级12	54	1	2	25	40	3000	3000	3000	10000	-1
22044	54级23	54	2	2	15	10	1000	3000	5000	8000	-1
22046	54级34	54	3	2	5	2	1000	2500	4000	8000	-1
22049	54级45	54	4	2	1	0	500	1500	2500	8000	-1
22050	66级01	66	0	2	95	60	-1	-1	-1	10000	-1
22052	66级12	66	1	2	85	20	2000	2000	2000	8000	-1
22054	66级23	66	2	2	75	5	1000	3000	5000	8000	-1
22056	66级34	66	3	2	60	2	1000	2500	4000	7000	-1
22059	66级45	66	4	2	45	0	500	1500	2500	5500	-1
22060	78级01	78	0	2	35	10	-1	-1	-1	10000	-1
22062	78级12	78	1	2	25	2	2000	2000	2000	7000	-1
22064	78级23	78	2	2	15	2	1000	3000	5000	7000	-1
22066	78级34	78	3	2	5	1	1000	2500	4000	6000	-1
22069	78级45	78	4	2	1	0	500	1500	2500	4500	-1
22070	90级01	90	0	2	95	10	-1	-1	-1	10000	-1
22072	90级12	90	1	2	85	2	2000	2000	2000	6000	-1
22074	90级23	90	2	2	75	2	1000	3000	5000	6000	-1
22076	90级34	90	3	2	60	1	1000	2500	4000	5000	-1
22079	90级45	90	4	2	45	0	500	1500	2500	3500	-1
22080	102级01	102	0	2	35	10	-1	-1	-1	10000	-1
22082	102级12	102	1	2	25	2	1000	1000	1000	5000	-1
22084	102级23	102	2	2	15	2	1000	2000	4000	5000	-1
22086	102级34	102	3	2	5	1	500	1500	3000	4000	-1
22089	102级45	102	4	2	1	0	500	1000	1500	2500	-1
22090	114级01	114	0	2	95	5	-1	-1	-1	10000	-1
22092	114级12	114	1	2	85	2	1000	1000	1000	4500	-1
22094	114级23	114	2	2	75	1	1000	2000	3500	4500	-1
22096	114级34	114	3	2	60	1	500	1500	2500	3500	-1
22099	114级45	114	4	2	45	0	-1	500	1000	2000	-1
22100	120级01	120	0	2	35	5	-1	-1	-1	10000	-1
22102	120级12	120	1	2	25	2	1000	1000	1000	4500	-1
22104	120级23	120	2	2	15	1	1000	2000	3500	4500	-1
22106	120级34	120	3	2	5	1	500	1500	2500	3500	-1
22109	120级45	120	4	2	1	0	-1	500	1000	2000	-1
22110	80级01	80	0	2	95	10	-1	-1	-1	10000	-1
22112	80级12	80	1	2	85	2	2000	2000	2000	7000	-1
22114	80级23	80	2	2	75	2	1000	3000	5000	7000	-1
22116	80级34	80	3	2	60	1	1000	2500	4000	6000	-1
22119	80级45	80	4	2	45	0	500	1500	2500	4500	-1
22120	130级01	130	0	2	35	5	-1	-1	-1	10000	-1
22122	130级12	130	1	2	25	2	1000	1000	1000	4500	-1
22124	130级23	130	2	2	15	1	1000	2000	3500	4500	-1
22126	130级34	130	3	2	5	1	500	1500	2500	3500	-1
22129	130级45	130	4	2	1	0	-1	500	1000	2000	-1
23129	16ping+1	0	0	0	100	100	-1	-1	10000	-1	-1
23130	16ping+2	0	1	0	100	98	-1	-1	10000	-1	-1
23131	16ping+3	0	2	0	100	96	-1	-1	10000	-1	-1
23132	16ping+4	0	3	0	80	94	-1	-1	10000	-1	-1
23133	16ping+5	0	4	0	79	92	-1	-1	10000	-1	-1
23134	16ping+6	0	5	0	78	90	-1	-1	10000	-1	-1
23135	16ping+7	0	6	0	77	88	-1	-1	10000	-1	-1
23136	16ping+8	0	7	0	76	86	-1	-1	10000	-1	-1
23137	16ping+9	0	8	0	75	84	-1	-1	10000	-1	-1
23138	16ping+10	0	9	0	74	82	-1	-1	10000	-1	-1
23139	16ping+11	0	10	0	73	80	-1	-1	10000	-1	-1
23140	16ping+12	0	11	0	72	78	-1	-1	10000	-1	-1
23141	16ping+13	0	12	0	71	76	-1	-1	10000	-1	-1
23142	16ping+14	0	13	0	70	74	-1	-1	10000	-1	-1
23143	16ping+15	0	14	0	69	72	-1	-1	10000	-1	-1
23144	16ping+16	0	15	0	68	70	-1	-1	10000	-1	-1
23145	16ping+17	0	16	0	67	68	-1	-1	10000	-1	-1
23146	16ping+18	0	17	0	66	66	-1	-1	10000	-1	-1
23147	16ping+19	0	18	0	65	64	-1	-1	10000	-1	-1
23148	16ping+20	0	19	0	64	62	-1	-1	10000	-1	-1
23149	16ping+21	0	20	0	63	60	-1	-1	10000	-1	-1
23150	16ping+22	0	21	0	62	58	-1	-1	10000	-1	-1
23151	16ping+23	0	22	0	61	56	-1	-1	10000	-1	-1
23152	16ping+24	0	23	0	60	54	-1	-1	10000	-1	-1
23153	16ping+25	0	24	0	59	52	-1	-1	10000	-1	-1
23154	16ping+26	0	25	0	58	50	-1	-1	10000	-1	-1
23155	16ping+27	0	26	0	57	48	-1	-1	10000	-1	-1
23156	16ping+28	0	27	0	56	46	-1	-1	10000	-1	-1
23157	16ping+29	0	28	0	55	44	-1	-1	10000	-1	-1
23158	16ping+30	0	29	0	54	42	-1	-1	10000	-1	-1
23159	16ping+31	0	30	0	53	40	-1	-1	10000	-1	-1
23160	16ping+32	0	31	0	52	38	-1	-1	10000	-1	-1
23161	16ping+33	0	32	0	51	36	-1	-1	10000	-1	-1
23162	16ping+34	0	33	0	50	34	-1	-1	10000	-1	-1
23163	16ping+35	0	34	0	49	32	-1	-1	10000	-1	-1
23164	16ping+36	0	35	0	48	30	-1	-1	10000	-1	-1
23165	16ping+37	0	36	0	47	28	-1	-1	10000	-1	-1
23166	16ping+38	0	37	0	46	26	-1	-1	10000	-1	-1
23167	16ping+39	0	38	0	45	24	-1	-1	10000	-1	-1
23168	16ping+40	0	39	0	44	22	-1	-1	10000	-1	-1
23169	16ping+41	0	40	0	43	20	-1	-1	10000	-1	-1
23170	16ping+42	0	41	0	42	18	-1	-1	10000	-1	-1
23171	16ping+43	0	42	0	41	16	-1	-1	10000	-1	-1
23172	16ping+44	0	43	0	40	14	-1	-1	10000	-1	-1
23173	16ping+45	0	44	0	39	12	-1	-1	10000	-1	-1
23174	16ping+46	0	45	0	38	10	-1	-1	10000	-1	-1
23175	16ping+47	0	46	0	37	8	-1	-1	10000	-1	-1
23176	16ping+48	0	47	0	36	6	-1	-1	10000	-1	-1
23177	16ping+49	0	48	0	35	4	-1	-1	10000	-1	-1
23178	16ping+50	0	49	0	34	2	-1	-1	10000	-1	-1
23179	16ping+51	0	50	0	33	0	-1	-1	10000	-1	-1
23180	16ping+52	0	51	0	32	0	-1	-1	10000	-1	-1
23181	16ping+53	0	52	0	31	0	-1	-1	10000	-1	-1
23182	16ping+54	0	53	0	30	0	-1	-1	10000	-1	-1
23183	16ping+55	0	54	0	29	0	-1	-1	10000	-1	-1
23184	16ping+56	0	55	0	28	0	-1	-1	10000	-1	-1
23185	16ping+57	0	56	0	27	0	-1	-1	10000	-1	-1
23186	16ping+58	0	57	0	26	0	-1	-1	10000	-1	-1
23187	16ping+59	0	58	0	25	0	-1	-1	10000	-1	-1
23188	16ping+60	0	59	0	24	0	-1	-1	10000	-1	-1
23189	16ping+61	0	60	0	23	0	-1	-1	10000	-1	-1
23190	16ping+62	0	61	0	22	0	-1	-1	10000	-1	-1
23191	16ping+63	0	62	0	21	0	-1	-1	10000	-1	-1
23192	16ping+64	0	63	0	20	0	-1	-1	10000	-1	-1
23193	16ping+65	0	64	0	19	0	-1	-1	10000	-1	-1
23194	16ping+66	0	65	0	18	0	-1	-1	10000	-1	-1
23195	16ping+67	0	66	0	17	0	-1	-1	10000	-1	-1
23196	16ping+68	0	67	0	16	0	-1	-1	10000	-1	-1
23197	16ping+69	0	68	0	15	0	-1	-1	10000	-1	-1
23198	16ping+70	0	69	0	14	0	-1	-1	10000	-1	-1
23199	16ping+71	0	70	0	13	0	-1	-1	10000	-1	-1
23200	16ping+72	0	71	0	12	0	-1	-1	10000	-1	-1
23201	16ping+73	0	72	0	11	0	-1	-1	10000	-1	-1
23202	16ping+74	0	73	0	10	0	-1	-1	10000	-1	-1
23203	16ping+75	0	74	0	9	0	-1	-1	10000	-1	-1
23204	16ping+76	0	75	0	8	0	-1	-1	10000	-1	-1
23205	16ping+77	0	76	0	7	0	-1	-1	10000	-1	-1
23206	16ping+78	0	77	0	6	0	-1	-1	10000	-1	-1
