编号	名字	图象	颜色	等级	怪物种类	攻击范围	最大生命	最小物理攻击力	最大物理攻击力	最小魔法攻击力	最大魔法攻击力	物理防御	魔法防御	命中	闪避	移动速度	移动间隔	攻击时间	攻击间隔	远程攻击特效类型	简介
60000013	狂剑士	9	0	25	0	1	1909	74	153	0	0	151	129	32	16	700	200	1000	600	0	一些战士在和魔物交战的过程中迷失了自己，现在他们也变成了魔物
60000014	狂剑士	9	0	27	0	1	2031	77	162	0	0	163	140	32	16	700	200	1000	600	0	一些战士在和魔物交战的过程中迷失了自己，现在他们也变成了魔物
60000015	树精	31	0	29	0	1	2115	0	0	92	188	193	165	36	18	700	200	1000	600	0	这些树在过了万年以后已经成为了出色的丛林守护者
60000016	树精	31	0	31	0	1	2641	0	0	95	195	205	176	36	18	700	200	1000	600	0	这些树在过了万年以后已经成为了出色的丛林守护者
60000017	沙怪	36	0	33	0	1	2925	103	210	0	0	220	189	38	18	700	200	1000	600	0	这些家伙很擅长隐藏自己，但也只有在沙漠中它们才有这种能力
60000018	沙怪	36	0	35	0	1	3079	109	220	0	0	234	200	40	19	700	200	1000	600	0	这些家伙很擅长隐藏自己，但也只有在沙漠中它们才有这种能力
60000019	南瓜怪	39	0	37	0	1	3255	112	230	0	0	246	211	40	19	700	200	1000	600	0	有个喜欢恶作剧的法师将万圣节的礼物活化了，产生了这种玩意儿
60000020	南瓜怪	39	0	39	0	1	3627	124	256	0	0	261	223	42	21	700	200	1000	600	0	有个喜欢恶作剧的法师将万圣节的礼物活化了，产生了这种玩意儿
60000021	士兵	6	0	41	0	1	4353	133	273	0	0	308	264	44	22	700	200	1000	600	0	受过专业训练的士兵，随时准备奔赴战场
60000022	士兵	6	0	43	0	1	4515	140	286	0	0	324	277	44	22	700	200	1000	600	0	受过专业训练的士兵，随时准备奔赴战场
60000023	无双·怪异花	34	0	60	0	5	4819	103	155	0	0	339	289	48	24	700	200	1000	600	7	花是用来观赏的，有些要站远点看
60000024	无双·怪异花	34	0	60	0	5	4996	109	161	0	0	354	303	48	24	700	200	1000	600	7	花是用来观赏的，有些要站远点看
60000025	无双·怪异巨人	13	0	60	0	1	5185	112	169	0	0	403	346	61	30	700	200	1000	600	0	论个头，他们确实配的上这个名字
60000026	无双·怪异巨人	13	0	60	0	1	5352	124	176	0	0	420	360	61	30	700	200	1000	600	0	论个头，他们确实配的上这个名字
60000027	无双·怪异剑士	9	0	60	0	1	5806	133	181	0	0	435	374	61	30	700	200	1000	600	0	说他们疯狂一点都不过分，他们除了手里的剑以外什么都不相信
60000028	无双·怪异剑士	9	0	60	0	1	5982	140	187	0	0	453	388	62	30	700	200	1000	500	0	说他们疯狂一点都不过分，他们除了手里的剑以外什么都不相信
60000029	狂暴野蛮人	3	0	57	0	1	6135	194	394	0	0	469	403	64	31	700	200	1000	500	0	这些是野蛮人中最善战的一批
60000030	狂暴野蛮人	3	0	59	0	1	6580	228	467	0	0	486	416	67	33	700	200	1000	500	0	这些是野蛮人中最善战的一批
60000031	南瓜怪人	39	0	61	0	1	6792	0	0	240	490	507	435	67	33	700	200	1000	500	0	南瓜怪的进化产物
60000032	南瓜怪人	39	0	63	0	1	6958	0	0	248	505	530	454	67	33	700	200	1000	500	0	南瓜怪的进化产物
60000033	剧毒跳蚤	7	0	65	0	1	7465	255	518	0	0	552	474	73	36	700	200	1000	500	0	不要以为被跳蚤咬一口没什么大不了的
60000034	剧毒跳蚤	7	0	67	0	1	7642	260	530	0	0	574	492	73	36	700	200	1000	500	0	不要以为被跳蚤咬一口没什么大不了的
60000035	远古树精	31	0	69	0	1	7804	0	0	268	546	596	511	74	36	700	200	1000	500	0	在还没有我们的时候，它们就已经在这里生活了上百万年了
60000036	远古树精	31	0	71	0	1	7984	0	0	278	565	618	530	74	36	700	200	1000	500	0	在还没有我们的时候，它们就已经在这里生活了上百万年了
60000037	卫兵	6	0	73	0	1	8565	286	581	0	0	640	550	76	37	700	200	1000	500	0	有着强大意志力的守卫者
60000038	卫兵	6	0	75	0	1	8565	312	635	0	0	662	568	91	45	700	200	1000	500	0	有着强大意志力的守卫者
60000039	邪恶巨人	13	0	77	0	1	8730	319	646	0	0	685	588	91	45	700	200	1000	500	0	从他们的眼神就可以看出来他们不是好东西
60000040	邪恶巨人	13	0	79	0	1	9465	324	660	0	0	777	667	93	46	700	200	1000	500	0	从他们的眼神就可以看出来他们不是好东西
60000041	爆炸球	10	0	81	0	5	9640	0	0	358	725	801	687	97	48	700	200	1000	500	5	以爆炸的力量弹射攻击敌人
60000042	爆炸球	10	0	83	0	5	9793	0	0	367	745	826	708	97	48	700	200	1000	500	5	以爆炸的力量弹射攻击敌人
60000043	木乃伊领主	38	0	85	0	1	10464	372	757	0	0	850	729	99	48	700	200	1000	500	0	尊贵的人在死了变为木乃伊后依旧尊贵
60000044	木乃伊领主	38	0	87	0	1	10639	381	769	0	0	875	749	99	48	700	200	1000	500	0	尊贵的人在死了变为木乃伊后依旧尊贵
60000045	烈火元素	11	0	89	0	1	10590	415	840	0	0	898	771	103	51	700	200	1000	500	0	它们全身都是火焰，把靠近的一切烧光
60000046	烈火元素	11	0	91	0	1	10741	428	868	0	0	922	791	103	51	700	200	1000	500	0	它们全身都是火焰，把靠近的一切烧光
60000047	深渊恶魔	41	0	93	0	1	11427	0	0	434	883	948	812	103	51	700	200	1000	500	0	一群原先生活在洞里的家伙
60000048	深渊恶魔	41	0	95	0	1	11602	0	0	442	895	972	834	105	52	700	200	1000	500	0	一群原先生活在洞里的家伙
60000049	骷髅战士	5	0	97	0	1	11805	447	905	0	0	997	854	109	54	700	200	1000	500	0	看似训练有素的骷髅
60000050	骷髅战士	5	0	99	0	1	12678	455	925	0	0	1020	875	128	63	700	200	1000	500	0	看似训练有素的骷髅
60000051	骷髅弓箭手	1	0	101	0	5	12858	519	1050	0	0	1044	896	128	63	700	200	1000	500	1	当你给骷髅一把弓，那么你下一步能做的就是离开它的射程
60000052	骷髅弓箭手	1	0	103	0	5	13020	526	1065	0	0	1069	917	128	63	700	200	1000	500	1	当你给骷髅一把弓，那么你下一步能做的就是离开它的射程
60000053	尸兵	0	0	105	0	1	13515	569	1151	0	0	1093	938	134	66	700	200	1000	500	0	没有大脑，不知道疼痛
60000054	尸兵	0	0	107	0	1	13668	578	1170	0	0	1118	958	134	66	700	200	1000	500	0	没有大脑，不知道疼痛
60000055	鬼将	42	0	109	0	1	13870	589	1190	0	0	1143	979	135	66	700	200	1000	500	0	它们自称不是一般的鬼
60000056	鬼将	42	0	111	0	1	14046	594	1203	0	0	1165	1000	135	66	700	200	1000	500	0	它们自称不是一般的鬼
60000057	怨灵	37	0	113	0	3	14842	0	0	601	1220	1190	1021	138	67	700	200	1000	500	6	死得不甘心的人化成的幽灵
60000058	怨灵	37	0	115	0	3	14994	0	0	612	1238	1215	1042	140	69	700	200	1000	500	6	死得不甘心的人化成的幽灵
60000059	燃烧巨人	12	0	117	0	1	15174	618	1251	0	0	1240	1062	140	69	700	200	1000	500	0	它们是火山的主人
60000060	燃烧巨人	12	0	119	0	1	15904	669	1353	0	0	1264	1085	142	70	700	200	1000	500	0	它们是火山的主人
60000145	镜子烈火元素	11	0	89	0	1	10590	0	0	415	840	898	771	103	51	700	200	1000	500	0	它们全身都是火焰，把靠近的一切烧光
60000146	镜子烈火元素	11	0	91	0	1	10741	0	0	428	868	922	791	103	51	700	200	1000	500	0	它们全身都是火焰，把靠近的一切烧光
60000147	镜子深渊恶魔	41	0	93	0	1	11427	434	883	0	0	948	812	103	51	700	200	1000	500	0	一群原先生活在洞里的家伙
60000148	镜子深渊恶魔	41	0	95	0	1	11602	442	895	0	0	972	834	105	52	700	200	1000	500	0	一群原先生活在洞里的家伙
60000149	镜子骷髅战士	5	0	97	0	1	11805	0	0	447	905	997	854	109	54	700	200	1000	500	0	看似训练有素的骷髅
60000150	镜子骷髅战士	5	0	99	0	1	12678	0	0	455	925	1020	875	128	63	700	200	1000	500	0	看似训练有素的骷髅
60000151	镜子骷髅弓箭手	1	0	101	0	5	12858	0	0	519	1050	1044	896	128	63	700	200	1000	500	1	当你给骷髅一把弓，那么你下一步能做的就是离开它的射程
60000152	镜子骷髅弓箭手	1	0	103	0	5	13020	0	0	526	1065	1069	917	128	63	700	200	1000	500	1	当你给骷髅一把弓，那么你下一步能做的就是离开它的射程
60000153	镜子尸兵	0	0	105	0	1	13515	0	0	569	1151	1093	938	134	66	700	200	1000	500	0	没有大脑，不知道疼痛
60000154	镜子尸兵	0	0	107	0	1	13668	0	0	578	1170	1118	958	134	66	700	200	1000	500	0	没有大脑，不知道疼痛
60000155	镜子鬼将	42	0	109	0	1	13870	0	0	589	1190	1143	979	135	66	700	200	1000	500	0	它们自称不是一般的鬼
60000156	镜子鬼将	42	0	111	0	1	14046	0	0	594	1203	1165	1000	135	66	700	200	1000	500	0	它们自称不是一般的鬼
60000157	镜子怨灵	37	0	113	0	3	14842	601	1220	0	0	1190	1021	138	67	700	200	1000	500	6	死得不甘心的人化成的幽灵
60000158	镜子怨灵	37	0	115	0	3	14994	612	1238	0	0	1215	1042	140	69	700	200	1000	500	6	死得不甘心的人化成的幽灵
60000159	镜子燃烧巨人	12	0	117	0	1	15174	0	0	618	1251	1240	1062	140	69	700	200	1000	500	0	它们是火山的主人
60000160	镜子燃烧巨人	12	0	119	0	1	15904	0	0	669	1353	1264	1085	142	70	700	200	1000	500	0	它们是火山的主人
60000061	小蝙蝠	32	0	41	0	1	4353	133	273	0	0	308	264	44	22	700	200	1000	600	0	山洞里经常能看到它们的身影
60000062	小蝙蝠	32	0	43	0	1	4515	140	286	0	0	324	277	44	22	700	200	1000	600	0	山洞里经常能看到它们的身影
60000063	幽灵	37	0	45	0	5	4819	155	318	0	0	339	289	48	24	700	200	1000	600	6	它的恐怖在于你不容易打到它
60000064	幽灵	37	0	47	0	5	4996	161	329	0	0	354	303	48	24	700	200	1000	600	6	它的恐怖在于你不容易打到它
60000065	僵尸	0	0	49	0	1	5185	169	346	0	0	403	346	61	30	700	200	1000	600	0	据说它们变得四分五裂了还能动
60000066	僵尸	0	0	51	0	1	5352	176	360	0	0	420	360	61	30	700	200	1000	600	0	据说它们变得四分五裂了还能动
60000067	小恶魔	41	0	53	0	1	5806	181	370	0	0	435	374	61	30	700	200	1000	600	0	地域的传令使
60000068	小恶魔	41	0	55	0	1	5982	187	382	0	0	453	388	62	30	700	200	1000	500	0	地域的传令使
60000069	骷髅	5	0	57	0	1	6135	194	394	0	0	469	403	64	31	700	200	1000	500	0	魔力使它们重新站起来
60000070	骷髅	5	0	59	0	1	6580	228	467	0	0	486	416	67	33	700	200	1000	500	0	魔力使它们重新站起来
60000071	木乃伊	38	0	61	0	1	6792	0	0	240	490	507	435	67	33	700	200	1000	500	0	你很难想象它们在经历了千万年后依然保存完好
60000072	木乃伊	38	0	63	0	1	6958	0	0	248	505	530	454	67	33	700	200	1000	500	0	你很难想象它们在经历了千万年后依然保存完好
60000073	鬼魂	42	0	65	0	1	7465	255	518	0	0	552	474	73	36	700	200	1000	500	0	死者的灵魂，游弋于世间
60000074	鬼魂	42	0	67	0	1	7642	260	530	0	0	574	492	73	36	700	200	1000	500	0	死者的灵魂，游弋于世间
60000075	火元素	11	0	69	0	1	7804	0	0	268	546	596	511	74	36	700	200	1000	500	0	它就是火
60000076	火元素	11	0	71	0	1	7984	0	0	278	565	618	530	74	36	700	200	1000	500	0	它就是火
60000077	火焰巨人	12	0	73	0	1	8565	286	581	0	0	640	550	76	37	700	200	1000	500	0	它们从火山中来
60000078	火焰巨人	12	0	75	0	1	8565	312	635	0	0	662	568	91	45	700	200	1000	500	0	它们从火山中来
60000079	地狱恶魔	41	0	77	0	1	8730	319	646	0	0	685	588	91	45	700	200	1000	500	0	从地域中走出来的恶魔
60000080	地狱恶魔	41	0	79	0	1	9465	324	660	0	0	777	667	93	46	700	200	1000	500	0	从地域中走出来的恶魔
60000081	地狱星	35	0	102	0	6	22000	2191	2590	0	0	2012	1862	145	104	550	100	800	400	5	地狱中的吉祥物
60000082	地狱星	35	0	104	0	6	23500	0	0	2191	2590	1862	2012	145	104	550	100	800	400	5	地狱中的吉祥物
60000083	魔域妖草	54	0	106	0	1	25000	2270	2665	0	0	2072	1922	150	109	550	100	800	400	0	魔界的植物，和一般的植物不一样
60000084	魔域妖草	54	0	108	0	1	26500	0	0	2270	2665	1922	2072	150	109	550	100	800	400	0	魔界的植物，和一般的植物不一样
60000085	多目邪眼	23	0	110	0	6	28000	2349	2740	0	0	2132	1982	155	114	550	100	800	400	6	据说被它盯上的人都没什么好下场
60000086	多目邪眼	23	0	112	0	6	29500	0	0	2349	2740	1982	2132	155	114	550	100	800	400	6	据说被它盯上的人都没什么好下场
60000087	梦魇	39	0	114	0	1	31000	2428	2815	0	0	2192	2042	160	119	550	100	800	400	0	吾心从梦，吾梦为恶
60000088	梦魇	39	0	116	0	1	32500	0	0	2428	2815	2042	2192	160	119	550	100	800	400	0	吾心从梦，吾梦为恶
60000089	原生兽人	46	0	118	0	1	34000	2507	2890	0	0	2252	2102	165	124	550	100	800	400	0	最早一批诞生在这个星球的兽人
60000090	原生兽人	46	0	120	0	1	35500	2586	2965	0	0	2102	2252	165	124	550	100	800	400	0	最早一批诞生在这个星球的兽人
60000091	死亡精灵	18	0	122	0	1	37000	0	0	2586	2965	2312	2162	170	129	550	100	800	400	0	精灵审判执行者
60000092	死亡精灵	18	0	124	0	1	38500	0	0	2665	3040	2162	2312	170	129	550	100	800	400	0	精灵审判执行者
60000093	恶魔守卫	41	0	126	0	1	40000	2744	3115	0	0	2372	2222	175	134	550	100	800	400	0	地狱守门人
60000094	恶灵之火	26	0	128	0	6	41500	0	0	2823	3190	2282	2432	180	139	550	100	800	400	5	地狱中的原火
60000095	魔域石灵	13	0	130	0	1	43000	2902	3265	0	0	2500	2350	185	144	550	100	800	400	0	魔界的石头，似乎有了生命
60000096	无双镜像	23	0	1	0	1	100	1	1	0	0	1	1	10	0	550	100	800	400	0	被困在无双幻境的朋友你好啊，哈哈哈哈。告诉你个秘密，无双幻境一共有五个。离开幻境的时候可以留下一个东西来作为记号，希望对你有帮助
60010001	肉肉	3	0	10	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010002	肉肉	3	0	20	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010003	肉肉	3	0	30	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010004	肉肉	3	0	40	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010005	肉肉	3	0	20	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010006	肉肉	3	0	50	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010007	肉肉	3	0	70	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010008	肉肉	3	0	80	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010009	肉肉	3	0	90	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010010	肉肉	3	0	100	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010011	肉肉	3	0	110	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我有点累，但是你不会受伤。
60010012	肉肉	3	0	120	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010013	玻璃	5	0	10	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010014	玻璃	5	0	20	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010015	玻璃	5	0	30	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010016	玻璃	5	0	40	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010017	玻璃	5	0	20	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010018	玻璃	5	0	50	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010019	玻璃	5	0	70	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010020	玻璃	5	0	80	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010021	玻璃	5	0	90	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010022	玻璃	5	0	100	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010023	玻璃	5	0	110	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010024	玻璃	5	0	120	0	1	1	1	1	0	0	0	0	1000	0	700	200	1000	500	0	网速慢，没问题，我来帮你解决。打我不累
60010025	肉肉大兵	3	0	20	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	肉肉国普通士兵，因为身体太胖，所以打架都不想走路。
60010026	肉肉卫兵	3	0	25	0	1	100	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	肉肉国皇家卫兵，防御很强，不喜欢打架。只是当他发怒时，偶尔会追着你打。
60010027	肉肉英雄刘备	3	0	30	1	1	334	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之刘备
60010028	肉肉英雄诸葛亮	3	0	35	1	1	466	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之诸葛亮
60010029	肉肉英雄赵云	3	0	40	1	1	600	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之黄忠
60010030	肉肉英雄黄忠	3	0	45	1	1	800	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之赵云
60010031	肉肉英雄张飞	3	0	50	1	1	934	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之张飞
60010032	肉肉英雄关羽	3	0	55	1	1	1000	1	1	0	0	100000	100000	1000	0	700	200	1000	500	0	英雄之关羽
60010033	奴隶	9	0	27	0	1	2031	77	162	0	0	163	140	32	16	700	200	1000	600	0	战争中被俘虏的野蛮人
60010034	六目怪	8	0	27	0	4	2031	0	0	77	162	163	140	32	16	700	200	1000	600	6	奇怪的生物
60010035	武士	6	0	41	0	1	4353	133	273	0	0	308	264	44	22	700	200	1000	600	0	贵族训练的武士
60010036	树妖	31	0	41	0	1	4353	0	0	133	273	308	264	44	22	700	200	1000	600	0	一种远古的种族
60010037	剑客	9	0	53	0	1	5806	181	370	0	0	435	374	61	30	700	200	1000	600	0	民间招收过来的剑客
60010038	星魔	35	0	53	0	4	5806	0	0	181	370	435	374	61	30	700	200	1000	600	5	充满魔法的生物
60010039	变异跳蚤	7	0	65	0	1	7465	255	518	0	0	552	474	73	36	700	200	1000	500	0	被魔法变异后的跳蚤
60010040	恶魔草	34	0	65	0	4	7465	0	0	255	518	552	474	73	36	700	200	1000	500	7	会吃人的一种草
60010041	高山族人	13	0	77	0	1	8730	319	646	0	0	685	588	91	45	700	200	1000	500	0	住在高山上的族人，身材高大。
60010042	跳跃球	10	0	77	0	4	8730	0	0	319	646	685	588	91	45	700	200	1000	500	5	魔法师创造出来的生物
60010043	木乃伊卫兵	11	0	89	0	1	10590	415	840	0	0	898	771	103	51	700	200	1000	500	0	从尸体中以密术复活的卫兵
60010044	死亡弓箭手	1	0	89	0	4	10590	0	0	415	840	898	771	103	51	700	200	1000	500	1	从地狱召唤出来的生物
60010045	地狱尸兵	0	0	101	0	1	12858	519	1050	0	0	1044	896	128	63	700	200	1000	500	0	从地狱召唤出来的生物
60010046	亡灵	37	0	101	0	4	12858	0	0	519	1050	1044	896	128	63	700	200	1000	500	6	从地狱召唤出来的生物
60010047	恶梦	42	0	113	0	1	14842	0	0	601	1220	1190	1021	138	67	700	200	1000	500	0	从地狱召唤出来的生物
60010048	燃烧者	12	0	113	0	1	14842	601	1220	0	0	1190	1021	138	67	700	200	1000	500	0	从第六空间召唤出来的生物
61000001	血族之王·假象	57	0	60	3	5	50410	0	0	351	654	1	1	24	12	480	0	800	300	6	多目怪是魔族忠实的仆人，独自在野外行走的旅人常常会受到来自多目怪的袭击，那仿佛来自地狱的身影，拥有远距离杀伤的能力，它们疯狂的袭击人类得到人类的鲜血来增强它们的力量。
61000002	野蛮人头领	28	0	20	1	1	2476	244	308	0	0	129	110	32	16	480	0	800	300	0	到处都有一些没有开化的人群，但是这一群崇尚暴力
61000003	树精头领	31	0	30	1	1	4227	0	0	320	466	223	192	44	24	480	0	800	300	0	这些树在过了万年以后已经成为了出色的丛林守护者
61000004	邪恶士兵头领	21	0	40	1	1	6966	489	615	0	0	326	280	56	30	480	0	800	300	0	受过专业训练的士兵，随时准备奔赴战场
61000005	狂剑士头领	24	0	50	1	1	9706	579	810	0	0	459	393	74	40	480	0	800	300	0	一些战士在和魔物交战的过程中迷失了自己，现在他们也变成了魔物
61000006	南瓜怪头领	39	0	60	1	1	13771	687	1040	0	0	592	507	85	44	480	0	800	300	0	有个喜欢恶作剧的法师将万圣节的礼物活化了，产生了这种玩意儿
61000007	火焰巨人头领	20	0	70	1	1	17037	0	0	762	1196	724	621	93	48	480	0	800	300	0	它们从火山中来
61000008	小恶魔头领	41	0	80	1	1	20574	982	1451	0	0	864	742	122	64	480	0	800	300	0	从地域中走出来的恶魔
61000009	幽灵头领	37	0	90	1	1	22923	1017	1736	0	0	1035	888	129	68	480	0	800	300	0	它的恐怖在于你不容易打到它
61000010	骷髅弓箭手头领	16	0	100	1	5	27432	1191	1890	0	0	1213	1041	160	84	480	0	800	300	1	当你给骷髅一把弓，那么你下一步能做的就是离开它的射程
61000011	木乃伊头领	38	0	110	1	1	29592	1318	2165	0	0	1422	1220	170	88	480	0	800	300	0	你很难想象它们在经历了千万年后依然保存完好
61000012	地狱恶魔头领	41	0	120	1	1	33939	0	0	1547	2435	1588	1363	183	94	480	0	800	300	0	地域的传令使
62000001	强化骷髅兵	5	0	82	0	1	16071	0	0	490	1042	841	721	122	64	600	150	1000	500	0	骷髅代表的就是死亡，骷髅狞笑的嘴脸是死神降临前的定格。骷髅作为死神的先锋军团率先袭击这片岛国，他们对于每一个非魔族生物都予以致命的袭击，每一具曾经鲜活的身体，最后都成为骷髅的傀儡，从此堕落。
62000002	强化骷髅弓箭手	1	0	84	0	5	16323	497	1060	0	0	872	748	123	64	600	150	1000	500	1	曾经是军队中的神射手，用一支支羽箭取百步之外人的性命，但随死亡气息的蔓延，他们的遗骸被强大的死亡魔法复活，变成亡灵军团的傀儡，堕落为不洁者。
62000003	强化骷髅兵	5	0	86	0	1	17442	0	0	507	1076	904	775	123	64	600	150	1000	500	0	骷髅代表的就是死亡，骷髅狞笑的嘴脸是死神降临前的定格。骷髅作为死神的先锋军团率先袭击这片岛国，他们对于每一个非魔族生物都予以致命的袭击，每一具曾经鲜活的身体，最后都成为骷髅的傀儡，从此堕落。
62000004	强化骷髅弓箭手	1	0	88	0	5	17739	553	1175	0	0	935	803	129	68	600	150	1000	500	1	曾经是军队中的神射手，用一支支羽箭取百步之外人的性命，但随死亡气息的蔓延，他们的遗骸被强大的死亡魔法复活，变成亡灵军团的傀儡，堕落为不洁者。
62000005	强化邪恶兽人	3	0	92	0	1	17907	0	0	580	1236	999	857	129	68	600	150	1000	500	0	受到魔族精神控制的兽人，产生了邪恶的一面，其中的精英更是具有强大攻击力，是一般兽人远远不及的。
62000006	强化食人魔	4	0	94	0	1	19044	589	1252	0	0	1032	885	134	70	600	150	1000	500	0	魔界中强大的食人魔占据相当大的领地，头脑和力量兼备的他们所具有的杀伤力完全超过一般魔族。它们善于使用巨大的棍棒对敌对方造成致命打击，取得战斗胜利。
62000007	强化邪恶兽人	3	0	96	0	1	19341	0	0	597	1267	1063	913	135	72	600	150	1000	500	0	受到魔族精神控制的兽人，产生了邪恶的一面，其中的精英更是具有强大攻击力，是一般兽人远远不及的。
