编号	名字	任务目标类型	附带道具	可否放弃任务	可否重复接受	接任务所需物品	种族限制(-1表示无限制)	最小等级限制	最大等级限制	有效时间(分钟)	任务接受间隔(分)	目标数字数据	目标文字数据	完成任务目标值	经验奖励	元宝奖励	金钱奖励	物品奖励	任务目标描叙	任务奖励描叙	任务帮助/提示信息
10000010	消灭老鼠	2	0	1	1	0	-1	1	255	60	0	0	远古老鼠	5	90	0	90	0	杀死5只远古老鼠	任务奖励90经验，90金币	老鼠在那舍岛上有出没
10000011	收集老鼠皮	1	0	1	1	0	-1	1	255	60	0	1333010100	0	2	80	0	60	1313001200	从远古老鼠身上收集2张老鼠皮	任务奖励80经验，60金币，魔法药水（中）1瓶	老鼠在那舍岛上有出没
10000012	多目怪的眼睛	1	0	1	1	0	-1	1	255	60	0	1333010200	0	3	200	0	100	0	从多目怪身上收集3只多目怪的眼睛	任务奖励200经验，100金币	多目怪在那舍岛上有出没
10000013	有毒的蝎子	2	0	1	1	0	-1	1	255	60	0	0	蝎子	18	500	0	500	0	杀死18只蝎子	任务奖励500经验，500金币	消灭那亚村周围的毒蝎子
10000014	多目怪头领	2	0	1	1	0	-1	12	255	60	0	0	多目怪头领	1	300	0	1000	1333001800	杀死多目怪头领	任务奖励300经验，1000金币，副本卷轴1个	这个自己找一找吧
10000015	看似可爱的海星	2	0	1	1	0	-1	6	255	60	0	0	海星星	24	600	0	600	0	杀死24只海星星	任务奖励600经验，600金币	海星星在那亚村的中部以及东部沿海地带
10000016	恐怖的跳蚤	2	0	1	1	0	-1	10	255	60	0	0	跳蚤	30	780	0	800	0	杀死30只跳蚤	任务奖励780经验，800金币	跳蚤在那亚村南部
10000017	野蛮人的进攻	2	0	1	1	0	-1	14	255	60	0	0	野蛮人	35	1000	0	1000	0	杀死35个野蛮人	任务奖励1000经验，1000金币	那亚村往南走，在“贝尔森林”和“贝伦城”可发现野蛮人。
10000018	失心的剑士	2	0	1	1	0	-1	18	255	90	0	0	狂剑士	42	1350	0	900	0	杀死42个狂剑士	任务奖励1350经验，900金币	狂剑士在“贝伦城”西部以及“贝尔森林”西部
10000019	丛林守卫者	2	0	1	1	0	-1	22	255	120	0	0	树精	50	1700	0	800	0	杀死50个树精	任务奖励1700经验，800金币	树精在“贝伦城”东部以及“贝特通道”
10000020	看不见的敌人	2	0	1	1	0	-1	26	255	120	0	0	沙怪	58	2100	0	700	0	杀死58个沙怪	任务奖励2100经验，700金币	沙怪在贝伦城南部以及伦奇通道
10000021	万圣节的礼物	2	0	1	1	0	-1	30	255	180	0	0	南瓜怪	72	3000	0	500	0	杀死72个南瓜怪	任务奖励3000经验，500金币	南瓜怪在梵奇城西北部
10000022	训练有素的士兵	2	0	1	1	0	-1	32	255	180	0	0	士兵	81	3300	0	600	0	杀死81名士兵	任务奖励3300经验，600金币	士兵在梵奇城西部
10000023	吃人的植物	2	0	1	1	0	-1	38	255	180	0	0	食人花	88	4000	0	600	0	杀死88个食人花	任务奖励4000经验，600金币	食人花在幻漠城和梵奇城东部
10000024	庞然大物	2	0	1	1	0	-1	42	255	90	0	0	巨人	48	2200	0	1000	0	杀死48个巨人	任务奖励2200经验，1000金币	巨人在梵奇城东南部
10000025	断剑	1	0	1	1	0	-1	53	255	60	0	1333011100	0	5	1160	0	6000	0	从疯狂剑士身上收集5把断剑	任务奖励1160经验，6000金币	疯狂剑士在暗精镇南部
10000026	善战的野蛮人	2	0	1	1	0	-1	50	255	120	0	0	狂暴野蛮人	60	3600	0	500	0	杀死60个狂暴野蛮人	任务奖励3600经验，500金币	狂暴野蛮人在暗精镇周围出没
10000027	恶作剧的代价	2	0	1	1	0	-1	54	255	180	0	0	南瓜怪人	110	8100	0	660	0	杀死110个南瓜怪人	任务奖励8100经验，660金币	南瓜怪人在暗精镇的中部以及中北部
10000028	潜在的危险	2	0	1	1	0	-1	58	255	180	0	0	剧毒跳蚤	120	9150	0	700	0	杀死120个剧毒跳蚤	任务奖励9150经验，700金币	剧毒跳蚤在暗精镇的中西部
10000029	令人生畏的力量	2	0	1	1	0	-1	62	255	240	0	0	远古树精	120	10400	0	740	0	杀死120个远古树精	任务奖励10400经验，740金币	远古树精在夏基亚城西南部和暗精镇的西北部
10000030	护卫者	2	0	1	1	0	-1	66	255	240	0	0	卫兵	120	11560	0	780	0	杀死120个卫兵	任务奖励11560经验，780金币	卫兵在血精森林的中部一带和夏基亚城西南部
10000031	以正义之名	2	0	1	1	0	-1	70	255	240	0	0	邪恶巨人	100	10900	0	820	0	杀死100个邪恶巨人	任务奖励10900经验，820金币	邪恶巨人在夏基亚城西南部以及血精森林
10000032	神秘的爆炸球	2	0	1	1	0	-1	81	255	60	0	1333010300	0	50	2000	0	860	0	从爆炸球身上收集5个爆炸球碎片	任务奖励2000经验，860金币	爆炸球在夏基亚城南部以及血精森林
10000033	尊贵者	2	0	1	1	0	-1	78	255	240	0	0	木乃伊领主	120	15300	0	900	0	杀死120个木乃伊领主	任务奖励15300经验，900金币	木乃伊领主“夏亚地宫二层”和“夏亚地道”出没
10000034	火灵	1	0	1	1	0	-1	89	255	60	0	1333010700	0	5	2240	0	940	0	从烈火元素身上收集5个火灵	任务奖励2240经验，940金币	烈火元素在血精森林的西北部
10000035	来自于地穴	2	0	1	1	0	-1	86	255	240	0	0	深渊恶魔	130	19000	0	980	0	杀死130个深渊恶魔	任务奖励19000经验，980金币	深渊恶魔在夏亚地道和塔魔尼幻境
10000036	邪恶的鬼将	2	0	1	1	0	-1	102	255	240	0	0	鬼将	120	28400	0	1020	0	杀死120个鬼将	任务奖励28400经验，1020金币	鬼将在塔魔尼幻境
10000037	疯狂的骷髅	2	0	1	1	0	-1	94	255	240	0	0	骷髅弓箭手	120	22365	0	1060	0	杀死120个骷髅弓箭手	任务奖励22365经验，1060金币	骷髅弓箭手在塔魔尼地宫东部和塔魔尼幻境
10000038	消灭骷髅	2	0	1	1	0	-1	50	255	240	0	0	骷髅	120	7200	0	1000	0	杀死120个骷髅	任务奖励7200经验，1000金币	骷髅在“幻漠地宫二层”出没
10000039	消灭木乃伊	2	0	1	1	0	-1	54	255	240	0	0	木乃伊	110	8100	0	1000	0	杀死110个木乃伊	任务奖励8100经验，1000金币	木乃伊在“幻漠地宫二层”出没
10000040	跳跃的爆炸球	2	0	1	1	0	-1	74	255	240	0	0	爆炸球	100	12000	0	1180	0	杀死100个爆炸球	任务奖励12000经验，1180金币	爆炸球在夏基亚城北面、夏亚地道和塔魔尼幻境出没。
10000041	神奇的烈火元素	2	0	1	1	0	-1	82	255	240	0	0	烈火元素	120	16700	0	1220	0	杀死120个烈火元素	任务奖励16700经验，1220金币	烈火元素在夏亚地道和塔魔尼幻境出没。
20000001	勇者考验（主线任务）	1	0	0	0	0	-1	12	255	0	0	1333010200	0	12	1356	0	1500	0	带12个多目怪的眼睛回来，以证明你消灭了多目怪。	任务奖励1356经验，1500金币	最近有一些多目怪攻击村民，那亚村的智慧老人正招募一些勇士来消灭这种怪物。
20000002	主线任务提示	0	0	0	0	0	-1	12	255	0	0	0	0	0	300	0	500	0	24级后找贝伦城的“智慧老人”聊聊。	任务奖励300经验，500金币	那亚村往南走，通过“贝尔森林”可步行到贝伦城。也可以使用“传送使者”到达贝伦城。
20000011	游侠（主线任务）	2	0	0	0	0	-1	24	255	0	0	0	狂剑士	28	2000	0	2500	0	打败28个狂剑士	任务奖励2000经验，2500金币	智慧老人的委托,调查剑士发狂的原因。
20000012	游侠（主线任务）	2	0	0	0	0	-1	24	255	0	0	0	树精	32	2500	0	3500	0	消灭32个树精	任务奖励2500经验，3500金币	智慧老人的委托,调查剑士发狂的原因，是否和树精有关。
20000013	游侠（主线任务）	2	0	0	0	0	-1	24	255	0	0	0	沙怪	36	3588	0	4000	1333050001	消灭36个沙怪	任务奖励3588经验，4000金币	智慧老人的委托,调查贝伦城为什么会有沙怪出现。
20000014	游侠（主线任务）	1	0	0	0	0	-1	24	255	0	0	1333050001	0	1	2000	0	2000	0	解读“神秘卷轴”。	任务奖励2000经验，2000金币	梵奇城的智慧老人是一位研究古文字的学者，他可以帮你解读“神秘卷轴”。
20000021	龙族使者（主线任务）	1	1333011801	0	0	0	-1	36	255	0	0	1333050002	0	1	32432	0	20000	1333001900	带回龙族鳞片，来证明你帮助了龙族使者。	任务奖励32432经验，20000金币，一个仓库卷轴	使用异空间卷轴，进入异空间后找龙族使者谈谈。
20000022	龙族使者的委托（主线任务）	2	0	1	1	0	-1	36	255	0	0	0	魔巨人·犹加	1	0	0	0	1333050002	消灭魔巨人·犹加	奖励龙族鳞片	消灭36个巨人的奴仆后，魔巨人·犹加会在地图的中间部分出现。
20000023	海岸上的巨人（主线）	2	0	0	0	0	-1	48	255	0	0	0	巨人	9	1000	0	2000	0	消灭9个巨人	奖励1000经验，2000金币	“特姆海岸”是通往幻漠城、贝伦城和那亚村的交通要道，但是被一些巨人占据了。
20000024	幻漠迷道之僵尸（主线）	2	0	0	0	0	-1	48	255	0	0	0	僵尸	12	2000	0	4000	0	消灭12个僵尸	奖励2000经验，4000金币	两个“狂剑士头领”占领了“幻漠迷道”，消灭迷道里的僵尸,帮助幻漠领主消灭它们的行动。
20000025	幻漠迷道之小恶魔（主线）	2	0	0	0	0	-1	48	255	0	0	0	小恶魔	15	3000	0	6000	0	消灭15个小恶魔	奖励3000经验，6000金币	两个“狂剑士头领”占领了“幻漠迷道”，消灭迷道里的小恶魔,帮助幻漠领主消灭它们的行动。
20000026	幻漠地宫二层之骷髅（主线）	2	0	0	0	0	-1	48	255	0	0	0	骷髅	18	4000	0	8000	0	消灭18个骷髅	奖励4000经验，8000金币	“南瓜怪头领”占领了“幻漠地宫二层”，消灭地宫里的骷髅,帮助幻漠领主消灭它们的行动。
20000027	幻漠地宫二层之木乃伊（主线）	2	0	0	0	0	-1	48	255	0	0	0	木乃伊	21	5000	0	10000	0	消灭21个木乃伊	奖励5000经验，10000金币	“南瓜怪头领”占领了“幻漠地宫二层”，消灭地宫里的木乃伊,帮助幻漠领主消灭它们的行动。
20000028	邪恶之心（主线）	2	0	0	0	0	-1	48	255	0	0	0	邪恶之心	1	61124	0	30000	0	消灭邪恶之心	奖励61124经验，30000金币	找修女对话，进入心灵世界，消灭隐藏在领主心灵中的邪恶之心。
20000029	黑暗的守门人（主线）	1	1333050004	0	0	0	-1	60	255	0	0	1333050005	0	1	0	0	0	0	找到黑晶石	开启“先祖的坟墓”	在幻漠地宫二层使用“地宫藏宝图”，挖出一个黑晶石交给智慧老人。
20000030	黑暗的守门人（主线）	2	0	0	0	0	-1	60	255	0	0	0	黑暗守门人	1	124200	0	60000	1333001900	消灭黑暗守门人	奖励124200经验，60000金币,一个仓库卷轴	找智慧老人对话，传送进“先祖的坟墓”，消灭里面的黑暗守门人。(最多限3人组队进去)
20000031	黑暗的守门人（分支）	2	0	1	1	0	-1	60	255	0	0	0	死亡召唤者	120	0	0	0	1333011802	消灭120个死亡召唤者	奖励:一个黑暗空间副本卷	完成传送使者所给予的任务
20000032	龙族鳞片（主线任务）	0	0	1	1	0	-1	36	255	0	1440	0	0	0	0	0	0	1333050002	跟龙族使者对话	奖励龙族鳞片	跟龙族使者对话，可以得到一个“龙族鳞片”。
20000033	拯救卫兵（主线任务）	2	0	1	0	0	-1	72	255	0	0	0	卫兵	72	60000	0	0	0	打败72个士兵	奖励：60000经验，取得远征军的军人资格。	为了救治夏基亚城外那些已经发狂的卫兵，智慧老人让你把他们打败。
20000034	阿塞林地之战（主线任务）	2	0	0	0	0	-1	72	255	0	0	0	施瓦新格	1	300000	0	0	1333050100	消灭施瓦新格	奖励：300000经验，战斗勋章。	把兽王“施瓦新格”消灭在“阿塞林地”。
20000035	正面进攻（主线任务）	2	0	0	0	0	-1	72	255	0	0	0	施瓦新格	1	300000	0	100000	1333050100	消灭施瓦新格	奖励：300000经验，100000金币，战斗勋章。	消灭兽王“施瓦新格”和它的兽族军团。
20000036	选拔与暗杀（主线任务）	2	0	0	0	0	-1	72	255	0	0	0	参赛者	22	0	0	100000	0	打败22位参赛者	奖励：100000金币，领取下一个任务	找皇家指挥官可进入选拔竞技场，通过选拔后，可得到金币奖励，同时取得“阿塞林地之战”任务。
20000037	普罗·克洛托（主线任务）	2	0	0	0	0	-1	84	255	0	0	0	普罗·克洛托的骷髅	1	200000	0	0	0	打败普罗·克洛托的骸骨	奖励：200000经验，领取下一个任务	在血精森林坐标（30，36）附近可以找到“普罗·克洛托的骸骨”
20000038	普罗·克洛托（主线任务）	2	0	0	0	0	-1	84	255	0	0	0	普罗·克洛托的灵魂	1	250000	0	0	0	打败普罗·克洛托的灵魂	奖励：250000经验，领取下一个任务	在血精森林坐标（131，63）附近可以找到“普罗·克洛托的灵魂”
20000039	普罗·克洛托（主线任务）	1	0	0	0	0	-1	84	255	0	0	1333050101	0	1	300000	0	200000	1723020601	收集1个普罗·克洛托的心脏	奖励：300000经验，200000金币，78级极品项链+1	在血精森林坐标（33，133）附近可以找到“怪异食人花”，打败它后会掉落“普罗·克洛托的心脏”
20000098	转生“血精的印记”	0	0	1	1	0	-1	110	255	0	121	0	0	0	0	0	0	1333123459	找“精灵大臣”领取转生物品	奖励：血精的印记	找“精灵大臣”了解转生相关事情，并领取转生物品。
10000042	消灭多目怪	2	0	1	1	0	-1	1	255	60	0	0	多目怪	6	150	0	160	0	杀死6只多目怪	任务奖励150经验，160金币	多目怪在那舍岛和那亚村附近出没。
10000043	消灭僵尸	2	0	1	1	0	-1	42	255	240	0	0	僵尸	110	4500	0	1000	0	杀死110只僵尸	任务奖励4500经验，1000金币	僵尸出现在幻漠迷道和幻漠地宫一层。
10000044	消灭小恶魔	2	0	1	1	0	-1	46	255	240	0	0	小恶魔	120	5500	0	0	0	杀死120只小恶魔	任务奖励5500经验	小恶魔出现在幻漠迷道和幻漠地宫里。
10001001	收集蝎子的毒液	1	0	1	1	0	-1	2	255	60	0	1333011300	0	6	500	0	600	0	收集6个蝎子的毒液	任务奖励500经验，600金币	9级和11级毒蝎子掉落物品。
10001002	收集海星之眼	1	0	1	1	0	-1	6	255	60	0	1333011200	0	6	600	0	900	0	收集6个海星之眼	任务奖励600经验，900金币	13级和15级海星星掉落物品。
10001003	收集野蛮人的战利品	1	0	1	1	0	-1	14	255	60	0	1333011500	0	9	700	0	1500	0	收集9个野蛮人的战利品	任务奖励700经验，1500金币	21级和23级野蛮人掉落物品。
10001004	收集狂剑士的头盔	1	0	1	1	0	-1	18	255	60	0	1333011400	0	9	800	0	2100	0	收集9个狂剑士的头盔	任务奖励800经验，2100金币	25级和27级狂剑士掉落物品。
10001005	收集南瓜怪的帽子	1	0	1	1	0	-1	30	255	60	0	1333011600	0	10	900	0	2700	0	收集10个南瓜怪的帽子	任务奖励900经验，2700金币	37级和39级南瓜怪掉落物品。
10001006	收集食人花之心	1	0	1	1	0	-1	38	255	60	0	1333011700	0	10	1000	0	3000	0	收集10个食人花之心	任务奖励1000经验，3000金币	45级和47级食人花掉落物品。
10001007	收集火焰石	1	0	1	1	0	-1	46	255	60	0	1333011800	0	12	1300	0	4000	0	收集12个火焰石	任务奖励1300经验，4000金币	53级和55级小恶魔掉落物品。
10001008	收集南瓜怪之心	1	0	1	1	0	-1	54	255	60	0	1333011900	0	12	1600	0	5000	0	收集12个南瓜怪之心	任务奖励1600经验，5000金币	61级和63级南瓜怪人掉落物品。
10001009	收集剧毒的液体	1	0	1	1	0	-1	58	255	60	0	1333012000	0	12	1800	0	6000	0	收集12个剧毒的液体	任务奖励1800经验，6000金币	65级和67级剧毒跳蚤掉落物品。
10001010	元宝任务（击杀30个无双·怪异剑士）	2	0	1	1	0	-1	1	255	60	0	0	无双·怪异剑士	30	0	1000	0	0	击杀30个无双·怪异剑士	任务奖励1000元宝	新手打宝地图里面向上走，会看到无双·怪异剑士
10001011	钱的作用	1	0	1	1	0	-1	1	255	60	121	1333500003	0	1	0	0	0	1330010155	需要1000w金币，可以找奸商看看	任务奖励血精印记合成卷	去找奸商看看吧
10001012	终极武器的提炼·战士	1	0	1	1	0	-1	1	255	60	0	1333500003	0	1	0	0	0	1433001122	需要一把+80的战士终极武器	任务奖励璀璨的精华	需要+80的终极武器
10001013	终极武器的提炼·法师	1	0	1	1	0	-1	1	255	60	0	1333500003	0	1	0	0	0	1433001122	需要一把+80的法师终极武器	任务奖励璀璨的精华	需要+80的终极武器
10001014	终极武器的提炼·游侠	1	0	1	1	0	-1	1	255	60	0	1333500003	0	1	0	0	0	1433001122	需要一把+80的游侠终极武器	任务奖励璀璨的精华	需要+80的终极武器
10000045	传播疫病的尸兵	2	0	1	1	0	-1	98	255	300	0	0	尸兵	150	31600	0	1100	0	杀死150个尸兵	任务奖励31600经验，1100金币	尸兵在塔魔尼地宫东南部和塔魔尼幻境
10000046	被驱役的灵魂	2	0	1	1	0	-1	106	255	360	0	0	怨灵	180	42400	0	1100	0	杀死180个怨灵	任务奖励42400经验，1100金币	怨灵在塔魔尼幻境出没
10000047	火山的主人	2	0	1	1	0	-1	110	255	360	0	0	燃烧巨人	210	52950	0	1220	0	杀死210个燃烧巨人	任务奖励52950经验，1220金币	燃烧巨人在塔魔尼地宫4层以下
10002001	寻找小狗	0	0	1	1	0	-1	1	255	0	0	0	0	0	70	0	0	0	帮大马哈找到叫“哈巴”的小狗	奖励70经验	小狗喜欢在那舍岛玩捉迷藏，它每次出现一小会就会消失。
10002002	找到小狗	0	0	1	1	0	-1	1	255	0	0	0	0	0	0	0	100	0	找“大马哈”领取任务奖励	奖励100金币	你已经找到小狗了，回去找“大马哈”交任务，“大马哈”在新迪岛的15，66坐标上。
10002003	勇者的征途	0	0	1	1	0	-1	1	255	0	0	0	0	0	0	0	0	1333012600	找奥尔罗德对话	奖励一个“勇者徽章”	奥尔罗德是现任的皇家士卫长，他在贝伦城的(75,106)坐标附近。
10002004	迷宫游戏	1	1333050003	1	1	0	-1	24	255	0	1440	1333050003	0	1	0	0	0	1633050130	完成肉肉国王的游戏	奖励一个1小时的双倍经验宝石	找“每日任务使者”对话可以进入肉肉世界。
10002005	贵族练功场	0	0	0	0	0	-1	0	255	0	0	0	0	0	0	0	0	0	找布里奇特对话	开启贵族练功场	布里奇特在贝伦城（31，67）坐标附近。
10002006	希望之石	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	1333012700	找艾比盖对话	奖励一个“希望之石”	你可以在贝尔森林（71，66）坐标找到艾比盖。
10002007	幸运之石	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	1333012800	找伯特卡罗对话	奖励一个“幸运之石”	伯特卡罗是个闲不住的人，但是你可以在贝伦城（31，67）找到他。
10002008	神秘之石	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	1333012900	找菲雷德对话	奖励一个“神秘之石”	菲雷德是冒险界的传奇人物，你可以在贝伦城（105，97）坐标找到他。
10002009	迷之森林	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	0	找酒鬼对话	未知奖励	酒鬼可能出现在那亚村的任何一个角落。
10002010	探险者	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	0	找柏塔·艾丽斯对话	未知奖励	柏塔·艾丽斯在那亚村的探险者公会附近坐标（127，90）。
10002011	神秘商人	0	0	1	1	0	-1	0	255	0	0	0	0	0	0	0	0	0	找神秘商人对话	未知奖励	神秘商人住在梵奇城（24，36）坐标附近。
10002013	疯狂的剑士	2	0	1	1	0	-1	48	255	0	1440	0	疯狂剑士	120	23580	0	0	0	消灭120只疯狂剑士	奖励23580经验	为防止疯狂剑士在暗精镇南部引起骚乱，奥尔罗德让你尽快去消灭它。
10002015	奇怪的生物	2	0	1	1	0	-1	60	255	0	1440	0	恶魔球	100	33120	0	0	0	消灭100只恶魔球	奖励33120经验	荒芜之地出现了恶魔球，被他攻击过的士兵精神受到了严重的创伤。你最好问问奥尔罗德怎么进荒芜之地。
10002017	痴呆的士兵	2	0	1	1	0	-1	72	255	0	1440	0	狼毒花	105	46980	0	0	0	消灭105只狼毒花	奖励46980经验	你最好问问奥尔罗德怎么进地下通道。
10002019	王宫的动乱	2	0	1	1	0	-1	84	255	0	1440	0	野蛮兵	110	63360	0	0	0	消灭110只野蛮兵	奖励63360经验	到皇城外郊，打败110个野蛮兵。你最好问问奥尔罗德怎么进皇城外郊。
10002021	反叛的王臣	2	0	1	1	0	-1	96	255	0	1440	0	精英头领	1	82440	0	0	0	消灭“精英头领”	奖励82440经验	消灭60只反叛者之精英兵后，精英头领就会在(36,60)坐标出现。
10002023	阻击	2	0	1	1	0	-1	108	255	0	1440	0	弗朗西斯	1	104040	0	0	0	消灭“弗朗西斯”	奖励104040经验	把弗朗西斯的80个侦查兵干掉后，弗朗西斯才会在(74.38)坐标出现。
10002025	暗袭	2	0	1	1	0	-1	115	255	0	1440	0	恶魔之子	1	118800	0	0	0	消灭“恶魔之子”	奖励118800经验	消灭恶魔之子。提示:消灭100个特种兵后奥尔亚瑟会在（48，100）坐标出现，消灭奥尔亚瑟，恶魔之子就会现形。
10002026	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄刘备	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002027	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄诸葛亮	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002028	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄赵云	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002029	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄黄忠	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002030	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄张飞	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002031	肉肉迷宫之锻炼	2	0	1	1	0	-1	60	255	0	0	0	肉肉英雄关羽	1	0	0	0	0	打败神秘的肉肉英雄	传送到下一层迷宫	只有打败两个肉肉大兵的人才有资格见到我们的英雄。
10002033	蝎子的毒液	1	0	1	1	0	-1	10	255	0	1440	1333011300	0	6	0	0	3400	0	收集6个蝎子的毒液	任务奖励3400金币	9级和11级毒蝎子掉落物品。
10002034	海星之眼	1	0	1	1	0	-1	12	255	0	1440	1333011200	0	6	0	0	4600	0	收集6个海星之眼	任务奖励4600金币	13级和15级海星星掉落物品。
10002035	狂剑士的头盔	1	0	1	1	0	-1	24	255	0	1440	1333011400	0	6	0	0	8200	0	收集6个狂剑士的头盔	任务奖励8200金币	25级和27级狂剑士掉落物品。
10002036	南瓜怪的帽子	1	0	1	1	0	-1	36	255	0	1440	1333011600	0	6	0	0	11800	0	收集6个南瓜怪的帽子	任务奖励11800金币	37级和39级南瓜怪掉落物品。
10002037	火焰石	1	0	1	1	0	-1	48	255	0	1440	1333011800	0	6	0	0	16600	0	收集6个火焰石	任务奖励16600金币	53级和55级小恶魔掉落物品。
10002038	南瓜怪之心	1	0	1	1	0	-1	60	255	0	1440	1333011900	0	6	0	0	19000	0	收集6个南瓜怪之心	任务奖励19000金币	61级和63级南瓜怪人掉落物品。
10002039	爆炸球的碎片	1	0	1	1	0	-1	72	255	0	1440	1333010300	0	6	0	0	25000	0	收集6个爆炸球的碎片	任务奖励25000金币	81级和83级爆炸球掉落物品。
10002040	火灵	1	0	1	1	0	-1	84	255	0	1440	1333010700	0	6	0	0	27400	0	收集6个火灵	任务奖励27400金币	89级和91级烈火元素掉落物品。
10002041	骷髅盔	1	0	1	1	0	-1	96	255	0	1440	1333012200	0	6	0	0	29200	0	收集6个骷髅盔	任务奖励29200金币	97级和99级骷髅战士掉落物品。
10002042	燃烧之石	1	0	1	1	0	-1	108	255	0	1440	1333012100	0	6	0	0	35800	0	收集6个燃烧之石	任务奖励35800金币	117级和119级燃烧巨人掉落物品。
10002043	消灭蝎子	2	0	1	1	0	-1	5	255	0	1440	0	蝎子	60	0	0	6800	0	消灭60只蝎子	任务奖励6800金币	消灭那亚村周围的毒蝎子
10002044	消灭野蛮人	2	0	1	1	0	-1	12	255	0	1440	0	野蛮人	80	0	0	14000	0	消灭80只野蛮人	任务奖励14000金币	那亚村往北走，在“贝尔森林”和“贝伦城”可发现野蛮人。
10002045	消灭沙怪	2	0	1	1	0	-1	24	255	0	1440	0	沙怪	90	0	0	21200	0	消灭90只沙怪	任务奖励21200金币	沙怪在贝伦城南部以及伦奇通道
10002046	消灭食人花	2	0	1	1	0	-1	36	255	0	1440	0	食人花	100	0	0	28400	0	消灭100只食人花	任务奖励28400金币	食人花在幻漠城和梵奇城东部
10002047	消灭疯狂剑士	2	0	1	1	0	-1	48	255	0	1440	0	疯狂剑士	110	0	0	33200	0	消灭110只疯狂剑士	任务奖励33200金币	疯狂剑士在暗精镇周围出现
10002048	消灭远古树精	2	0	1	1	0	-1	60	255	0	1440	0	远古树精	115	0	0	42800	0	消灭115只远古树精	任务奖励42800金币	远古树精在暗精镇的西北部
10002049	消灭邪恶巨人	2	0	1	1	0	-1	72	255	0	1440	0	邪恶巨人	120	0	0	47600	0	消灭120只邪恶巨人	任务奖励47600金币	邪恶巨人在夏基亚城西南部以及血精森林
