编号	名字	图像	游戏币价格	元宝价格	简介	类型(吐露爱意，调侃捉弄，动作类)	作用的显示范围	"持续时间(秒,最大255)"	优先度	文本内容
1633090037	殉情	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX深情款款地凝视着YYY，说道：“你死了，我怎么还能独活着！”
1633090038	哭	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX越想越伤心，终于忍不住趴在YYY的肩膀上放声大哭起来，就连老天也感动的哭勒！
1633090039	偷吻	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX在YYY脸上偷偷亲了一下。
1633090040	999朵玫瑰	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX送给YYY999朵玫瑰，表达自己对YYY深深的爱，美丽的花瓣飘舞起来。
1633090041	吐痰	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX向着YYY的脸吐了一口痰，你还别嫌脏，就这早上我还没刷牙呢。
1633090042	机器人	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX敲了敲YYY的脑袋，咚咚作响，打开一看，全是乱麻似的电线，不禁摇了摇头道：“这种机器人也太原始了！”
1633090043	纪念日	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX对着YYY狞笑着地说道：“明年的今天，就是你的忌日！”
1633090044	咬人	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX真想狠狠地咬YYY一口，看看他大哭的样子。
1633090045	佩服	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX双手抱拳，讨好地对YYY说道：“在下对你的景仰之情，有如滔滔江水连绵不绝。
1633090046	吹牛	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX把胸脯拍得噼啪响，对YYY咆哮：“武林中拳头大的说话，你有种上来跟我比划比划！”
1633090047	再见	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	其时明月在天，清风吹叶，树巅乌鸦呀啊而鸣，XXX再也忍耐不住，望着YYY的背影，泪珠夺眶而出。
1633090048	问候	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX感动得热泪盈眶，向着YYY振臂高呼：“你今天囧了吗？”
1633090049	好孩子	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX拍了拍YYY的头，说：“好孩子，听话，乖。”
1633090050	没出息	2	8000	0	在游戏中自由选择播放该道具语句	1	1	15	1	XXX一把鼻涕一把眼泪地哭着，对着YYY骂道：“你这么没出息，叫我怎么对得起你死去的爹娘啊！”
1633090051	蛋糕	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX把一块生日蛋糕扣在了YYY的脸上，YYY一脸的无辜的看着XXX。
1633090052	板砖	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX狠狠的拍了YYY一板砖，让YYY顿时感到清醒。
1633090053	啤酒瓶	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX当头给了YYY一啤酒瓶，YYY顿时倒地吐血不止。
1633090054	飞脚	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX给了YYY一记佛山无影脚，YYY浑身布满了鞋印子。
1633090055	脑崩儿	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX在YYY的头上弹了个清脆的脑崩儿，YYY的脑门儿上立刻长出了个大包包。
1633090056	小心	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX对着YYY劝道：“走路防跌，吃饭防噎，你别太招摇了，当心有一天栽在人家手里！”
1633090057	棍棒	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX手舞木棒，对准YYY的后脑一记闷棍，YYY哼也没哼一声，软软的摔倒在地。
1633090058	冷	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX举着剑，眼神像冰一样，冷冷地瞪着YYY，YYY不自禁地打了个哆嗦，往后退了一步。
1633090059	木乃伊	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX很利索地把YYY的肚子剖了开来，塞进稻草，只一会就做成了一具好看的木乃伊。
1633090060	群殴	3	8000	0	在游戏中自由选择播放该道具语句	2	1	15	1	XXX声嘶力竭地叫道，“对YYY这样的家还讲什么江湖道义，大伙并肩子上啊！”
1633090061	鲜花	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX送给了YYY一束美丽的鲜花，表达了自己的爱慕之情。
1633090062	索吻	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX强行吻了YYY，我是流氓我怕谁？怎么样你是不是爱上我拉？
1633090063	拥抱	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX深情的拥抱了YYY，含情默默的对YYY说：我爱你！如果非要加上点期限的话：我愿意一万年！
1633090064	脸红	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	YYY看着XXX，两片红云飞上了脸颊。
1633090065	英雄	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX指着YYY笑道：“你的相貌岂仅俊美而已，简直是风流潇洒，前无古人，后无来者。潘安退避三舍，宋玉甘拜下风。”
1633090066	风流	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX在YYY耳边轻轻呵了一口气，说道：“在你刀下死，做鬼也风流。”
1633090067	殉情	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX深情款款地凝视着YYY，说道：“你死了，我怎么还能独活着！”
1633090068	哭	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX越想越伤心，终于忍不住趴在YYY的肩膀上放声大哭起来，就连老天也感动的哭勒！
1633090069	偷吻	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX在YYY脸上偷偷亲了一下。
1633090070	999朵玫瑰	1	10000	0	在游戏中自由选择播放该道具语句	0	2	20	2	XXX送给YYY999朵玫瑰，表达自己对YYY深深的爱，美丽的花瓣飘舞起来。
1633090071	吐痰	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX向着YYY的脸吐了一口痰，你还别嫌脏，就这早上我还没刷牙呢。
1633090072	机器人	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX敲了敲YYY的脑袋，咚咚作响，打开一看，全是乱麻似的电线，不禁摇了摇头道：“这种机器人也太原始了！”
1633090073	纪念日	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX对着YYY狞笑着地说道：“明年的今天，就是你的忌日！”
1633090074	咬人	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX真想狠狠地咬YYY一口，看看他大哭的样子。
1633090075	佩服	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX双手抱拳，讨好地对YYY说道：“在下对你的景仰之情，有如滔滔江水连绵不绝。
1633090076	吹牛	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX把胸脯拍得噼啪响，对YYY咆哮：“武林中拳头大的说话，你有种上来跟我比划比划！”
1633090077	再见	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	其时明月在天，清风吹叶，树巅乌鸦呀啊而鸣，XXX再也忍耐不住，望着YYY的背影，泪珠夺眶而出。
1633090078	问候	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX感动得热泪盈眶，向着YYY振臂高呼：“你今天囧了吗？”
1633090079	好孩子	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX拍了拍YYY的头，说：“好孩子，听话，乖。”
1633090080	没出息	2	10000	0	在游戏中自由选择播放该道具语句	1	2	20	2	XXX一把鼻涕一把眼泪地哭着，对着YYY骂道：“你这么没出息，叫我怎么对得起你死去的爹娘啊！”
1633090081	蛋糕	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX把一块生日蛋糕扣在了YYY的脸上，YYY一脸的无辜的看着XXX。
1633090082	板砖	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX狠狠的拍了YYY一板砖，让YYY顿时感到清醒。
1633090083	啤酒瓶	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX当头给了YYY一啤酒瓶，YYY顿时倒地吐血不止。
1633090084	飞脚	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX给了YYY一记佛山无影脚，YYY浑身布满了鞋印子。
1633090085	脑崩儿	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX在YYY的头上弹了个清脆的脑崩儿，YYY的脑门儿上立刻长出了个大包包。
1633090086	小心	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX对着YYY劝道：“走路防跌，吃饭防噎，你别太招摇了，当心有一天栽在人家手里！”
1633090087	棍棒	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX手舞木棒，对准YYY的后脑一记闷棍，YYY哼也没哼一声，软软的摔倒在地。
1633090088	冷	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX举着剑，眼神像冰一样，冷冷地瞪着YYY，YYY不自禁地打了个哆嗦，往后退了一步。
1633090089	木乃伊	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX很利索地把YYY的肚子剖了开来，塞进稻草，只一会就做成了一具好看的木乃伊。
1633090090	群殴	3	10000	0	在游戏中自由选择播放该道具语句	2	2	20	2	XXX声嘶力竭地叫道，“对YYY这样的家还讲什么江湖道义，大伙并肩子上啊！”
1633090091	鲜花	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX送给了YYY一束美丽的鲜花，表达了自己的爱慕之情。
1633090092	索吻	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX强行吻了YYY，我是流氓我怕谁？怎么样你是不是爱上我拉？
1633090093	拥抱	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX深情的拥抱了YYY，含情默默的对YYY说：我爱你！如果非要加上点期限的话：我愿意一万年！
1633090094	脸红	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	YYY看着XXX，两片红云飞上了脸颊。
1633090095	英雄	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX指着YYY笑道：“你的相貌岂仅俊美而已，简直是风流潇洒，前无古人，后无来者。潘安退避三舍，宋玉甘拜下风。”
1633090096	风流	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX在YYY耳边轻轻呵了一口气，说道：“在你刀下死，做鬼也风流。”
1633090097	殉情	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX深情款款地凝视着YYY，说道：“你死了，我怎么还能独活着！”
1633090098	哭	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX越想越伤心，终于忍不住趴在YYY的肩膀上放声大哭起来，就连老天也感动的哭勒！
1633090099	偷吻	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX在YYY脸上偷偷亲了一下。
1633090100	999朵玫瑰	1	40000	0	在游戏中自由选择播放该道具语句	0	3	15	10000	XXX送给YYY999朵玫瑰，表达自己对YYY深深的爱，美丽的花瓣飘舞起来。
1633090101	吐痰	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX向着YYY的脸吐了一口痰，你还别嫌脏，就这早上我还没刷牙呢。
1633090102	机器人	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX敲了敲YYY的脑袋，咚咚作响，打开一看，全是乱麻似的电线，不禁摇了摇头道：“这种机器人也太原始了！”
1633090103	纪念日	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX对着YYY狞笑着地说道：“明年的今天，就是你的忌日！”
1633090104	咬人	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX真想狠狠地咬YYY一口，看看他大哭的样子。
1633090105	佩服	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX双手抱拳，讨好地对YYY说道：“在下对你的景仰之情，有如滔滔江水连绵不绝。
1633090106	吹牛	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX把胸脯拍得噼啪响，对YYY咆哮：“武林中拳头大的说话，你有种上来跟我比划比划！”
1633090107	再见	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	其时明月在天，清风吹叶，树巅乌鸦呀啊而鸣，XXX再也忍耐不住，望着YYY的背影，泪珠夺眶而出。
1633090108	问候	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX感动得热泪盈眶，向着YYY振臂高呼：“你今天囧了吗？”
1633090109	好孩子	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX拍了拍YYY的头，说：“好孩子，听话，乖。”
1633090110	没出息	2	40000	0	在游戏中自由选择播放该道具语句	1	3	15	10000	XXX一把鼻涕一把眼泪地哭着，对着YYY骂道：“你这么没出息，叫我怎么对得起你死去的爹娘啊！”
1633090111	蛋糕	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX把一块生日蛋糕扣在了YYY的脸上，YYY一脸的无辜的看着XXX。
1633090112	板砖	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX狠狠的拍了YYY一板砖，让YYY顿时感到清醒。
1633090113	啤酒瓶	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX当头给了YYY一啤酒瓶，YYY顿时倒地吐血不止。
1633090114	飞脚	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX给了YYY一记佛山无影脚，YYY浑身布满了鞋印子。
1633090115	脑崩儿	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX在YYY的头上弹了个清脆的脑崩儿，YYY的脑门儿上立刻长出了个大包包。
1633090116	小心	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX对着YYY劝道：“走路防跌，吃饭防噎，你别太招摇了，当心有一天栽在人家手里！”
1633090117	棍棒	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX手舞木棒，对准YYY的后脑一记闷棍，YYY哼也没哼一声，软软的摔倒在地。
1633090118	冷	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX举着剑，眼神像冰一样，冷冷地瞪着YYY，YYY不自禁地打了个哆嗦，往后退了一步。
1633090119	木乃伊	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX很利索地把YYY的肚子剖了开来，塞进稻草，只一会就做成了一具好看的木乃伊。
1633090120	群殴	3	40000	0	在游戏中自由选择播放该道具语句	2	3	15	10000	XXX声嘶力竭地叫道，“对YYY这样的家还讲什么江湖道义，大伙并肩子上啊！”
